Date,Price,Open,High,Low,Vol.,Change %
2020-08-14,71.41,71.41,71.41,71.41,40.0,-0.0001
2020-08-17,69.46,69.46,69.46,69.46,70.0,-0.0274
2020-08-18,69.46,69.46,69.46,69.46,30.0,0.0
2020-08-19,69.46,69.46,69.46,69.46,0.0,0.0
2020-08-20,69.46,69.46,69.46,69.46,0.0,0.0
2020-08-21,69.46,69.46,69.46,69.46,10.0,0.0
2020-08-24,68.49,68.49,68.49,68.49,0.0,0.0
2020-08-25,67.52,67.52,67.52,67.52,0.0,-0.0279
2020-08-26,67.5,67.5,67.5,67.5,10.0,-0.0003
2020-08-27,68.48,68.48,68.48,68.48,80.0,0.014499999999999999
2020-08-28,68.48,68.48,68.48,68.48,0.0,0.0
2020-08-31,68.48,68.48,68.48,68.48,50.0,0.0
2020-09-01,68.48,68.48,68.48,68.48,50.0,0.0
2020-09-02,68.48,68.48,68.48,68.48,20.0,0.0
2020-09-03,66.55,66.53,66.55,66.53,130.0,-0.0281
2020-09-04,65.05,65.05,65.05,65.05,100.0,-0.0225
2020-09-07,67.04333333333334,67.00333333333333,67.04333333333334,67.00333333333333,0.0,0.0
2020-09-08,69.03666666666666,68.95666666666666,69.03666666666666,68.95666666666666,0.0,0.0
2020-09-09,71.03,70.91,71.03,70.91,10.0,0.0919
2020-09-10,71.446,71.35,71.446,71.35,0.0,0.0
2020-09-11,71.862,71.78999999999999,71.862,71.78999999999999,0.0,0.0
2020-09-14,72.278,72.23,72.278,72.23,0.0,0.0
2020-09-15,72.694,72.67,72.694,72.67,0.0,0.0
2020-09-16,73.11,73.11,73.11,73.11,0.0,0.0292
2020-09-17,70.91,70.91,70.91,70.91,10.0,-0.03
2020-09-18,71.07333333333334,71.07333333333334,71.07333333333334,71.07333333333334,0.0,0.0
2020-09-21,71.23666666666666,71.23666666666666,71.23666666666666,71.23666666666666,0.0,0.0
2020-09-22,71.4,71.4,71.4,71.4,0.0,0.0069
2020-09-23,71.16,71.16,71.16,71.16,0.0,0.0
2020-09-24,70.92,70.92,70.92,70.92,200.0,-0.0067
2020-09-25,71.41,71.41,71.41,71.41,140.0,0.0069
2020-09-28,71.41,71.41,71.41,71.41,40.0,0.0
2020-09-29,71.41,71.41,71.41,71.41,0.0,0.0
2020-09-30,70.92,71.41,71.41,70.92,230.0,-0.0068000000000000005
2020-10-01,71.0425,71.41,71.41,71.0425,0.0,0.0
2020-10-02,71.16499999999999,71.41,71.41,71.16499999999999,0.0,0.0
2020-10-05,71.2875,71.41,71.41,71.2875,0.0,0.0
2020-10-06,71.41,71.41,71.41,71.41,60.0,0.0069
2020-10-07,71.41,71.41,71.41,71.41,50.0,0.0
2020-10-08,71.41,71.41,71.41,71.41,40.0,0.0
2020-10-09,71.41,71.41,71.41,71.41,0.0,0.0
2020-10-12,71.41,71.41,71.41,71.41,20.0,0.0
2020-10-13,71.41,71.41,71.41,71.41,10.0,0.0
2020-10-14,71.41,71.41,71.41,71.41,20.0,0.0
2020-10-15,71.41,71.41,71.41,71.41,0.0,0.0
2020-10-16,71.41,71.41,71.41,71.41,20.0,0.0
2020-10-19,71.41,71.41,71.41,71.41,0.0,0.0
2020-10-20,71.41,71.41,71.41,71.41,30.0,0.0
2020-10-21,71.41,71.41,71.41,71.41,0.0,0.0
2020-10-22,70.68,71.41,71.41,70.68,30.0,-0.0103
2020-10-23,70.68,71.11666666666666,71.16666666666667,70.63000000000001,0.0,0.0
2020-10-26,70.68,70.82333333333334,70.92333333333333,70.58,0.0,0.0
2020-10-27,70.68,70.53,70.68,70.53,60.0,0.0
2020-10-28,70.43,70.43,70.43,70.43,10.0,-0.0034999999999999996
2020-10-29,70.43,70.43,70.43,70.43,0.0,0.0
2020-10-30,70.43,70.43,70.43,70.43,0.0,0.0
2020-11-02,70.43,70.43,70.43,70.43,0.0,0.0
2020-11-03,70.43,70.43,70.43,70.43,10.0,0.0
2020-11-04,72.39,71.41,72.39,71.41,0.0,0.0
2020-11-05,74.35,72.39,74.35,72.39,20.0,0.0556
2020-11-06,74.84,74.35,74.84,74.35,100.0,0.0066
2020-11-09,74.35,74.35,74.35,74.35,20.0,-0.006500000000000001
2020-11-10,74.45,74.45,74.45,74.45,50.0,0.0013
2020-11-11,75.33,74.84,75.33,74.84,630.0,0.0118
2020-11-12,75.82,76.3,76.3,75.82,60.0,0.006500000000000001
2020-11-13,75.41,75.43,75.43,75.41,320.0,-0.0053
2020-11-16,75.12,75.32,75.33,75.12,260.0,-0.0039000000000000003
2020-11-17,74.84,75.12,75.12,74.84,110.0,-0.0038
2020-11-18,74.35,74.84,74.84,74.35,60.0,-0.006500000000000001
2020-11-19,74.84,74.35,74.84,74.35,130.0,0.0066
2020-11-20,76.4,76.4,76.4,76.4,100.0,0.0209
2020-11-23,76.15,76.15,76.15,76.15,0.0,-0.0033
2020-11-24,77.69,77.74,77.74,77.69,40.0,0.0202
2020-11-25,77.69,77.69,77.69,77.69,90.0,0.0
2020-11-26,79.0,78.0,79.0,78.0,150.0,0.0169
2020-11-27,79.01,79.01,79.01,79.01,50.0,0.0001
2020-11-30,82.5,82.5,82.5,82.5,0.0,0.044199999999999996
2020-12-01,82.4,80.1,82.4,80.1,20.0,-0.0012
2020-12-02,82.39500000000001,81.245,82.39500000000001,81.245,0.0,0.0
2020-12-03,82.39,82.39,82.39,82.39,0.0,-0.0001
