Date,Price,Open,High,Low,Vol.,Change %
2020-08-07,26.2,26.56,26.56,25.5,330.0,0.0155
2020-08-10,26.4,26.4,26.4,26.4,0.0,0.0076
2020-08-11,25.5,26.0,26.0,25.5,890.0,-0.0341
2020-08-12,26.5,26.0,26.5,26.0,0.0,0.0392
2020-08-13,26.105,25.855,26.105,25.855,0.0,0.0
2020-08-14,25.71,25.71,25.71,25.71,170.0,-0.0298
2020-08-17,25.5,26.0,26.0,25.25,600.0,-0.008199999999999999
2020-08-18,26.0,26.0,26.0,26.0,10.0,0.0196
2020-08-19,25.5,25.5,25.5,25.25,3900.0,-0.0192
2020-08-20,25.75,25.75,25.75,25.625,0.0,0.0
2020-08-21,26.0,26.0,26.0,26.0,30.0,0.0196
2020-08-24,26.0,25.25,26.0,25.22,2170.0,0.0
2020-08-25,25.49,26.0,26.0,25.22,1140.0,-0.0196
2020-08-26,26.0,26.0,26.0,26.0,0.0,0.02
2020-08-27,25.5,25.5,26.0,25.21,19000.0,-0.0192
2020-08-28,25.5,25.5,25.5,25.4,11420.0,0.0
2020-08-31,25.5,26.0,26.0,25.5,4710.0,0.0
2020-09-01,25.49,25.49,25.5,25.25,8870.0,-0.0004
2020-09-02,25.5,25.99,25.99,25.25,3490.0,0.0004
2020-09-03,25.25,25.25,25.3,25.25,5410.0,-0.0098
2020-09-04,25.48,25.25,25.48,25.2,5680.0,0.0091
2020-09-07,25.2,25.5,25.5,25.2,4110.0,-0.011000000000000001
2020-09-08,25.19,25.19,25.2,25.0,1210.0,-0.0004
2020-09-09,25.1,25.25,25.25,25.1,1190.0,-0.0036
2020-09-10,25.1,25.1,25.1,25.0,730.0,0.0
2020-09-11,25.1,25.1,25.1,25.0,1690.0,0.0
2020-09-14,25.09,25.09,25.09,24.8,1030.0,-0.0004
2020-09-15,25.0,25.09,25.09,25.0,1570.0,-0.0036
2020-09-16,24.85,25.0,25.0,24.85,1260.0,-0.006
2020-09-17,24.99,25.0,25.0,24.99,660.0,0.005600000000000001
2020-09-18,24.8,24.99,24.99,24.8,1050.0,-0.0076
2020-09-21,24.8,24.8,24.8,24.8,750.0,0.0
2020-09-22,24.79,24.8,24.8,24.5,3080.0,-0.0004
2020-09-23,25.1,24.79,25.1,24.7,5470.0,0.0125
2020-09-24,24.8,25.0,25.3,24.8,3350.0,-0.012
2020-09-25,24.8,25.33,25.34,24.8,750.0,0.0
2020-09-28,24.8,24.8,24.8,24.8,100.0,0.0
2020-09-29,24.7,24.8,24.8,24.7,540.0,-0.004
2020-09-30,24.5,24.5,24.5,24.4,1180.0,-0.008100000000000001
2020-10-01,24.5,24.5,24.5,24.5,150.0,0.0
2020-10-02,24.4,24.4,24.4,24.4,100.0,-0.0040999999999999995
2020-10-05,24.4,24.4,24.4,24.4,590.0,0.0
2020-10-06,24.4,23.8,24.41,23.8,360.0,0.0
2020-10-07,24.5,24.5,24.5,24.5,60.0,0.0040999999999999995
2020-10-08,24.4,24.39,24.4,24.39,14240.0,-0.0040999999999999995
2020-10-09,24.4,24.4,24.4,24.0,2130.0,0.0
2020-10-12,24.395,24.4,24.4,24.195,0.0,0.0
2020-10-13,24.39,24.4,24.4,24.39,730.0,-0.0004
2020-10-14,24.39,24.39,24.39,24.39,200.0,0.0
2020-10-15,24.295,24.39,24.39,24.045,0.0,0.0
2020-10-16,24.2,24.39,24.39,23.7,430.0,-0.0078000000000000005
2020-10-19,24.5,24.5,24.5,24.5,410.0,0.0124
2020-10-20,24.5,24.5,25.0,24.49,450.0,0.0
2020-10-21,24.49,24.5,24.5,24.49,210.0,-0.0004
2020-10-22,24.49,24.4725,24.4975,24.465,0.0,0.0
2020-10-23,24.49,24.445,24.494999999999997,24.439999999999998,0.0,0.0
2020-10-26,24.49,24.4175,24.4925,24.415,0.0,0.0
2020-10-27,24.49,24.39,24.49,24.39,400.0,0.0
2020-10-28,24.4,24.47,24.49,24.4,320.0,-0.0037
2020-10-29,24.4,24.435,24.445,24.4,0.0,0.0
2020-10-30,24.4,24.4,24.4,24.4,0.0,0.0
2020-11-02,24.4,24.4,24.4,24.4,2060.0,0.0
2020-11-03,24.3,24.4,24.4,24.1,650.0,-0.0040999999999999995
2020-11-04,24.3,24.3,24.3,24.3,0.0,0.0
2020-11-05,24.39,24.3,24.4,24.3,780.0,0.0037
2020-11-06,24.1,24.4,24.4,24.1,1270.0,-0.011899999999999999
2020-11-09,24.39,24.39,24.39,24.39,100.0,0.012
2020-11-10,24.0,24.0,24.0,24.0,940.0,-0.016
2020-11-11,24.0,24.0,24.0,24.0,200.0,0.0
2020-11-12,24.0,24.0,24.0,24.0,270.0,0.0
2020-11-13,23.9,23.7,23.9,23.7,250.0,-0.0042
2020-11-16,23.9,23.9,23.9,23.9,120.0,0.0
2020-11-17,23.9,23.9,23.9,23.9,260.0,0.0
2020-11-18,23.9,23.66,23.9,23.5,1000.0,0.0
2020-11-19,23.9,23.9,23.9,23.5,460.0,0.0
2020-11-20,23.9,23.5,23.9,23.5,140.0,0.0
2020-11-23,24.0,23.9,24.0,23.19,1290.0,0.0042
2020-11-24,23.9,24.0,24.0,23.3,110.0,-0.0042
2020-11-25,23.9,23.9,23.9,23.9,50.0,0.0
2020-11-26,23.9,23.85,23.9,23.85,200.0,0.0
2020-11-27,23.9,23.85,23.9,23.85,350.0,0.0
2020-11-30,23.2,23.2,23.5,23.19,4930.0,-0.029300000000000003
2020-12-01,23.5,23.85,24.0,23.2,2040.0,0.0129
2020-12-02,23.5,23.5,23.5,23.2,550.0,0.0
2020-12-03,23.5,23.99,23.99,22.91,280.0,0.0
2020-12-04,23.5,23.5,23.5,23.5,360.0,0.0
2020-12-07,23.5,23.5,23.5,22.9,610.0,0.0
2020-12-08,23.5,23.49,23.5,23.49,300.0,0.0
2020-12-09,23.49,23.49,23.5,23.49,370.0,-0.0004
2020-12-10,23.49,23.44,23.49,23.44,670.0,0.0
2020-12-11,23.4,23.44,23.45,23.4,400.0,-0.0038
2020-12-14,23.45,23.44,23.45,23.0,420.0,0.0021
2020-12-15,22.75,22.94,23.0,22.75,2150.0,-0.029900000000000003
2020-12-16,22.75,22.75,22.75,22.5,830.0,0.0
2020-12-17,22.75,22.75,22.75,22.5,370.0,0.0
2020-12-18,22.75,22.07,22.99,22.07,4560.0,0.0
2020-12-21,22.49,22.5,22.5,22.3,290.0,-0.011399999999999999
2020-12-22,22.0,22.0,22.0,22.0,1670.0,-0.0218
2020-12-23,22.0,22.0,22.0,22.0,440.0,0.0
2020-12-24,22.0,22.0,22.0,21.65,620.0,0.0
2020-12-25,21.9,22.0,22.0,21.5,1830.0,-0.0045000000000000005
2020-12-28,21.8,21.9,21.9,21.44,600.0,-0.0046
2020-12-29,21.2,21.8,21.8,21.2,650.0,-0.0275
2020-12-30,21.15,21.8,21.8,21.15,1250.0,-0.0024
2020-12-31,21.7,21.78,21.78,21.14,1100.0,0.026000000000000002
2021-01-01,22.0,22.04,22.04,21.72,0.0,0.0
2021-01-04,22.3,22.3,22.3,22.3,30.0,0.0276
2021-01-05,22.1,22.1,22.1,22.09,430.0,-0.009000000000000001
2021-01-06,22.2,22.28,22.5,22.1,850.0,0.0045000000000000005
2021-01-07,22.21,22.39,22.39,22.21,590.0,0.0005
2021-01-08,22.29,22.29,22.29,22.29,110.0,0.0036
2021-01-11,22.2,22.2,22.2,21.56,500.0,-0.004
2021-01-12,22.0,22.2,22.2,21.95,390.0,-0.009000000000000001
2021-01-13,22.0,22.0,22.0,21.55,370.0,0.0
2021-01-14,22.05,22.05,22.05,21.825000000000003,0.0,0.0
2021-01-15,22.1,22.1,22.1,22.1,30.0,0.0045000000000000005
2021-01-18,22.45,22.1,22.45,21.45,720.0,0.0158
2021-01-19,22.45,22.4,22.45,22.4,100.0,0.0
2021-01-20,22.69,22.86,22.87,22.69,590.0,0.010700000000000001
2021-01-21,22.1,22.1,22.1,22.1,240.0,-0.026000000000000002
2021-01-22,22.0,22.57,22.57,22.0,320.0,-0.0045000000000000005
2021-01-25,22.38,22.39,22.39,22.38,240.0,0.0173
2021-01-26,22.38,22.38,22.38,22.38,100.0,0.0
2021-01-27,22.38,22.38,22.38,22.38,350.0,0.0
2021-01-28,22.38,22.38,22.5,22.0,1760.0,0.0
2021-01-29,22.35,22.38,22.38,22.35,950.0,-0.0013
2021-02-01,22.45,22.3,22.49,22.3,300.0,0.0045000000000000005
2021-02-02,22.0,22.48,22.48,22.0,1320.0,-0.02
2021-02-03,22.0,22.2,22.2,21.34,660.0,0.0
2021-02-04,22.0,22.0,22.0,22.0,20.0,0.0
2021-02-05,22.0,22.0,22.0,21.99,152200.0,0.0
2021-02-08,22.0,22.0,22.0,22.0,30.0,0.0
2021-02-09,22.0,21.98,22.0,21.98,300.0,0.0
2021-02-10,21.99,21.5,21.99,21.4,1450.0,-0.0005
2021-02-11,21.99,21.65,21.99,21.65,900.0,0.0
2021-02-12,21.65,21.63,21.65,21.63,600.0,-0.0155
2021-02-15,21.65,21.4,21.65,21.4,450.0,0.0
2021-02-16,21.6,21.2,21.6,21.2,1140.0,-0.0023
2021-02-17,21.4,21.39,21.4,21.1,780.0,-0.009300000000000001
2021-02-18,21.4,21.0,21.4,21.0,2340.0,0.0
2021-02-19,21.38,21.39,21.39,21.0,320.0,-0.0009
2021-02-22,21.38,21.38,21.38,21.0,700.0,0.0
2021-02-23,21.35,21.35,21.35,21.35,410.0,-0.0014000000000000002
2021-02-24,21.35,21.34,21.35,21.34,240.0,0.0
2021-02-25,21.34,21.2,21.34,21.2,160.0,-0.0005
2021-02-26,21.34,21.0,21.34,21.0,260.0,0.0
2021-03-01,21.98,21.98,21.98,21.98,250.0,0.03
2021-03-02,21.5,21.55,21.55,21.3,1060.0,-0.0218
2021-03-03,21.5,21.5,21.5,21.49,710.0,0.0
2021-03-04,21.5,21.54,21.54,21.5,780.0,0.0
2021-03-05,21.52,21.53,21.53,21.4,560.0,0.0009
2021-03-08,21.0,21.55,21.55,20.93,3450.0,-0.0242
2021-03-09,21.55,21.55,21.55,20.91,220.0,0.0262
2021-03-10,21.0,21.53,21.53,21.0,1380.0,-0.0255
2021-03-11,21.0,21.54,21.55,21.0,300.0,0.0
2021-03-12,21.0,20.95,21.0,20.95,670.0,0.0
2021-03-15,21.0,21.0,21.0,20.95,230.0,0.0
2021-03-16,21.0,21.58,21.58,21.0,150.0,0.0
2021-03-17,21.0,21.0,21.0,20.95,470.0,0.0
2021-03-18,20.95,21.0,21.0,20.95,330.0,-0.0024
2021-03-19,21.0,21.0,21.0,21.0,10.0,0.0024
2021-03-22,20.8,21.0,21.0,20.8,2040.0,-0.0095
2021-03-23,21.0,20.8,21.0,20.8,2020.0,0.0096
2021-03-24,21.63,21.1,21.63,20.95,13280.0,0.03
2021-03-25,22.0,22.27,22.27,21.61,5420.0,0.0171
2021-03-26,21.54,22.55,22.55,21.54,1220.0,-0.0209
2021-03-29,21.7,22.0,22.0,21.34,3490.0,0.0074
2021-03-30,21.25,21.9,21.9,21.25,6300.0,-0.0207
2021-03-31,21.5,21.88,21.88,21.25,660.0,0.0118
2021-04-01,21.5,21.9,21.9,21.25,1440.0,0.0
2021-04-02,21.3,21.5,21.94,21.3,1260.0,-0.009300000000000001
2021-04-05,22.14,21.5,22.14,21.5,2470.0,0.0394
2021-04-06,22.45,22.14,22.45,22.0,3360.0,0.013999999999999999
2021-04-07,22.45,22.45,22.45,22.3,470.0,0.0
2021-04-08,22.45,22.45,22.45,22.44,400.0,0.0
2021-04-09,22.955,22.45,22.955,22.445,0.0,0.0
2021-04-12,23.46,22.45,23.46,22.45,11200.0,0.045
2021-04-13,24.0,23.99,24.0,23.99,200.0,0.023
2021-04-14,23.8,23.85,23.85,23.28,340.0,-0.0083
2021-04-15,23.9,23.93,23.93,23.8,50.0,0.0042
2021-04-16,23.9,23.89,23.9,23.89,10.0,0.0
2021-04-19,23.84,23.86,23.87,23.83,250.0,-0.0025
2021-04-20,23.84,23.85,23.855,23.814999999999998,0.0,0.0
2021-04-21,23.84,23.84,23.84,23.8,300.0,0.0
2021-04-22,23.84,23.49,23.84,23.48,320.0,0.0
2021-04-23,23.795,23.619999999999997,23.795,23.265,0.0,0.0
2021-04-26,23.75,23.75,23.75,23.05,540.0,-0.0038
2021-04-27,23.45,23.45,23.45,23.45,100.0,-0.0126
2021-04-28,23.45,23.71,23.71,23.45,50.0,0.0
2021-04-29,23.0,23.71,23.71,23.0,550.0,-0.0192
2021-04-30,23.0,23.69,23.69,23.0,360.0,0.0
2021-05-03,22.75,22.9,22.9,22.26,1650.0,-0.0109
2021-05-04,22.73,22.8,22.8,22.36,3850.0,-0.0009
2021-05-05,22.69,22.88,22.88,22.4,8330.0,-0.0018
2021-05-06,21.0,21.0,21.0,21.0,280.0,-0.0745
2021-05-07,20.97,20.54,20.98,20.5,670.0,-0.0014000000000000002
2021-05-10,20.5,20.99,20.99,20.5,1310.0,-0.022400000000000003
2021-05-11,20.8,20.94,20.94,20.32,2270.0,0.0146
2021-05-12,20.85,20.785,20.955000000000002,20.32,0.0,0.0
2021-05-13,20.9,20.630000000000003,20.97,20.32,0.0,0.0
2021-05-14,20.95,20.475,20.985,20.32,0.0,0.0
2021-05-17,21.0,20.32,21.0,20.32,7350.0,0.0096
2021-05-18,21.26,21.0,21.26,21.0,4680.0,0.0124
2021-05-19,21.7,21.35,21.7,21.35,6460.0,0.0207
2021-05-20,21.84,21.8,21.85,21.75,2150.0,0.006500000000000001
2021-05-21,21.75,21.8,21.8,21.75,850.0,-0.0040999999999999995
2021-05-24,21.9,21.95,21.95,21.5,530.0,0.0069
2021-05-25,21.695,21.945,21.945,21.494999999999997,0.0,0.0
2021-05-26,21.49,21.94,21.94,21.49,280.0,-0.0187
2021-05-27,21.5,21.5,21.5,21.5,120.0,0.0005
2021-05-28,21.48,21.5,21.5,21.48,90.0,-0.0009
2021-05-31,21.5,21.01,21.9,21.01,3410.0,0.0009
2021-06-01,21.5,21.9,21.9,21.5,100.0,0.0
2021-06-02,21.5,21.94,21.94,21.5,4000.0,0.0
2021-06-03,21.5,21.5,21.5,21.5,60.0,0.0
2021-06-04,21.5,21.5,21.5,21.5,50.0,0.0
2021-06-07,21.6,21.9,21.9,21.32,200.0,0.004699999999999999
2021-06-08,21.5,21.0,21.5,21.0,430.0,-0.0046
2021-06-09,21.49,21.5,21.5,20.88,350.0,-0.0005
2021-06-10,21.49,21.5,21.5,21.49,100.0,0.0
2021-06-11,21.5,21.7,21.7,21.5,30.0,0.0005
2021-06-14,21.45,21.8,21.8,21.45,540.0,-0.0023
2021-06-15,21.5,21.5,21.5,21.5,10.0,0.0023
2021-06-16,21.5,21.5,21.5,21.5,10.0,0.0
2021-06-17,21.0,21.48,21.5,21.0,620.0,-0.0233
2021-06-18,21.0,21.5,21.5,21.0,120.0,0.0
2021-06-21,21.0,21.0,21.0,21.0,80.0,0.0
2021-06-22,21.0,21.0,21.0,21.0,260.0,0.0
2021-06-23,21.0,21.0,21.0,21.0,50.0,0.0
2021-06-24,21.0,21.0,21.0,20.8,320.0,0.0
2021-06-25,21.5,21.5,21.5,21.5,100.0,0.023799999999999998
2021-06-28,21.5,21.5,21.5,21.5,50.0,0.0
2021-06-29,21.49,21.49,21.5,21.0,4840.0,-0.0005
2021-06-30,21.5,21.49,21.5,21.0,440.0,0.0005
2021-07-01,21.5,21.5,21.5,21.0,410.0,0.0
2021-07-02,21.5,20.86,21.5,20.86,620.0,0.0
2021-07-05,21.5,21.5,21.5,21.5,60.0,0.0
2021-07-06,21.48,21.49,21.49,20.85,170.0,-0.0009
2021-07-07,21.47,21.47,21.47,21.47,50.0,-0.0005
2021-07-08,21.4,21.4,21.43,21.4,610.0,-0.0033
2021-07-09,21.4,21.4,21.4,21.4,80.0,0.0
2021-07-12,21.4,21.38,21.4,21.38,100.0,0.0
2021-07-13,21.4,21.4,21.4,21.4,50.0,0.0
2021-07-14,21.4,21.4,21.4,21.38,100.0,0.0
2021-07-15,21.4,21.4,21.4,21.4,100.0,0.0
2021-07-16,21.4,21.38,21.4,21.38,100.0,0.0
2021-07-19,21.39,21.39,21.39,21.39,100.0,-0.0005
2021-07-20,21.39,21.39,21.39,21.39,0.0,0.0
2021-07-21,21.39,21.39,21.39,21.39,0.0,0.0
2021-07-22,21.39,21.39,21.39,21.39,80.0,0.0
2021-07-23,21.38,20.75,21.38,20.75,150.0,-0.0005
2021-07-26,21.38,21.38,21.38,21.38,10.0,0.0
2021-07-27,21.39,21.38,21.4,20.74,710.0,0.0005
2021-07-28,21.39,21.39,21.39,20.75,230.0,0.0
2021-07-29,21.38,21.39,21.39,20.75,580.0,-0.0005
2021-07-30,21.39,20.9,21.39,20.74,360.0,0.0005
2021-08-02,21.38,21.38,21.38,21.38,90.0,-0.0005
2021-08-03,21.37,21.37,21.37,21.37,50.0,-0.0005
2021-08-04,21.34,21.36,21.36,21.34,300.0,-0.0014000000000000002
2021-08-05,21.35,21.36,21.36,21.35,250.0,0.0005
2021-08-06,21.29,21.32,21.32,20.75,430.0,-0.0028000000000000004
2021-08-09,21.3,21.32,21.32,20.7,320.0,0.0005
2021-08-10,20.985,21.305,21.310000000000002,20.685000000000002,0.0,0.0
2021-08-11,20.67,21.29,21.3,20.67,120.0,-0.0296
2021-08-12,21.29,21.29,21.29,21.29,50.0,0.03
2021-08-13,21.285,21.285,21.285,21.285,0.0,0.0
2021-08-16,21.28,21.28,21.28,21.28,130.0,-0.0005
2021-08-17,21.259999999999998,20.990000000000002,21.259999999999998,20.990000000000002,0.0,0.0
2021-08-18,21.24,20.7,21.24,20.7,120.0,-0.0019
2021-08-19,21.24,21.23,21.24,21.23,100.0,0.0
2021-08-20,21.24,21.23,21.24,20.71,820.0,0.0
2021-08-23,21.24,21.24,21.24,21.24,100.0,0.0
2021-08-24,21.205,20.994999999999997,21.205,20.97,0.0,0.0
2021-08-25,21.17,20.75,21.17,20.7,500.0,-0.0033
2021-08-26,21.14,20.6,21.15,20.6,1510.0,-0.0014000000000000002
2021-08-27,21.26,21.25,21.26,21.17,480.0,0.005699999999999999
2021-08-30,21.26,21.2,21.26,21.2,330.0,0.0
2021-08-31,21.0,21.26,21.26,21.0,200.0,-0.012199999999999999
2021-09-01,21.05,21.130000000000003,21.18,21.0,0.0,0.0
2021-09-02,21.1,21.0,21.1,21.0,740.0,0.0048
2021-09-03,21.2,21.1,21.2,21.09,1630.0,0.004699999999999999
2021-09-06,21.0,21.2,21.2,21.0,7750.0,-0.009399999999999999
2021-09-07,21.0,21.0,21.0,21.0,3260.0,0.0
2021-09-08,21.0,21.0,21.0,21.0,770.0,0.0
2021-09-09,20.75,21.0,21.0,20.75,2620.0,-0.011899999999999999
2021-09-10,20.75,21.0,21.0,20.75,1300.0,0.0
2021-09-13,21.0,21.35,21.35,20.8,310.0,0.012
2021-09-14,21.3,21.3,21.3,21.3,10.0,0.0143
2021-09-15,21.0,21.3,21.3,20.81,400.0,-0.0141
2021-09-16,20.8,21.3,21.3,20.8,330.0,-0.0095
2021-09-17,20.8,20.8,20.8,20.8,1060.0,0.0
2021-09-20,20.8,20.8,20.8,20.8,800.0,0.0
2021-09-21,20.8,20.8,20.8,20.8,160.0,0.0
2021-09-22,20.8,20.8,20.8,20.8,1450.0,0.0
2021-09-23,20.79,20.8,20.8,20.79,5550.0,-0.0005
2021-09-24,21.0,21.0,21.0,20.89,15100.0,0.0101
2021-09-27,21.0,20.99,21.3,20.99,3740.0,0.0
2021-09-28,21.0,21.0,21.25,20.95,6350.0,0.0
2021-09-29,21.0,21.0,21.0,20.7,11440.0,0.0
2021-09-30,20.8,20.81,20.81,20.8,5900.0,-0.0095
2021-10-01,20.8,20.8,20.8,20.8,1850.0,0.0
