Date,Price,Open,High,Low,Vol.,Change %
2020-08-11,3.36,3.26,3.36,3.26,7130.0,0.0
2020-08-12,3.3,3.26,3.3,3.26,15840.0,-0.0179
2020-08-13,3.3,3.24,3.3,3.24,0.0,0.0
2020-08-14,3.3,3.22,3.3,3.22,220.0,0.0
2020-08-17,3.3,3.26,3.3,3.26,0.0,0.0
2020-08-18,3.3,3.3,3.3,3.3,15140.0,0.0
2020-08-19,3.3,3.2874999999999996,3.3,3.2874999999999996,0.0,0.0
2020-08-20,3.3,3.275,3.3,3.275,0.0,0.0
2020-08-21,3.3,3.2625,3.3,3.2625,0.0,0.0
2020-08-24,3.3,3.25,3.3,3.25,3640.0,0.0
2020-08-25,3.39,3.21,3.39,3.21,21780.0,0.0273
2020-08-26,3.46,3.4,3.46,3.4,126900.0,0.0206
2020-08-27,3.49,3.42,3.5,3.42,19070.0,0.0087
2020-08-28,3.56,3.48,3.56,3.48,29000.0,0.020099999999999996
2020-08-31,3.46,3.46,3.46,3.46,2100.0,-0.0281
2020-09-01,3.46,3.46,3.5,3.46,1010.0,0.0
2020-09-02,3.36,3.39,3.39,3.36,430.0,-0.028900000000000002
2020-09-03,3.28,3.36,3.36,3.28,1430.0,-0.023799999999999998
2020-09-04,3.21,3.28,3.29,3.19,10590.0,-0.0213
2020-09-07,3.12,3.12,3.13,3.12,25520.0,-0.027999999999999997
2020-09-08,3.12,3.21,3.21,3.12,870.0,0.0
2020-09-09,3.1,3.1,3.12,3.09,110290.0,-0.0064
2020-09-10,3.1,3.22,3.22,3.09,26430.0,0.0
2020-09-11,3.1,3.1,3.1,3.1,21660.0,0.0
2020-09-14,3.12,3.1,3.19,3.1,78200.0,0.006500000000000001
2020-09-15,3.1,3.26,3.26,3.09,137860.0,-0.0064
2020-09-16,3.1,3.11,3.11,3.08,49980.0,0.0
2020-09-17,3.04,3.19,3.19,3.03,45540.0,-0.0194
2020-09-18,3.18,3.05,3.22,3.04,99880.0,0.0461
2020-09-21,3.07,3.32,3.32,3.07,7420.0,-0.0346
2020-09-22,3.12,3.06,3.14,3.06,4660.0,0.0163
2020-09-23,3.04,3.12,3.12,3.04,11930.0,-0.0256
2020-09-24,3.04,3.09,3.09,3.04,780.0,0.0
2020-09-25,3.09,3.11,3.11,3.04,1920.0,0.016399999999999998
2020-09-28,3.085,3.07,3.0949999999999998,3.035,0.0,0.0
2020-09-29,3.08,3.03,3.08,3.03,1460.0,-0.0032
2020-09-30,3.1,3.04,3.12,3.04,4440.0,0.006500000000000001
2020-10-01,3.05,3.05,3.13,3.01,25740.0,-0.0161
2020-10-02,3.05,3.01,3.05,3.01,2520.0,0.0
2020-10-05,3.0,3.0,3.07,2.97,13150.0,-0.016399999999999998
2020-10-06,3.08,3.08,3.08,3.0,1840.0,0.026699999999999998
2020-10-07,3.04,3.08,3.08,3.0,26980.0,-0.013000000000000001
2020-10-08,3.1,3.0,3.1,3.0,2029.9999999999998,0.0197
2020-10-09,3.1,3.12,3.12,3.03,23320.0,0.0
2020-10-12,3.1,3.1,3.1,3.1,550.0,0.0
2020-10-13,3.06,3.02,3.09,3.0,6840.0,-0.0129
2020-10-14,2.99,3.06,3.06,2.98,5950.0,-0.0229
2020-10-15,2.97,3.0250000000000004,3.06,2.965,0.0,0.0
2020-10-16,2.95,2.99,3.06,2.95,8750.0,-0.0134
2020-10-19,3.0,2.94,3.02,2.88,12890.0,0.0169
2020-10-20,2.97,3.05,3.05,2.96,2510.0,-0.01
2020-10-21,2.98,2.96,3.0,2.96,4710.0,0.0034000000000000002
2020-10-22,3.0,2.98,3.0,2.98,1100.0,0.0067
2020-10-23,3.0,3.0,3.03,2.99,9720.0,0.0
2020-10-26,3.02,3.02,3.02,3.02,0.0,0.0067
2020-10-27,3.01,3.02,3.02,3.01,40.0,-0.0033
2020-10-28,3.0,3.0,3.0,2.93,21430.0,-0.0033
2020-10-29,2.995,2.975,2.995,2.93,0.0,0.0
2020-10-30,2.99,2.95,2.99,2.93,560.0,-0.0033
2020-11-02,2.98,2.94,2.99,2.92,5080.0,-0.0033
2020-11-03,2.97,2.95,2.97,2.95,550.0,-0.0034000000000000002
