Date,Price,Open,High,Low,Vol.,Change %
2020-08-10,1.19,1.19,1.22,1.19,1050.0,-0.0246
2020-08-11,1.2,1.17,1.2,1.17,410.0,0.0084
2020-08-12,1.21,1.2,1.21,1.2,2100.0,0.0083
2020-08-13,1.205,1.205,1.21,1.2,0.0,0.0
2020-08-14,1.2,1.21,1.21,1.2,10.0,-0.0083
2020-08-17,1.19,1.19,1.19,1.19,100.0,-0.0083
2020-08-18,1.1749999999999998,1.1749999999999998,1.1749999999999998,1.1749999999999998,0.0,0.0
2020-08-19,1.16,1.16,1.16,1.16,1450.0,-0.0252
2020-08-20,1.1749999999999998,1.16,1.1749999999999998,1.16,0.0,0.0
2020-08-21,1.19,1.16,1.19,1.16,3060.0,0.0259
2020-08-24,1.18,1.16,1.22,1.16,15030.0,-0.0084
2020-08-25,1.21,1.23,1.23,1.18,4100.0,0.0254
2020-08-26,1.21,1.22,1.22,1.18,1840.0,0.0
2020-08-27,1.25,1.19,1.25,1.19,3410.0,0.0331
2020-08-28,1.22,1.25,1.28,1.22,4760.0,-0.024
2020-08-31,1.3,1.25,1.3,1.23,7350.0,0.06559999999999999
2020-09-01,1.33,1.31,1.36,1.28,31410.0,0.0231
2020-09-02,1.41,1.36,1.41,1.36,12680.0,0.0602
2020-09-03,1.49,1.45,1.49,1.45,11530.0,0.0567
2020-09-04,1.49,1.5150000000000001,1.5350000000000001,1.47,0.0,0.0
2020-09-07,1.49,1.58,1.58,1.49,12940.0,0.0
2020-09-08,1.43,1.45,1.55,1.43,7310.0,-0.0403
2020-09-09,1.39,1.45,1.45,1.39,7690.0,-0.027999999999999997
2020-09-10,1.37,1.39,1.39,1.35,4840.0,-0.0144
2020-09-11,1.42,1.35,1.42,1.33,10800.0,0.0365
2020-09-14,1.45,1.42,1.46,1.41,6400.0,0.021099999999999997
2020-09-15,1.54,1.47,1.54,1.47,7730.0,0.0621
2020-09-16,1.6,1.59,1.6,1.59,1310.0,0.039
2020-09-17,1.69,1.61,1.69,1.61,11710.0,0.056299999999999996
2020-09-18,1.76,1.76,1.76,1.7,46190.0,0.0414
2020-09-21,1.75,1.8,1.8,1.75,12450.0,-0.005699999999999999
2020-09-22,1.67,1.72,1.73,1.67,10020.0,-0.045700000000000005
2020-09-23,1.69,1.62,1.74,1.62,10300.0,0.012
2020-09-24,1.67,1.7,1.7,1.67,4870.0,-0.0118
2020-09-25,1.67,1.72,1.72,1.67,1270.0,0.0
2020-09-28,1.67,1.72,1.72,1.67,6180.0,0.0
2020-09-29,1.69,1.7,1.7,1.67,260.0,0.012
2020-09-30,1.65,1.64,1.68,1.63,10740.0,-0.023700000000000002
2020-10-01,1.64,1.71,1.71,1.6,31430.0,-0.0060999999999999995
2020-10-02,1.65,1.57,1.7,1.57,8840.0,0.0060999999999999995
2020-10-05,1.65,1.61,1.65,1.61,1030.0,0.0
2020-10-06,1.75,1.68,1.75,1.68,4510.0,0.060599999999999994
2020-10-07,1.81,1.76,1.85,1.76,33010.0,0.034300000000000004
2020-10-08,1.81,1.82,1.82,1.8,4800.0,0.0
2020-10-09,1.83,1.81,1.84,1.8,67250.0,0.011000000000000001
2020-10-12,1.85,1.85,1.85,1.85,0.0,0.0109
2020-10-13,1.84,1.77,1.84,1.77,1660.0,-0.0054
2020-10-14,1.84,1.84,1.84,1.84,10.0,0.0
2020-10-15,1.82,1.82,1.82,1.82,0.0,0.0
2020-10-16,1.8,1.8,1.8,1.8,590.0,-0.0217
2020-10-19,1.8,1.8,1.8,1.75,4330.0,0.0
2020-10-20,1.79,1.8,1.82,1.78,1570.0,-0.005600000000000001
2020-10-21,1.8,1.75,1.8,1.75,380.0,0.005600000000000001
2020-10-22,1.8,1.8,1.8,1.8,200.0,0.0
2020-10-23,1.82,1.8,1.82,1.76,2570.0,0.0111
2020-10-26,1.84,1.8,1.84,1.77,25250.0,0.011000000000000001
2020-10-27,1.8,1.8,1.8,1.79,2340.0,-0.0217
2020-10-28,1.84,1.8,1.84,1.75,15440.0,0.0222
2020-10-29,1.8,1.795,1.815,1.755,0.0,0.0
2020-10-30,1.76,1.79,1.79,1.76,15260.0,-0.0435
2020-11-02,1.76,1.75,1.76,1.71,2960.0,0.0
2020-11-03,1.71,1.76,1.76,1.71,410.0,-0.028399999999999998
2020-11-04,1.69,1.7,1.7,1.65,10250.0,-0.011699999999999999
2020-11-05,1.66,1.66,1.66,1.66,2040.0,-0.0178
2020-11-06,1.69,1.65,1.69,1.64,4980.0,0.0181
2020-11-09,1.7,1.69,1.73,1.69,2350.0,0.0059
2020-11-10,1.74,1.74,1.74,1.65,1230.0,0.0235
2020-11-11,1.74,1.69,1.74,1.69,350.0,0.0
2020-11-12,1.7,1.72,1.72,1.7,1390.0,-0.023
2020-11-13,1.72,1.7,1.72,1.7,1060.0,0.0118
2020-11-16,1.725,1.705,1.725,1.705,0.0,0.0
2020-11-17,1.73,1.71,1.73,1.71,2990.0,0.0058
2020-11-18,1.7,1.72,1.72,1.67,1720.0,-0.0173
2020-11-19,1.7,1.7,1.72,1.65,32610.0,0.0
2020-11-20,1.7,1.65,1.7,1.65,4750.0,0.0
2020-11-23,1.65,1.65,1.7,1.65,6190.0,-0.0294
2020-11-24,1.61,1.65,1.65,1.61,8960.0,-0.0242
2020-11-25,1.65,1.65,1.65,1.6,1180.0,0.0248
2020-11-26,1.65,1.69,1.69,1.61,4530.0,0.0
2020-11-27,1.6,1.61,1.64,1.6,7000.0,-0.030299999999999997
2020-11-30,1.62,1.61,1.63,1.61,1440.0,0.0125
2020-12-01,1.65,1.65,1.69,1.64,4150.0,0.018500000000000003
2020-12-02,1.68,1.68,1.68,1.68,0.0,0.0182
2020-12-03,1.61,1.61,1.69,1.61,36480.0,-0.0417
2020-12-04,1.6,1.61,1.67,1.6,9840.0,-0.0062
2020-12-07,1.6,1.62,1.64,1.56,23410.0,0.0
2020-12-08,1.56,1.56,1.6,1.56,4190.0,-0.025
2020-12-09,1.56,1.56,1.6,1.55,12730.0,0.0
2020-12-10,1.54,1.56,1.57,1.54,9010.0,-0.0128
2020-12-11,1.56,1.54,1.56,1.54,1470.0,0.013000000000000001
2020-12-14,1.54,1.54,1.54,1.52,1650.0,-0.0128
2020-12-15,1.52,1.52,1.52,1.52,9220.0,-0.013000000000000001
2020-12-16,1.6,1.51,1.6,1.51,40170.0,0.0526
