Date,Price,Open,High,Low,Vol.,Change %
2020-08-07,28.0,28.5,28.5,28.0,23500.0,-0.0311
2020-08-10,28.0,28.99,28.99,28.0,10580.0,0.0
2020-08-11,28.0,28.0,28.0,27.7,5890.0,0.0
2020-08-12,27.7,27.7,27.71,27.7,3520.0,-0.010700000000000001
2020-08-13,27.975,27.7,27.98,27.7,0.0,0.0
2020-08-14,28.25,27.7,28.25,27.7,160.0,0.0199
2020-08-17,27.7,27.75,27.75,27.7,580.0,-0.0195
2020-08-18,28.0,27.5,28.0,27.5,660.0,0.0108
2020-08-19,28.0,27.71,28.0,27.5,1470.0,0.0
2020-08-20,28.0,27.855,28.0,27.75,0.0,0.0
2020-08-21,28.0,28.0,28.0,28.0,110.0,0.0
2020-08-24,28.0,28.25,28.25,27.5,1090.0,0.0
2020-08-25,28.2,28.25,28.25,27.2,360.0,0.0070999999999999995
2020-08-26,28.47,28.2,28.48,28.2,1300.0,0.0096
2020-08-27,28.5,28.2,28.5,28.2,440.0,0.0011
2020-08-28,28.3,28.2,28.3,28.0,800.0,-0.006999999999999999
2020-08-31,28.0,28.0,28.0,28.0,150.0,-0.0106
2020-09-01,27.88,27.9,27.9,27.88,1010.0,-0.0043
2020-09-02,27.66,27.9,27.9,27.66,760.0,-0.0079
2020-09-03,27.0,27.51,27.51,26.9,2200.0,-0.0239
2020-09-04,26.89,26.5,26.89,26.25,1760.0,-0.0040999999999999995
2020-09-07,26.88,26.88,26.88,26.87,720.0,-0.0004
2020-09-08,26.4,26.88,26.88,26.4,2130.0,-0.0179
2020-09-09,26.45,26.4,26.9,26.39,4750.0,0.0019
2020-09-10,26.45,26.45,26.5,26.45,2740.0,0.0
2020-09-11,26.6,26.8,26.98,26.45,3880.0,0.005699999999999999
2020-09-14,26.7,26.7,26.8,26.6,5680.0,0.0038
2020-09-15,26.8,26.69,26.85,26.6,1570.0,0.0037
2020-09-16,26.98,26.81,27.61,26.8,2200.0,0.0067
2020-09-17,26.61,26.99,26.99,26.61,1140.0,-0.0137
2020-09-18,26.5,26.7,26.7,26.5,920.0,-0.0040999999999999995
2020-09-21,26.45,26.45,26.46,26.45,1060.0,-0.0019
2020-09-22,26.15,26.45,26.45,26.15,750.0,-0.0113
2020-09-23,26.15,26.17,26.5,26.15,1020.0,0.0
2020-09-24,26.1,26.49,26.49,26.1,2250.0,-0.0019
2020-09-25,25.8,26.0,26.0,25.37,750.0,-0.0115
2020-09-28,25.03,25.8,25.8,25.03,1940.0,-0.0298
2020-09-29,25.75,25.7,25.75,25.7,2040.0,0.0288
2020-09-30,25.4,25.75,25.75,25.4,600.0,-0.013600000000000001
