Date,Price,Open,High,Low,Vol.,Change %
2023-01-02,6.36,6.2,6.39,6.2,24840.0,0.0258
2023-01-03,6.32,6.37,6.39,6.3,5730.0,-0.0063
2023-01-04,6.35,6.3,6.35,6.2,25380.0,0.004699999999999999
2023-01-05,6.2,6.3,6.3,6.2,2250.0,-0.0236
2023-01-06,6.3,6.31,6.31,6.2,4250.0,0.0161
2023-01-09,6.3,6.3,6.3,6.2,1330.0,0.0
2023-01-10,6.26,6.2,6.29,6.08,7380.0,-0.0063
2023-01-11,6.2,6.2,6.3,6.2,4000.0,-0.0096
2023-01-12,6.25,6.2,6.3,6.2,12330.0,0.008100000000000001
2023-01-13,6.1,6.08,6.3,6.08,2140.0,-0.024
2023-01-16,6.38,6.2,6.38,6.2,8600.0,0.045899999999999996
2023-01-17,6.44,6.38,6.44,6.32,13260.0,0.009399999999999999
2023-01-18,6.4,6.43,6.44,6.35,6820.0,-0.0062
2023-01-19,6.43,6.4,6.5,6.36,16230.0,0.004699999999999999
2023-01-20,6.43,6.4,6.45,6.4,12510.0,0.0
2023-01-23,6.4,6.4,6.43,6.35,3040.0,-0.004699999999999999
2023-01-24,6.35,6.4,6.4,6.3,2910.0,-0.0078000000000000005
2023-01-25,6.38,6.3,6.38,6.3,11380.0,0.004699999999999999
2023-01-26,6.27,6.3,6.33,6.27,6160.0,-0.0172
2023-01-27,6.3,6.33,6.34,6.3,600.0,0.0048
2023-01-30,6.36,6.3,6.36,6.3,150.0,0.0095
2023-01-31,6.39,6.32,6.4,6.3,4770.0,0.004699999999999999
2023-02-01,6.39,6.295,6.395,6.285,0.0,0.0
2023-02-02,6.39,6.27,6.39,6.27,3700.0,0.0
2023-02-03,6.39,6.34,6.39,6.34,5500.0,0.0
2023-02-06,6.35,6.3,6.35,6.3,200.0,-0.0063
2023-02-07,6.34,6.26,6.34,6.25,2060.0,-0.0016
2023-02-08,6.24,6.33,6.33,6.2,4130.0,-0.0158
2023-02-09,6.1,6.2,6.2,6.08,34260.0,-0.022400000000000003
2023-02-10,6.14,6.13,6.2,6.07,32520.000000000004,0.0066
2023-02-13,6.13,6.08,6.13,6.07,5210.0,-0.0016
2023-02-14,6.1,6.1,6.11,6.07,5510.0,-0.0049
2023-02-15,6.09,6.11,6.11,6.07,4090.0,-0.0016
2023-02-16,6.08,6.1,6.11,6.06,7100.0,-0.0016
2023-02-17,6.1,6.08,6.1,6.0,17380.0,0.0033
2023-02-20,6.08,6.1,6.1,6.08,5950.0,-0.0033
2023-02-21,6.08,6.08,6.08,6.08,4440.0,0.0
2023-02-22,6.08,6.08,6.09,6.05,5340.0,0.0
2023-02-23,6.08,6.08,6.08,6.03,9320.0,0.0
2023-02-24,6.07,6.08,6.08,6.0,8020.0,-0.0016
2023-02-27,6.07,6.07,6.07,6.0,16300.0,0.0
2023-02-28,6.07,6.07,6.07,6.01,13700.0,0.0
2023-03-01,6.06,6.07,6.07,6.0,6410.0,-0.0016
2023-03-02,6.05,6.06,6.06,5.96,9460.0,-0.0017000000000000001
2023-03-03,6.05,6.05,6.05,6.0,8720.0,0.0
2023-03-06,6.04,6.05,6.05,6.04,1510.0,-0.0017000000000000001
2023-03-07,6.0,6.04,6.04,6.0,26050.0,-0.0066
2023-03-08,6.0,6.04,6.04,5.97,5550.0,0.0
2023-03-09,5.99,6.0,6.0,5.92,3330.0,-0.0017000000000000001
2023-03-10,6.25,6.0,6.29,6.0,70780.0,0.0434
2023-03-13,6.28,6.29,6.29,6.2,29080.0,0.0048
2023-03-14,6.27,6.28,6.28,6.2,16079.999999999998,-0.0016
2023-03-15,6.34,6.25,6.35,6.2,50810.0,0.011200000000000002
2023-03-16,6.4,6.34,6.4,6.3,65860.0,0.0095
2023-03-17,6.4,6.4,6.4,6.36,24340.0,0.0
2023-03-20,6.375,6.4,6.4,6.355,0.0,0.0
2023-03-21,6.35,6.4,6.4,6.35,8370.0,-0.0078000000000000005
2023-03-22,6.35,6.3,6.35,6.3,6570.0,0.0
2023-03-23,6.34,6.34,6.34,6.34,1500.0,-0.0016
2023-03-24,6.34,6.34,6.34,6.34,1050.0,0.0
2023-03-27,6.3,6.33,6.34,6.2,29220.0,-0.0063
2023-03-28,6.27,6.26,6.27,6.23,5650.0,-0.0048
2023-03-29,6.24,6.24,6.24,6.12,5300.0,-0.0048
2023-03-30,6.22,6.22,6.22,6.22,19450.0,-0.0032
2023-03-31,6.26,6.23,6.26,6.19,10110.0,0.0064
2023-04-03,6.3,6.3,6.3,6.3,16850.0,0.0064
2023-04-04,6.3,6.33,6.33,6.29,2600.0,0.0
2023-04-05,6.3,6.29,6.3,6.21,30700.0,0.0
2023-04-06,6.3,6.3,6.3,6.2,5120.0,0.0
2023-04-07,6.35,6.28,6.35,6.16,36590.0,0.0079
2023-04-10,6.35,6.35,6.35,6.23,7780.0,0.0
2023-04-11,6.4,6.35,6.4,6.34,37160.0,0.0079
2023-04-12,6.49,6.4,6.49,6.4,28190.0,0.0141
2023-04-13,6.47,6.48,6.48,6.36,3370.0,-0.0031
2023-04-14,6.47,6.48,6.48,6.36,6950.0,0.0
2023-04-17,6.44,6.45,6.45,6.33,5010.0,-0.0046
2023-04-18,6.44,6.44,6.44,6.44,400.0,0.0
2023-04-19,6.44,6.44,6.44,6.43,9520.0,0.0
2023-04-20,6.44,6.43,6.44,6.4,75200.0,0.0
2023-04-21,6.44,6.4350000000000005,6.44,6.42,0.0,0.0
2023-04-24,6.44,6.44,6.44,6.44,400.0,0.0
2023-04-25,6.43,6.43,6.43,6.4,5510.0,-0.0016
2023-04-26,6.43,6.43,6.43,6.4,3880.0,0.0
2023-04-27,6.42,6.42,6.42,6.3,3360.0,-0.0016
2023-04-28,6.42,6.42,6.42,6.4,3700.0,0.0
2023-05-01,6.41,6.415,6.415,6.4,0.0,0.0
2023-05-02,6.4,6.41,6.41,6.4,4700.0,-0.0031
2023-05-03,6.4,6.4,6.4,6.3,12910.0,0.0
2023-05-04,6.38,6.39,6.4,6.35,13920.0,-0.0031
2023-05-05,6.5,6.38,6.59,6.35,81600.0,0.018799999999999997
2023-05-08,6.5,6.57,6.57,6.49,37040.0,0.0
2023-05-09,6.5,6.5,6.5,6.46,24500.0,0.0
2023-05-10,6.5,6.54,6.54,6.45,2840.0,0.0
2023-05-11,6.53,6.49,6.53,6.49,7160.0,0.0046
2023-05-12,6.54,6.53,6.54,6.5,2180.0,0.0015
2023-05-15,6.55,6.55,6.55,6.5,2040.0,0.0015
2023-05-16,6.55,6.55,6.55,6.45,7160.0,0.0
2023-05-17,6.58,6.55,6.58,6.5,17460.0,0.0046
2023-05-18,6.59,6.58,6.59,6.5,5800.0,0.0015
2023-05-19,6.58,6.58,6.59,6.55,11660.0,-0.0015
2023-05-22,6.57,6.59,6.59,6.57,5050.0,-0.0015
2023-05-23,6.6,6.57,6.6,6.57,19910.0,0.0046
2023-05-24,6.6,6.6,6.65,6.5,18930.0,0.0
2023-05-25,6.66,6.6,6.66,6.59,9780.0,0.0091
2023-05-26,6.67,6.67,6.67,6.61,14160.0,0.0015
2023-05-29,6.65,6.67,6.67,6.6,11110.0,-0.003
2023-05-30,6.91,6.67,6.91,6.63,67350.0,0.0391
2023-05-31,6.86,6.93,6.93,6.86,5290.0,-0.0072
2023-06-01,6.7,6.86,6.86,6.64,4950.0,-0.0233
2023-06-02,6.6,6.7,6.7,6.59,7750.0,-0.0149
2023-06-05,6.68,6.65,6.68,6.55,3110.0,0.0121
2023-06-06,6.65,6.67,6.67,6.64,1440.0,-0.0045000000000000005
2023-06-07,6.73,6.65,6.73,6.5,50970.0,0.012
2023-06-08,6.72,6.73,6.73,6.72,400.0,-0.0015
2023-06-09,6.71,6.69,6.71,6.65,13150.0,-0.0015
2023-06-12,6.71,6.72,6.72,6.7,2100.0,0.0
2023-06-13,6.69,6.71,6.71,6.69,12760.0,-0.003
2023-06-14,6.71,6.7,6.71,6.69,8550.0,0.003
2023-06-15,6.72,6.71,6.72,6.7,890.0,0.0015
2023-06-16,6.72,6.72,6.72,6.71,900.0,0.0
2023-06-19,6.7,6.55,6.7,6.55,800.0,-0.003
2023-06-20,6.7,6.7,6.7,6.7,1000.0,0.0
2023-06-21,6.68,6.68,6.68,6.68,400.0,-0.003
2023-06-22,6.69,6.68,6.69,6.65,4900.0,0.0015
2023-06-23,6.7,6.67,6.7,6.67,7670.0,0.0015
2023-06-26,6.69,6.68,6.69,6.68,650.0,-0.0015
2023-06-27,6.68,6.68,6.68,6.65,6360.0,-0.0015
2023-06-28,6.68,6.68,6.68,6.66,0.0,0.0
2023-06-29,6.68,6.68,6.68,6.67,0.0,0.0
2023-06-30,6.68,6.68,6.68,6.68,400.0,0.0
2023-07-03,6.64,6.64,6.64,6.51,6070.0,-0.006
2023-07-04,6.64,6.64,6.64,6.64,12000.0,0.0
2023-07-05,6.61,6.62,6.62,6.61,410.0,-0.0045000000000000005
2023-07-06,6.5,6.6,6.6,6.5,13070.0,-0.0166
2023-07-07,6.5,6.5,6.5,6.5,610.0,0.0
2023-07-10,6.5,6.49,6.5,6.4,5640.0,0.0
2023-07-11,6.4,6.5,6.5,6.4,6430.0,-0.0154
2023-07-12,6.4,6.4,6.4,6.4,500.0,0.0
2023-07-13,6.4,6.4,6.4,6.39,570.0,0.0
2023-07-14,6.4,6.4,6.4,6.39,4010.0,0.0
2023-07-17,6.4,6.4,6.4,6.39,2600.0,0.0
2023-07-18,6.4,6.4,6.4,6.3,5840.0,0.0
2023-07-19,6.425000000000001,6.4,6.425000000000001,6.35,0.0,0.0
2023-07-20,6.45,6.4,6.45,6.4,26760.0,0.0078000000000000005
2023-07-21,6.45,6.5,6.5,6.4,23970.0,0.0
2023-07-24,6.45,6.45,6.49,6.45,14580.0,0.0
2023-07-25,6.475,6.475,6.495,6.45,0.0,0.0
2023-07-26,6.5,6.5,6.5,6.45,66460.0,0.0078000000000000005
2023-07-27,6.5,6.5,6.5,6.45,44780.0,0.0
2023-07-28,6.5,6.5,6.5,6.45,26420.0,0.0
2023-07-31,6.5,6.5,6.5,6.45,27660.0,0.0
2023-08-01,6.5,6.5,6.5,6.38,28760.0,0.0
2023-08-02,6.5,6.5,6.5,6.5,410.0,0.0
2023-08-03,6.5,6.5,6.5,6.5,390.0,0.0
