Date,Price,Open,High,Low,Vol.,Change %
2020-08-10,2.91,2.92,2.96,2.87,2160.0,-0.0029
2020-08-11,2.9,2.92,2.92,2.86,2700.0,-0.0029
2020-08-12,2.92,2.9,2.92,2.83,3710.0,0.005699999999999999
2020-08-13,2.915,2.91,2.92,2.835,0.0,0.0
2020-08-14,2.91,2.92,2.92,2.84,610.0,-0.0029
2020-08-17,2.89,2.91,2.91,2.89,180.0,-0.005699999999999999
2020-08-18,2.82,2.9,2.9,2.82,230.0,-0.0259
2020-08-19,2.91,2.9,2.91,2.9,40.0,0.0325
2020-08-20,2.865,2.86,2.865,2.84,0.0,0.0
2020-08-21,2.82,2.82,2.82,2.78,5480.0,-0.0315
2020-08-24,2.82,2.82,2.82,2.77,1170.0,0.0
2020-08-25,2.88,2.88,2.88,2.88,10.0,0.023700000000000002
2020-08-26,2.88,2.88,2.91,2.87,2900.0,0.0
2020-08-27,2.88,2.88,2.88,2.87,50.0,0.0
2020-08-28,2.87,2.88,2.88,2.83,1420.0,-0.0029
2020-08-31,2.9,2.91,2.91,2.87,850.0,0.0087
2020-09-01,2.87,2.82,2.87,2.82,3390.0,-0.0086
2020-09-02,2.79,2.79,2.79,2.79,30.0,-0.028999999999999998
2020-09-03,2.87,2.75,2.87,2.75,2460.0,0.029900000000000003
2020-09-04,2.87,2.86,2.87,2.86,290.0,0.0
2020-09-07,2.87,2.87,2.87,2.87,340.0,0.0
2020-09-08,2.79,2.83,2.83,2.79,2610.0,-0.028999999999999998
2020-09-09,2.78,2.79,2.83,2.72,1880.0,-0.003
2020-09-10,2.7,2.78,2.78,2.7,4210.0,-0.029900000000000003
2020-09-11,2.77,2.7,2.77,2.7,3560.0,0.0278
2020-09-14,2.83,2.84,2.84,2.76,130.0,0.021
2020-09-15,2.79,2.87,2.89,2.79,14000.0,-0.0147
2020-09-16,2.78,2.87,2.87,2.78,3610.0,-0.003
2020-09-17,2.86,2.83,2.87,2.76,2160.0,0.0269
2020-09-18,2.9,2.9,2.9,2.9,250.0,0.0146
2020-09-21,2.9,2.86,2.9,2.85,3030.0,0.0
2020-09-22,2.9,2.9,2.9,2.9,0.0,0.0
2020-09-23,2.9,2.9,2.9,2.87,2040.0,0.0
2020-09-24,3.07,2.9,3.07,2.9,27930.0,0.0603
2020-09-25,3.02,3.07,3.14,3.02,34360.0,-0.0163
2020-09-28,3.02,3.07,3.07,3.0,7180.0,0.0
2020-09-29,3.02,3.02,3.07,3.0,22740.0,0.0
2020-09-30,3.02,3.02,3.02,2.99,7910.0,0.0
2020-10-01,2.93,3.02,3.02,2.93,770.0,-0.0298
2020-10-02,2.9,2.92,2.93,2.9,120.0,-0.0102
2020-10-05,3.0,2.82,3.0,2.82,10190.0,0.0345
2020-10-06,3.0,2.95,3.0,2.87,750.0,0.0
2020-10-07,3.01,3.0,3.09,2.94,37200.0,0.0033
2020-10-08,3.01,3.01,3.01,3.01,0.0,0.0
2020-10-09,2.93,3.01,3.01,2.93,180.0,-0.026600000000000002
2020-10-12,3.0,2.99,3.0,2.91,630.0,0.0239
2020-10-13,2.93,3.02,3.02,2.93,720.0,-0.0233
2020-10-14,3.0,2.99,3.0,2.99,90.0,0.0239
2020-10-15,2.975,2.975,2.9850000000000003,2.95,0.0,0.0
2020-10-16,2.95,2.96,2.97,2.91,790.0,-0.0167
2020-10-19,2.95,2.97,2.97,2.82,270.0,0.0
2020-10-20,2.99,2.95,2.99,2.95,110.0,0.013600000000000001
2020-10-21,2.94,2.94,2.94,2.94,60.0,-0.0167
2020-10-22,2.93,2.94,2.94,2.86,390.0,-0.0034000000000000002
2020-10-23,2.94,2.94,2.94,2.94,70.0,0.0034000000000000002
2020-10-26,2.92,2.9,2.92,2.9,40.0,-0.0068000000000000005
2020-10-27,2.94,2.94,2.94,2.94,0.0,0.0068000000000000005
2020-10-28,2.94,2.94,2.94,2.86,40.0,0.0
2020-10-29,2.94,2.94,2.94,2.9,0.0,0.0
2020-10-30,2.94,2.94,2.94,2.94,200.0,0.0
2020-11-02,2.98,2.98,2.98,2.98,0.0,0.013600000000000001
2020-11-03,2.94,2.85,2.94,2.85,1120.0,-0.0134
2020-11-04,2.87,2.93,2.93,2.87,50.0,-0.023799999999999998
2020-11-05,2.88,2.87,2.92,2.8,6380.0,0.0034999999999999996
2020-11-06,2.82,2.9,2.92,2.82,2270.0,-0.0208
2020-11-09,2.82,2.9,2.92,2.82,1120.0,0.0
2020-11-10,2.82,2.78,2.86,2.74,1210.0,0.0
2020-11-11,2.87,2.87,2.87,2.87,80.0,0.0177
2020-11-12,2.83,2.87,2.9,2.79,2420.0,-0.0139
2020-11-13,2.8,2.75,2.8,2.75,2980.0,-0.0106
2020-11-16,2.8,2.7350000000000003,2.8,2.7350000000000003,0.0,0.0
2020-11-17,2.8,2.72,2.8,2.72,6060.0,0.0
2020-11-18,2.79,2.78,2.79,2.78,90.0,-0.0036
2020-11-19,2.71,2.71,2.78,2.7,8830.0,-0.0287
2020-11-20,2.74,2.63,2.74,2.63,950.0,0.0111
2020-11-23,2.74,2.74,2.75,2.71,9980.0,0.0
2020-11-24,2.74,2.74,2.74,2.74,10.0,0.0
2020-11-25,2.8,2.74,2.82,2.71,4000.0,0.0219
2020-11-26,2.82,2.79,2.82,2.75,780.0,0.0070999999999999995
2020-11-27,2.77,2.8,2.87,2.72,4550.0,-0.0177
2020-11-30,2.85,2.8,2.85,2.8,2330.0,0.028900000000000002
2020-12-01,2.8,2.83,2.83,2.8,650.0,-0.0175
2020-12-02,2.8,2.84,2.84,2.76,2800.0,0.0
2020-12-03,2.84,2.8,2.84,2.72,3270.0,0.0143
