Date,Price,Open,High,Low,Vol.,Change %
2020-08-10,4.15,4.16,4.16,4.15,3000.0,-0.011899999999999999
2020-08-11,4.19,4.13,4.19,4.12,10.0,0.0096
2020-08-12,4.19,4.19,4.19,4.19,100.0,0.0
2020-08-13,4.19,4.19,4.19,4.19,0.0,0.0
2020-08-14,4.19,4.19,4.19,4.19,1430.0,0.0
2020-08-17,4.2,4.2,4.2,4.2,960.0,0.0024
2020-08-18,4.15,4.13,4.15,4.13,2780.0,-0.011899999999999999
2020-08-19,4.12,4.12,4.12,4.12,300.0,-0.0072
2020-08-20,4.145,4.16,4.16,4.145,0.0,0.0
2020-08-21,4.17,4.2,4.2,4.17,2300.0,0.0121
2020-08-24,4.17,4.17,4.17,4.17,400.0,0.0
2020-08-25,4.1,4.1,4.1,4.1,9020.0,-0.0168
2020-08-26,4.15,4.1,4.15,4.1,490.0,0.012199999999999999
2020-08-27,4.1,4.15,4.15,4.1,6950.0,-0.012
2020-08-28,4.1,4.1,4.1,4.08,6150.0,0.0
2020-08-31,4.08,4.1,4.1,4.08,2650.0,-0.0049
2020-09-01,4.06,4.07,4.09,4.05,5400.0,-0.0049
2020-09-02,4.01,4.05,4.05,4.0,2130.0,-0.0123
2020-09-03,4.0,4.0,4.0,4.0,5130.0,-0.0025
2020-09-04,3.91,4.0,4.0,3.91,2300.0,-0.0225
2020-09-07,3.9,3.92,3.92,3.89,4950.0,-0.0026
2020-09-08,3.89,3.89,3.89,3.88,11750.0,-0.0026
2020-09-09,3.89,3.87,3.89,3.87,18070.0,0.0
2020-09-10,3.89,3.89,3.9,3.89,41700.0,0.0
2020-09-11,3.9,4.0,4.0,3.9,16079.999999999998,0.0026
2020-09-14,3.96,3.96,4.0,3.95,13580.0,0.0154
2020-09-15,3.95,3.96,3.96,3.95,43280.0,-0.0025
2020-09-16,3.95,3.95,3.95,3.94,18210.0,0.0
2020-09-17,3.94,3.94,3.94,3.94,900.0,-0.0025
2020-09-18,3.94,3.95,3.95,3.89,8070.0,0.0
2020-09-21,4.0,4.0,4.0,3.9,7580.0,0.0152
2020-09-22,4.11,4.12,4.12,4.0,18250.0,0.0275
2020-09-23,4.09,4.1,4.1,3.99,9720.0,-0.0049
