Date,Price,Open,High,Low,Vol.,Change %
2020-09-01,46.0,46.0,46.0,46.0,500.0,-0.0033
2020-09-02,46.333333333333336,45.333333333333336,46.333333333333336,45.333333333333336,0.0,0.0
2020-09-03,46.666666666666664,44.666666666666664,46.666666666666664,44.666666666666664,0.0,0.0
2020-09-04,47.0,44.0,47.0,44.0,540.0,0.0217
2020-09-07,47.0,45.0,47.0,45.0,0.0,0.0
2020-09-08,47.0,46.0,47.0,46.0,0.0,0.0
2020-09-09,47.0,47.0,47.0,47.0,10.0,0.0
2020-09-10,48.0,48.0,48.0,48.0,120.0,0.0213
2020-09-11,49.0,48.1,49.0,48.1,750.0,0.0208
2020-09-14,51.39,49.9,51.39,49.9,100.0,0.048799999999999996
2020-09-15,52.5,51.39,52.5,51.39,190.0,0.0216
2020-09-16,52.814,51.612,52.814,51.612,0.0,0.0
2020-09-17,53.128,51.834,53.128,51.834,0.0,0.0
2020-09-18,53.442,52.056,53.442,52.056,0.0,0.0
2020-09-21,53.756,52.278,53.756,52.278,0.0,0.0
2020-09-22,54.07,52.5,54.07,52.5,280.0,0.029900000000000003
2020-09-23,53.0,54.1,54.1,53.0,450.0,-0.019799999999999998
2020-09-24,56.22,54.59,56.22,54.59,10.0,0.0608
2020-09-25,56.195,55.38,56.195,55.38,0.0,0.0
2020-09-28,56.17,56.17,56.17,56.17,0.0,-0.0009
2020-09-29,56.17,54.54,56.17,54.54,150.0,0.0
2020-09-30,54.54,54.54,54.54,54.54,650.0,-0.028999999999999998
2020-10-01,53.0,54.54,54.54,53.0,2380.0,-0.0282
2020-10-02,52.666666666666664,53.693333333333335,53.693333333333335,52.666666666666664,0.0,0.0
2020-10-05,52.333333333333336,52.846666666666664,52.846666666666664,52.333333333333336,0.0,0.0
2020-10-06,52.0,52.0,52.0,52.0,100.0,-0.0189
2020-10-07,51.666666666666664,51.666666666666664,51.666666666666664,51.666666666666664,0.0,0.0
2020-10-08,51.333333333333336,51.333333333333336,51.333333333333336,51.333333333333336,0.0,0.0
2020-10-09,51.0,51.0,51.0,51.0,100.0,-0.0192
2020-10-12,50.8,50.8,50.8,50.8,0.0,0.0
2020-10-13,50.6,50.6,50.6,50.6,0.0,0.0
2020-10-14,50.4,50.4,50.4,50.4,0.0,0.0
2020-10-15,50.2,50.2,50.2,50.2,0.0,0.0
2020-10-16,50.0,50.0,50.0,50.0,500.0,-0.0196
2020-10-19,50.16,50.16,50.16,50.16,0.0,0.0
2020-10-20,50.32,50.32,50.32,50.32,0.0,0.0
2020-10-21,50.480000000000004,50.480000000000004,50.480000000000004,50.480000000000004,0.0,0.0
2020-10-22,50.64,50.64,50.64,50.64,1000.0,0.0128
2020-10-23,50.13666666666667,50.13666666666667,50.13666666666667,50.13666666666667,0.0,0.0
2020-10-26,49.63333333333333,49.63333333333333,49.63333333333333,49.63333333333333,0.0,0.0
2020-10-27,49.13,49.13,49.13,49.13,10.0,-0.0298
2020-10-28,49.222500000000004,49.222500000000004,49.222500000000004,49.222500000000004,0.0,0.0
2020-10-29,49.315,49.315,49.315,49.315,0.0,0.0
2020-10-30,49.4075,49.4075,49.4075,49.4075,0.0,0.0
2020-11-02,49.5,49.5,49.5,49.5,10.0,0.0075
2020-11-03,49.3725,49.3725,49.3725,49.3725,0.0,0.0
2020-11-04,49.245000000000005,49.245000000000005,49.245000000000005,49.245000000000005,0.0,0.0
2020-11-05,49.1175,49.1175,49.1175,49.1175,0.0,0.0
2020-11-06,48.99,48.99,48.99,48.99,0.0,-0.0103
2020-11-09,47.53,47.53,47.53,47.53,250.0,-0.0298
2020-11-10,47.52,47.52,47.52,47.52,0.0,0.0
2020-11-11,47.51,47.51,47.51,47.51,0.0,0.0
2020-11-12,47.5,47.5,47.5,47.5,110.0,-0.0006
2020-11-13,47.5,47.5,47.5,47.5,680.0,0.0
2020-11-16,47.5,47.5,47.5,47.5,0.0,0.0
2020-11-17,47.5,47.5,47.5,47.5,1650.0,0.0
2020-11-18,47.5,47.5,47.5,47.5,1510.0,0.0
2020-11-19,47.5,47.5,47.5,47.5,3550.0,0.0
2020-11-20,47.5,47.5,47.5,47.5,3000.0,0.0
