Date,Price,Open,High,Low,Vol.,Change %
2020-08-10,7.86,7.87,7.87,7.86,610.0,-0.0163
2020-08-11,7.86,7.85,7.9,7.85,630.0,0.0
2020-08-12,7.86,7.99,7.99,7.85,230.0,0.0
2020-08-13,7.86,7.88,7.925000000000001,7.805,0.0,0.0
2020-08-14,7.86,7.77,7.86,7.76,800.0,0.0
2020-08-17,7.8,7.86,7.86,7.8,140.0,-0.0076
2020-08-18,7.8,7.8,7.8,7.63,790.0,0.0
2020-08-19,7.8,7.766666666666667,7.8,7.6466666666666665,0.0,0.0
2020-08-20,7.8,7.733333333333333,7.8,7.663333333333333,0.0,0.0
2020-08-21,7.8,7.7,7.8,7.68,460.0,0.0
2020-08-24,7.8,7.63,7.8,7.63,520.0,0.0
2020-08-25,7.8,7.8,7.8,7.8,1110.0,0.0
2020-08-26,7.9,7.78,7.9,7.7,260.0,0.0128
2020-08-27,7.99,7.8,7.99,7.8,130.0,0.011399999999999999
2020-08-28,7.92,7.824999999999999,7.92,7.824999999999999,0.0,0.0
2020-08-31,7.85,7.85,7.85,7.85,930.0,-0.0175
2020-09-01,7.65,7.78,7.78,7.63,4810.0,-0.0255
2020-09-02,7.84,7.65,7.84,7.64,4660.0,0.0248
2020-09-03,7.62,7.84,7.9,7.61,11360.0,-0.0281
2020-09-04,7.8,7.4,7.8,7.4,700.0,0.0236
2020-09-07,8.2,7.62,8.2,7.62,6200.0,0.0513
2020-09-08,8.2,8.26,8.26,8.01,2470.0,0.0
2020-09-09,8.56,8.26,8.56,8.01,24870.0,0.043899999999999995
2020-09-10,8.96,8.7,8.96,8.56,29990.0,0.0467
2020-09-11,9.26,9.0,9.27,9.0,20380.0,0.0335
2020-09-14,9.7,9.53,9.81,9.53,6840.0,0.0475
2020-09-15,9.72,9.72,10.0,9.7,6310.0,0.0021
2020-09-16,9.79,9.98,9.98,9.43,150.0,0.0072
2020-09-17,9.35,9.35,9.35,9.35,580.0,-0.0449
2020-09-18,9.35,9.35,9.63,9.3,4650.0,0.0
2020-09-21,9.29,9.3,9.57,9.1,2360.0,-0.0064
2020-09-22,9.03,9.04,9.04,9.03,760.0,-0.027999999999999997
2020-09-23,8.75,8.9,8.9,8.75,130.0,-0.031
2020-09-24,8.51,8.51,8.76,8.51,2900.0,-0.0274
2020-09-25,8.74,8.55,8.74,8.52,5960.0,0.027000000000000003
2020-09-28,8.87,8.7,8.87,8.54,1220.0,0.0149
2020-09-29,8.99,8.87,8.99,8.61,2090.0,0.013500000000000002
2020-09-30,8.9,8.73,8.95,8.73,10650.0,-0.01
2020-10-01,8.64,8.9,8.9,8.64,26810.0,-0.0292
2020-10-02,8.89,8.6,8.89,8.6,3580.0,0.028900000000000002
2020-10-05,8.65,8.64,8.88,8.64,1580.0,-0.027000000000000003
2020-10-06,8.65,8.65,8.87,8.61,1830.0,0.0
2020-10-07,8.61,8.55,8.83,8.55,3720.0,-0.0046
2020-10-08,8.61,8.55,8.86,8.36,10830.0,0.0
2020-10-09,8.63,8.61,8.86,8.61,10710.0,0.0023
2020-10-12,8.64,8.88,8.88,8.64,4500.0,0.0012
2020-10-13,8.87,8.65,8.87,8.65,1160.0,0.026600000000000002
2020-10-14,8.87,8.87,8.87,8.87,30.0,0.0
2020-10-15,8.864999999999998,8.754999999999999,8.864999999999998,8.754999999999999,0.0,0.0
2020-10-16,8.86,8.64,8.86,8.64,12530.0,-0.0011
2020-10-19,8.8,8.66,8.8,8.66,1420.0,-0.0068000000000000005
2020-10-20,8.65,8.66,8.66,8.65,2210.0,-0.017
2020-10-21,8.65,8.65,8.65,8.65,760.0,0.0
2020-10-22,8.65,8.8,8.9,8.63,16020.0,0.0
2020-10-23,8.68,8.65,8.9,8.65,780.0,0.0034999999999999996
2020-10-26,8.7,8.94,8.94,8.7,20.0,0.0023
2020-10-27,8.95,8.7,8.96,8.7,700.0,0.0287
2020-10-28,8.69,8.69,8.69,8.69,9060.0,-0.0291
2020-10-29,8.665,8.665,8.665,8.665,0.0,0.0
2020-10-30,8.64,8.64,8.64,8.64,17530.0,-0.0058
2020-11-02,8.64,8.64,8.64,8.64,480.0,0.0
2020-11-03,8.89,8.8,8.89,8.8,2210.0,0.028900000000000002
2020-11-04,8.65,8.88,8.88,8.65,540.0,-0.027000000000000003
2020-11-05,8.66,8.64,8.9,8.64,1320.0,0.0012
2020-11-06,8.98,8.98,8.98,8.67,14320.0,0.037000000000000005
2020-11-09,8.98,8.76,8.98,8.76,260.0,0.0
2020-11-10,8.98,8.98,8.98,8.98,500.0,0.0
2020-11-11,8.98,8.98,8.98,8.98,0.0,0.0
2020-11-12,9.15,8.98,9.15,8.72,14360.0,0.0189
2020-11-13,9.12,9.15,9.15,9.0,2020.0,-0.0033
2020-11-16,9.0,9.0,9.0,8.9,20830.0,-0.0132
2020-11-17,9.0,9.14,9.14,8.9,23620.0,0.0
2020-11-18,9.12,9.14,9.14,8.95,8870.0,0.013300000000000001
2020-11-19,9.14,9.0,9.14,9.0,6330.0,0.0022
2020-11-20,9.26,9.0,9.26,9.0,16640.0,0.0131
2020-11-23,9.01,9.26,9.4,9.0,62610.0,-0.027000000000000003
2020-11-24,9.15,9.19,9.19,9.0,6640.0,0.0155
2020-11-25,9.28,9.29,9.29,9.02,4830.0,0.014199999999999999
2020-11-26,9.1,9.35,9.35,9.1,1640.0,-0.0194
2020-11-27,9.05,9.1,9.1,9.02,3150.0,-0.0055000000000000005
2020-11-30,9.03,9.03,9.2,9.03,950.0,-0.0022
2020-12-01,9.18,9.2,9.2,9.03,2500.0,0.0166
2020-12-02,9.09,9.02,9.09,9.02,2500.0,-0.0098
2020-12-03,9.06,9.05,9.27,9.05,3040.0,-0.0033
2020-12-04,9.05,9.02,9.06,9.02,3370.0,-0.0011
2020-12-07,9.25,9.3,9.3,9.1,1240.0,0.022099999999999998
2020-12-08,9.16,9.190000000000001,9.190000000000001,9.075,0.0,0.0
2020-12-09,9.07,9.08,9.08,9.05,7990.0,-0.0195
2020-12-10,9.09,9.1,9.3,9.0,2200.0,0.0022
2020-12-11,9.02,8.9,9.13,8.9,16000.0,-0.0077
2020-12-14,9.2,9.0,9.2,9.0,10.0,0.02
2020-12-15,9.1,9.01,9.1,9.01,1110.0,-0.0109
2020-12-16,9.03,9.0,9.03,9.0,3640.0,-0.0077
2020-12-17,9.03,9.01,9.05,9.01,7900.0,0.0
2020-12-18,9.03,9.01,9.2,9.01,6770.0,0.0
2020-12-21,9.03,9.03,9.03,9.0,490.0,0.0
2020-12-22,9.05,9.01,9.2,9.01,940.0,0.0022
2020-12-23,9.05,9.29,9.29,9.05,1680.0,0.0
2020-12-24,9.05,9.05,9.05,9.05,1050.0,0.0
2020-12-25,9.02,9.01,9.03,9.01,2460.0,-0.0033
2020-12-28,9.2,9.29,9.29,9.02,1180.0,0.02
2020-12-29,9.2,9.29,9.29,9.03,150.0,0.0
2020-12-30,9.0,9.0,9.0,9.0,1060.0,-0.0217
2020-12-31,9.19,9.19,9.19,8.99,2680.0,0.021099999999999997
2021-01-01,9.059999999999999,9.094999999999999,9.094999999999999,8.955,0.0,0.0
2021-01-04,8.93,9.0,9.0,8.92,2950.0,-0.028300000000000002
2021-01-05,8.7,8.7,8.92,8.67,2240.0,-0.0258
2021-01-06,8.44,8.69,8.69,8.44,7970.0,-0.029900000000000003
2021-01-07,8.3,8.2,8.6,8.2,5220.0,-0.0166
2021-01-08,8.3,8.44,8.44,8.3,790.0,0.0
2021-01-11,8.17,8.2,8.2,8.1,13620.0,-0.015700000000000002
2021-01-12,8.07,8.41,8.41,8.07,1540.0,-0.012199999999999999
2021-01-13,8.07,8.07,8.1,8.06,2430.0,0.0
2021-01-14,8.07,8.015,8.085,8.01,0.0,0.0
2021-01-15,8.07,7.96,8.07,7.96,120.0,0.0
2021-01-18,8.06,8.09,8.09,7.96,80.0,-0.0012
2021-01-19,8.1,8.06,8.16,8.02,2000.0,0.005
2021-01-20,8.25,8.25,8.25,8.25,0.0,0.018500000000000003
2021-01-21,8.01,8.03,8.03,8.01,840.0,-0.0291
2021-01-22,7.9,7.98,7.98,7.9,860.0,-0.0137
2021-01-25,7.9,7.9,7.9,7.9,100.0,0.0
2021-01-26,7.89,7.89,7.89,7.7,1890.0,-0.0013
2021-01-27,7.88,7.85,7.88,7.75,1870.0,-0.0013
2021-01-28,8.1,7.88,8.11,7.88,17420.0,0.0279
2021-01-29,8.1,8.11,8.11,8.0,150.0,0.0
2021-02-01,8.0,8.11,8.11,8.0,1430.0,-0.0123
2021-02-02,8.0,8.2,8.2,7.99,10600.0,0.0
2021-02-03,8.0,8.0,8.0,8.0,21160.0,0.0
2021-02-04,8.0,8.18,8.18,8.0,35540.0,0.0
2021-02-05,8.0,8.16,8.2,8.0,6430.0,0.0
2021-02-08,8.01,8.01,8.01,8.01,700.0,0.0013
2021-02-09,8.25,8.05,8.25,8.05,230.0,0.03
2021-02-10,8.39,8.43,8.43,8.21,590.0,0.017
2021-02-11,8.64,8.23,8.64,8.23,1630.0,0.0298
2021-02-12,8.7,8.7,8.7,8.7,10.0,0.0069
2021-02-15,8.7,8.7,8.7,8.7,310.0,0.0
2021-02-16,8.69,8.5,8.69,8.5,2400.0,-0.0011
2021-02-17,8.69,8.5,8.695,8.5,0.0,0.0
2021-02-18,8.69,8.5,8.7,8.5,720.0,0.0
2021-02-19,8.5,8.51,8.51,8.5,150.0,-0.0219
2021-02-22,8.5,8.5,8.68,8.5,1580.0,0.0
2021-02-23,8.5,8.69,8.69,8.5,780.0,0.0
2021-02-24,8.59,8.67,8.67,8.41,50.0,0.0106
2021-02-25,8.34,8.34,8.34,8.34,1080.0,-0.0291
2021-02-26,8.34,8.34,8.34,8.34,200.0,0.0
2021-03-01,8.49,8.59,8.59,8.09,20.0,0.018000000000000002
2021-03-02,8.48,8.48,8.48,8.24,710.0,-0.0012
2021-03-03,8.25,8.41,8.41,8.24,2370.0,-0.0271
2021-03-04,8.01,8.4,8.4,8.01,5020.0,-0.0291
2021-03-05,8.0,7.95,8.18,7.95,1630.0,-0.0012
2021-03-08,8.23,7.96,8.24,7.8,870.0,0.0287
2021-03-09,8.0,8.3,8.3,7.99,1210.0,-0.0279
2021-03-10,8.0,8.0,8.0,7.76,4380.0,0.0
2021-03-11,8.24,8.0,8.24,8.0,3580.0,0.03
2021-03-12,8.2,8.2,8.2,8.2,250.0,-0.0049
2021-03-15,8.1,8.2,8.2,8.01,1550.0,-0.012199999999999999
2021-03-16,8.1,8.1,8.33,8.1,1620.0,0.0
2021-03-17,8.3,8.1,8.3,8.1,1130.0,0.024700000000000003
2021-03-18,8.12,8.12,8.12,8.12,50.0,-0.0217
2021-03-19,8.12,8.13,8.2,8.12,2950.0,0.0
2021-03-22,8.36,8.36,8.36,8.36,1700.0,0.0296
2021-03-23,8.86,8.36,8.86,8.36,6520.0,0.059800000000000006
2021-03-24,9.25,9.25,9.25,9.25,5900.0,0.044000000000000004
2021-03-25,9.1,9.25,9.5,9.1,9830.0,-0.016200000000000003
2021-03-26,9.05,9.09,9.1,8.83,1510.0,-0.0055000000000000005
2021-03-29,8.85,9.0,9.0,8.83,22060.0,-0.022099999999999998
2021-03-30,8.9,8.88,8.99,8.88,1230.0,0.005600000000000001
2021-03-31,8.9,8.9,8.9,8.9,1400.0,0.0
2021-04-01,8.8,8.75,8.84,8.66,4410.0,-0.011200000000000002
2021-04-02,8.79,8.71,8.79,8.66,1640.0,-0.0011
2021-04-05,8.88,8.67,8.88,8.67,20.0,0.0102
2021-04-06,8.9,8.88,9.08,8.84,28540.0,0.0023
2021-04-07,9.24,9.1,9.24,8.83,21000.0,0.0382
2021-04-08,9.2,9.1,9.3,9.1,3310.0,-0.0043
2021-04-09,9.33,9.149999999999999,9.385000000000002,9.05,0.0,0.0
2021-04-12,9.46,9.2,9.47,9.0,4090.0,0.028300000000000002
2021-04-13,9.46,9.2,9.46,9.2,2050.0,0.0
2021-04-14,9.4,9.32,9.45,9.32,2600.0,-0.0063
2021-04-15,9.12,9.32,9.32,9.12,6920.0,-0.0298
2021-04-16,9.1,9.38,9.39,9.05,700.0,-0.0022
2021-04-19,9.3,9.0,9.37,9.0,2950.0,0.022000000000000002
2021-04-20,9.2,9.03,9.2,9.03,8690.0,-0.0108
2021-04-21,9.17,9.01,9.19,9.01,2730.0,-0.0033
2021-04-22,9.2,9.03,9.4,9.03,10690.0,0.0033
2021-04-23,9.2,9.2,9.2,9.1,810.0,0.0
2021-04-26,9.43,9.2,9.43,9.2,4280.0,0.025
2021-04-27,9.44,9.43,9.45,9.43,1470.0,0.0011
2021-04-28,9.44,9.44,9.44,9.42,2029.9999999999998,0.0
2021-04-29,9.5,9.25,9.5,9.25,6060.0,0.0064
2021-04-30,9.55,9.54,9.55,9.54,500.0,0.0053
2021-05-03,9.65,9.55,9.69,9.55,1230.0,0.0105
2021-05-04,9.77,9.71,9.8,9.65,5210.0,0.0124
