Date,Price,Open,High,Low,Vol.,Change %
2020-09-01,1.0,1.0,1.0,1.0,160.0,-0.0196
2020-09-02,1.01,1.01,1.01,1.01,0.0,0.0
2020-09-03,1.02,1.02,1.02,1.02,0.0,0.0
2020-09-04,1.03,1.03,1.03,1.03,100.0,0.03
2020-09-07,1.0350000000000001,1.0350000000000001,1.0350000000000001,1.0350000000000001,0.0,0.0
2020-09-08,1.04,1.04,1.04,1.04,300.0,0.0097
2020-09-09,1.07,1.07,1.07,1.07,1480.0,0.0288
2020-09-10,1.12,1.105,1.12,1.105,0.0,0.0
2020-09-11,1.17,1.14,1.17,1.14,100.0,0.0935
2020-09-14,1.2,1.17,1.2,1.17,1920.0,0.0256
2020-09-15,1.25,1.25,1.25,1.25,1760.0,0.0417
2020-09-16,1.3033333333333332,1.3033333333333332,1.3033333333333332,1.3033333333333332,0.0,0.0
2020-09-17,1.3566666666666667,1.3566666666666667,1.3566666666666667,1.3566666666666667,0.0,0.0
2020-09-18,1.41,1.41,1.41,1.41,70.0,0.128
2020-09-21,1.39,1.42,1.42,1.39,320.0,-0.014199999999999999
2020-09-22,1.39,1.39,1.39,1.39,120.0,0.0
2020-09-23,1.39,1.39,1.39,1.39,4710.0,0.0
2020-09-24,1.39,1.39,1.39,1.39,2840.0,0.0
2020-09-25,1.39,1.39,1.39,1.39,4440.0,0.0
2020-09-28,1.39,1.39,1.39,1.39,1000.0,0.0
2020-09-29,1.39,1.39,1.39,1.39,2160.0,0.0
2020-09-30,1.39,1.39,1.39,1.39,1350.0,0.0
2020-10-01,1.37,1.37,1.37,1.37,0.0,0.0
2020-10-02,1.35,1.35,1.35,1.35,620.0,-0.0288
2020-10-05,1.35,1.35,1.35,1.35,1860.0,0.0
2020-10-06,1.3425,1.3425,1.3425,1.3425,0.0,0.0
2020-10-07,1.335,1.335,1.335,1.335,0.0,0.0
2020-10-08,1.3275000000000001,1.3275000000000001,1.3275000000000001,1.3275000000000001,0.0,0.0
2020-10-09,1.32,1.32,1.32,1.32,20.0,-0.0222
2020-10-12,1.31,1.31,1.31,1.31,3000.0,-0.0076
2020-10-13,1.31,1.31,1.31,1.31,0.0,0.0
2020-10-14,1.31,1.31,1.31,1.31,30.0,0.0
2020-10-15,1.315,1.315,1.315,1.315,0.0,0.0
2020-10-16,1.32,1.32,1.32,1.32,0.0,0.0
2020-10-19,1.3250000000000002,1.3250000000000002,1.3250000000000002,1.3250000000000002,0.0,0.0
2020-10-20,1.33,1.33,1.33,1.33,0.0,0.0
2020-10-21,1.335,1.335,1.335,1.335,0.0,0.0
2020-10-22,1.34,1.34,1.34,1.34,570.0,0.0229
2020-10-23,1.31,1.31,1.31,1.31,540.0,-0.022400000000000003
2020-10-26,1.3,1.3,1.3,1.3,230.0,-0.0076
2020-10-27,1.26,1.26,1.26,1.26,90.0,-0.0308
2020-10-28,1.2625,1.2625,1.2625,1.2625,0.0,0.0
2020-10-29,1.2650000000000001,1.2650000000000001,1.2650000000000001,1.2650000000000001,0.0,0.0
2020-10-30,1.2675,1.2675,1.2675,1.2675,0.0,0.0
2020-11-02,1.27,1.27,1.27,1.27,560.0,0.0079
2020-11-03,1.31,1.31,1.31,1.31,0.0,0.0
2020-11-04,1.35,1.35,1.35,1.35,10.0,0.063
2020-11-05,1.33,1.33,1.33,1.33,140.0,-0.0148
2020-11-06,1.33,1.33,1.33,1.33,70.0,0.0
2020-11-09,1.29,1.32,1.32,1.29,700.0,-0.0301
2020-11-10,1.26,1.29,1.29,1.26,0.0,0.0
2020-11-11,1.23,1.26,1.26,1.23,7830.0,-0.04650000000000001
2020-11-12,1.23,1.23,1.23,1.23,500.0,0.0
