Date,Price,Open,High,Low,Vol.,Change %
2020-08-10,46.0,46.5,46.6,46.0,1160.0,-0.0108
2020-08-11,46.0,46.0,46.6,46.0,470.0,0.0
2020-08-12,46.5,46.0,46.6,46.0,4730.0,0.0109
2020-08-13,46.565,46.25,46.615,46.25,0.0,0.0
2020-08-14,46.63,46.5,46.63,46.5,900.0,0.0027
2020-08-17,46.0,46.63,47.0,46.0,410.0,-0.0134
2020-08-18,46.0,46.0,46.5,46.0,770.0,0.0
2020-08-19,45.65,45.55,46.0,45.55,1150.0,-0.0076
2020-08-20,45.825,45.599999999999994,46.0,45.599999999999994,0.0,0.0
2020-08-21,46.0,45.65,46.0,45.65,2160.0,0.0077
2020-08-24,45.67,46.0,46.0,45.67,4830.0,-0.0070999999999999995
2020-08-25,46.0,45.75,46.0,45.68,1070.0,0.0070999999999999995
2020-08-26,45.67,46.0,46.0,45.5,8700.0,-0.0070999999999999995
2020-08-27,45.68,45.68,45.95,45.68,1060.0,0.0001
2020-08-28,45.5,45.67,45.67,45.4,1010.0,-0.0039000000000000003
2020-08-31,45.5,45.74,45.85,45.5,1350.0,0.0
2020-09-01,45.4,45.5,45.5,45.4,46360.0,-0.0022
2020-09-02,45.65,45.85,45.85,45.35,600.0,0.0055000000000000005
2020-09-03,45.5,45.65,45.85,45.35,3230.0,-0.0033
2020-09-04,45.69,45.85,45.85,45.0,490.0,0.0043
2020-09-07,45.5,45.69,45.75,45.0,580.0,-0.0043
2020-09-08,45.49,45.75,45.75,45.05,1570.0,-0.0002
2020-09-09,45.65,45.0,45.65,45.0,1110.0,0.0034999999999999996
2020-09-10,46.15,45.65,46.15,45.6,3530.0,0.011000000000000001
2020-09-11,48.96,46.25,48.96,46.25,3310.0,0.060899999999999996
2020-09-14,49.5,49.51,50.5,49.4,7870.0,0.011000000000000001
2020-09-15,48.25,49.42,49.42,48.05,1860.0,-0.0253
2020-09-16,48.25,48.06,48.5,48.06,980.0,0.0
2020-09-17,48.45,48.1,48.45,48.1,570.0,0.0040999999999999995
2020-09-18,48.45,48.45,48.45,48.05,550.0,0.0
2020-09-21,48.35,48.05,48.35,48.05,1140.0,-0.0021
2020-09-22,48.05,48.05,48.35,48.0,840.0,-0.0062
2020-09-23,48.25,48.1,48.48,48.0,4560.0,0.0042
2020-09-24,48.01,48.25,48.25,48.01,100.0,-0.005
2020-09-25,48.0,48.05,48.06,48.0,7370.0,-0.0002
2020-09-28,47.5,47.51,47.75,47.5,4059.9999999999995,-0.0104
2020-09-29,48.5,48.5,48.5,47.25,2570.0,0.021099999999999997
2020-09-30,47.05,47.5,47.5,47.04,330.0,-0.029900000000000003
2020-10-01,47.0,47.05,47.05,46.9,920.0,-0.0011
2020-10-02,45.6,46.26,46.26,45.6,6090.0,-0.0298
2020-10-05,47.0,46.0,47.0,46.0,270.0,0.030699999999999998
2020-10-06,47.5,47.5,47.5,47.5,70.0,0.0106
2020-10-07,47.06,48.3,48.3,46.96,930.0,-0.0092
2020-10-08,47.5,48.0,48.0,47.06,220.0,0.0092
2020-10-09,47.15,47.5,47.5,47.15,180.0,-0.0074
2020-10-12,47.15,46.9,47.15,46.5,230.0,0.0
2020-10-13,47.0,48.3,48.3,47.0,420.0,-0.0032
2020-10-14,47.0,47.0,47.0,47.0,220.0,0.0
2020-10-15,47.0,47.495000000000005,47.495000000000005,46.78,0.0,0.0
