Date,Price,Open,High,Low,Vol.,Change %
2020-08-10,8.74,8.6,8.79,8.6,6970.0,0.0163
2020-08-11,8.85,8.6,8.85,8.6,11170.0,0.0126
2020-08-12,8.7,8.61,8.7,8.6,2090.0,-0.0169
2020-08-13,8.695,8.605,8.7,8.6,0.0,0.0
2020-08-14,8.69,8.6,8.7,8.6,5330.0,-0.0011
2020-08-17,8.6,8.6,8.69,8.6,5020.0,-0.0104
2020-08-18,8.6,8.6,8.6,8.5,1420.0,0.0
2020-08-19,8.58,8.6,8.6,8.4,7850.0,-0.0023
2020-08-20,8.585,8.6,8.6,8.495000000000001,0.0,0.0
2020-08-21,8.59,8.6,8.6,8.59,960.0,0.0012
2020-08-24,8.59,8.6,8.6,8.42,2620.0,0.0
2020-08-25,8.56,8.56,8.57,8.35,6570.0,-0.0034999999999999996
2020-08-26,8.57,8.55,8.57,8.4,3570.0,0.0012
2020-08-27,8.57,8.57,8.57,8.5,3880.0,0.0
2020-08-28,8.53,8.41,8.54,8.4,1210.0,-0.004699999999999999
2020-08-31,8.54,8.53,8.54,8.53,780.0,0.0012
2020-09-01,8.5,8.49,8.5,8.35,9200.0,-0.004699999999999999
2020-09-02,8.4,8.5,8.5,8.39,8810.0,-0.0118
2020-09-03,8.33,8.4,8.42,8.25,6070.0,-0.0083
2020-09-04,8.28,8.48,8.48,8.25,11340.0,-0.006
2020-09-07,8.23,8.27,8.27,8.2,10060.0,-0.006
2020-09-08,8.27,8.25,8.27,8.14,17840.0,0.0049
2020-09-09,8.5,8.16,8.51,8.16,39690.0,0.0278
2020-09-10,8.98,8.88,9.02,8.68,41050.0,0.0565
2020-09-11,9.39,9.19,9.46,9.0,13670.0,0.045700000000000005
2020-09-14,9.47,9.4,9.68,9.4,31600.0,0.0085
2020-09-15,9.38,9.2,9.47,9.19,4300.0,-0.0095
2020-09-16,9.35,9.45,9.45,9.0,3740.0,-0.0032
2020-09-17,9.3,9.33,9.33,9.08,3100.0,-0.0053
2020-09-18,9.4,9.3,9.5,9.04,7800.0,0.0108
2020-09-21,9.4,9.35,9.4,9.14,1930.0,0.0
2020-09-22,9.2,9.2,9.4,9.04,1190.0,-0.0213
2020-09-23,9.21,8.96,9.22,8.96,6480.0,0.0011
2020-09-24,9.19,9.3,9.3,9.03,2930.0,-0.0022
2020-09-25,9.16,8.94,9.19,8.94,1140.0,-0.0033
2020-09-28,9.1,9.01,9.1,9.0,1450.0,-0.0066
2020-09-29,9.1,9.0,9.14,9.0,1360.0,0.0
2020-09-30,9.0,9.1,9.1,8.83,6390.0,-0.011000000000000001
2020-10-01,8.98,9.14,9.15,8.87,2740.0,-0.0022
2020-10-02,8.95,8.75,8.98,8.72,5990.0,-0.0033
2020-10-05,9.0,9.2,9.2,8.93,1560.0,0.005600000000000001
2020-10-06,9.0,8.96,9.0,8.94,1440.0,0.0
