Date,Price,Open,High,Low,Vol.,Change %
2020-08-10,5.55,5.55,5.55,5.55,8400.0,-0.0045000000000000005
2020-08-11,5.57,5.53,5.57,5.42,23000.0,0.0045000000000000005
2020-08-12,5.58,5.57,5.58,5.57,1320.0,0.0015
2020-08-13,5.58,5.555,5.58,5.535,0.0,0.0
2020-08-14,5.58,5.54,5.58,5.5,4260.0,0.0
2020-08-17,5.54,5.58,5.58,5.43,14280.0,-0.0075
2020-08-18,5.58,5.54,5.58,5.54,11180.0,0.0075
2020-08-19,5.57,5.46,5.57,5.46,8260.0,-0.0015
2020-08-20,5.57,5.48,5.575,5.48,0.0,0.0
2020-08-21,5.57,5.5,5.58,5.5,10050.0,0.0
2020-08-24,5.57,5.57,5.57,5.5,7220.0,0.0
2020-08-25,5.57,5.57,5.57,5.54,13500.0,-0.0015
2020-08-26,5.57,5.55,5.57,5.55,65850.0,0.0
2020-08-27,5.57,5.57,5.57,5.57,62880.0,0.0
2020-08-28,5.58,5.58,5.58,5.57,16239.999999999998,0.003
2020-08-31,5.62,5.62,5.62,5.54,15620.0,0.0075
2020-09-01,5.62,5.62,5.62,5.56,20970.0,0.0
2020-09-02,5.63,5.66,5.66,5.56,36370.0,0.0015
2020-09-03,5.62,5.62,5.62,5.62,14330.0,-0.0015
2020-09-04,5.67,5.62,5.67,5.62,9160.0,0.0074
2020-09-07,5.7,5.71,5.71,5.7,4470.0,0.0059
2020-09-08,5.7,5.7,5.7,5.7,2020.0,0.0
2020-09-09,5.79,5.79,5.79,5.7,7310.0,0.0161
2020-09-10,5.82,5.83,5.83,5.71,9070.0,0.0058
2020-09-11,5.75,5.75,5.75,5.73,26550.0,-0.0129
2020-09-14,5.78,5.75,5.78,5.75,7470.0,0.0058
2020-09-15,5.78,5.78,5.78,5.78,3330.0,0.0
2020-09-16,5.78,5.78,5.78,5.75,82740.0,0.0
2020-09-17,5.78,5.79,5.79,5.77,2040.0,0.0
2020-09-18,5.78,5.78,5.78,5.67,17550.0,0.0
2020-09-21,5.77,5.67,5.77,5.67,8600.0,-0.0014000000000000002
2020-09-22,5.73,5.67,5.73,5.61,4230.0,-0.0072
2020-09-23,5.73,5.73,5.73,5.72,4940.0,0.0
2020-09-24,5.73,5.67,5.73,5.67,14920.0,0.0
2020-09-25,5.75,5.73,5.75,5.67,4820.0,0.0029
2020-09-28,5.75,5.83,5.83,5.66,6110.0,0.0
2020-09-29,5.82,5.83,5.83,5.66,3480.0,0.013000000000000001
2020-09-30,5.82,5.82,5.82,5.67,10870.0,0.0
2020-10-01,5.62,5.82,5.82,5.62,19520.0,-0.034300000000000004
2020-10-02,5.71,5.71,5.71,5.54,11530.0,0.0148
2020-10-05,5.73,5.75,5.75,5.71,5490.0,0.0044
2020-10-06,5.72,5.72,5.72,5.71,6960.0,-0.0015
2020-10-07,5.61,5.73,5.73,5.61,20690.0,-0.0204
2020-10-08,5.58,5.61,5.61,5.46,26320.0,-0.0045000000000000005
2020-10-09,5.61,5.61,5.61,5.5,2760.0,0.0045000000000000005
2020-10-12,5.61,5.6,5.61,5.5,3930.0,0.0
2020-10-13,5.58,5.58,5.61,5.5,11450.0,-0.0045000000000000005
2020-10-14,5.58,5.61,5.61,5.58,2260.0,0.0
2020-10-15,5.595000000000001,5.595000000000001,5.61,5.54,0.0,0.0
2020-10-16,5.61,5.58,5.61,5.5,13800.0,0.0045000000000000005
2020-10-19,5.61,5.61,5.61,5.5,4460.0,0.0
2020-10-20,5.58,5.58,5.58,5.5,9010.0,-0.0045000000000000005
2020-10-21,5.61,5.58,5.61,5.58,4680.0,0.0045000000000000005
2020-10-22,5.61,5.75,5.75,5.61,4290.0,0.0
2020-10-23,5.71,5.75,5.75,5.54,6740.0,0.0178
2020-10-26,5.67,5.75,5.75,5.62,7920.0,-0.0073
2020-10-27,5.67,5.67,5.67,5.5,3830.0,0.0
2020-10-28,5.67,5.67,5.67,5.58,3980.0,0.0
2020-10-29,5.545,5.67,5.67,5.5,0.0,0.0
2020-10-30,5.42,5.67,5.67,5.42,98740.0,-0.0441
2020-11-02,5.48,5.57,5.57,5.42,18640.0,0.0123
2020-11-03,5.48,5.5,5.5,5.41,13220.0,0.0
2020-11-04,5.46,5.58,5.58,5.46,5920.0,-0.0046
2020-11-05,5.46,5.54,5.54,5.42,12060.0,0.0
2020-11-06,5.46,5.5,5.5,5.39,9890.0,0.0
2020-11-09,5.56,5.49,5.56,5.46,9620.0,0.0183
2020-11-10,5.54,5.56,5.56,5.43,18180.0,-0.003
2020-11-11,5.54,5.56,5.56,5.42,30860.0,0.0
2020-11-12,5.5,5.57,5.57,5.42,9670.0,-0.0075
2020-11-13,5.5,5.53,5.53,5.46,24510.0,0.0
2020-11-16,5.54,5.42,5.57,5.42,46600.0,0.0076
2020-11-17,5.57,5.57,5.58,5.46,6350.0,0.0045000000000000005
2020-11-18,5.54,5.57,5.57,5.46,15600.0,-0.0045000000000000005
2020-11-19,5.54,5.54,5.56,5.54,55300.0,0.0
2020-11-20,5.54,5.5,5.54,5.5,21000.0,0.0
2020-11-23,5.54,5.57,5.57,5.5,29580.0,0.0
2020-11-24,5.54,5.54,5.54,5.54,10560.0,0.0
2020-11-25,5.54,5.54,5.56,5.54,17660.0,0.0
2020-11-26,5.56,5.56,5.56,5.54,17410.0,0.003
2020-11-27,5.54,5.56,5.56,5.42,34360.0,-0.003
2020-11-30,5.54,5.54,5.54,5.53,52340.0,0.0
2020-12-01,5.58,5.54,5.58,5.53,6860.0,0.0075
2020-12-02,5.58,5.58,5.58,5.55,11010.0,0.0
2020-12-03,5.58,5.5,5.58,5.5,4680.0,0.0
2020-12-04,5.62,5.58,5.62,5.54,8510.0,0.0075
2020-12-07,5.74,5.75,5.75,5.58,4640.0,0.0207
2020-12-08,5.74,5.66,5.74,5.57,17540.0,0.0
2020-12-09,5.74,5.74,5.74,5.58,5140.0,0.0
2020-12-10,5.74,5.74,5.74,5.73,3570.0,0.0
2020-12-11,5.71,5.74,5.74,5.7,7920.0,-0.0058
2020-12-14,5.67,5.71,5.71,5.58,23700.0,-0.0073
2020-12-15,5.65,5.7,5.7,5.57,25540.0,-0.0029
2020-12-16,5.58,5.65,5.65,5.57,24120.0,-0.0118
2020-12-17,5.58,5.62,5.62,5.51,15440.0,0.0
2020-12-18,5.57,5.66,5.66,5.49,10850.0,-0.0015
2020-12-21,5.57,5.65,5.65,5.49,9430.0,0.0
2020-12-22,5.57,5.58,5.58,5.42,25530.0,-0.0015
2020-12-23,5.57,5.57,5.57,5.42,33830.0,0.0
2020-12-24,5.63,5.67,5.67,5.5,13710.0,0.012
2020-12-25,5.64,5.66,5.66,5.5,12590.0,0.0015
2020-12-28,5.58,5.65,5.65,5.5,31580.0,-0.0103
2020-12-29,5.58,5.62,5.62,5.5,853890.0,0.0
2020-12-30,5.62,5.58,5.62,5.52,50630.0,0.006
2020-12-31,5.67,5.62,5.67,5.52,58330.0,0.0089
2021-01-01,5.609999999999999,5.640000000000001,5.665,5.51,0.0,0.0
2021-01-04,5.55,5.66,5.66,5.5,28640.0,-0.0206
2021-01-05,5.57,5.58,5.58,5.49,17270.0,0.0045000000000000005
2021-01-06,5.56,5.57,5.57,5.47,6630.0,-0.003
2021-01-07,5.47,5.54,5.54,5.47,13390.0,-0.0165
2021-01-08,5.47,5.47,5.5,5.47,18470.0,0.0
2021-01-11,5.37,5.42,5.42,5.37,11050.0,-0.0183
2021-01-12,5.33,5.27,5.42,5.25,25220.0,-0.0062
2021-01-13,5.37,5.42,5.42,5.27,12780.0,0.0078000000000000005
2021-01-14,5.37,5.415,5.415,5.295,0.0,0.0
2021-01-15,5.37,5.41,5.41,5.32,5980.0,0.0
2021-01-18,5.25,5.37,5.37,5.22,26770.0,-0.0233
2021-01-19,5.35,5.37,5.37,5.25,24600.0,0.019
2021-01-20,5.32,5.26,5.32,5.23,19090.0,-0.0062
2021-01-21,5.37,5.25,5.37,5.25,17410.0,0.009399999999999999
2021-01-22,5.17,5.37,5.37,5.17,46440.0,-0.0373
2021-01-25,5.25,5.32,5.32,5.17,9560.0,0.0161
2021-01-26,5.17,5.29,5.29,5.17,37590.0,-0.0159
2021-01-27,5.14,5.17,5.29,5.13,83480.0,-0.0048
2021-01-28,5.26,5.17,5.27,5.15,40190.0,0.0227
2021-01-29,5.25,5.25,5.27,5.17,51320.0,-0.0016
2021-02-01,5.25,5.35,5.35,5.25,31670.0,0.0
2021-02-02,5.12,5.25,5.25,5.12,44710.0,-0.023799999999999998
2021-02-03,5.16,5.17,5.17,5.04,29110.0,0.006500000000000001
2021-02-04,5.25,5.17,5.25,5.13,27670.0,0.0178
2021-02-05,5.24,5.17,5.24,5.13,27200.0,-0.0016
2021-02-08,5.08,5.17,5.28,5.08,22870.0,-0.0302
2021-02-09,5.1,5.08,5.23,5.08,1940.0,0.0033
2021-02-10,5.17,5.17,5.17,5.11,59040.0,0.0131
2021-02-11,5.24,5.17,5.3,5.17,25800.0,0.014499999999999999
2021-02-12,5.17,5.32,5.32,5.17,96010.0,-0.0127
2021-02-15,5.25,5.32,5.32,5.17,15800.0,0.014499999999999999
2021-02-16,5.3,5.31,5.31,5.17,31670.0,0.0095
2021-02-17,5.29,5.17,5.37,5.17,19650.0,-0.0016
2021-02-18,5.37,5.37,5.42,5.37,26300.0,0.015700000000000002
2021-02-19,5.37,5.41,5.46,5.37,10880.0,-0.0016
2021-02-22,5.46,5.46,5.46,5.33,15830.0,0.0171
2021-02-23,5.46,5.42,5.46,5.3,14030.0,0.0
2021-02-24,5.45,5.46,5.46,5.37,9480.0,-0.0015
2021-02-25,5.45,5.45,5.47,5.45,18080.0,0.0
2021-02-26,5.44,5.46,5.46,5.3,50400.0,-0.0015
2021-03-01,5.42,5.45,5.45,5.28,18760.0,-0.0046
2021-03-02,5.37,5.42,5.42,5.26,14820.0,-0.0077
2021-03-03,5.42,5.37,5.42,5.37,14860.0,0.0078000000000000005
2021-03-04,5.46,5.42,5.49,5.37,20480.0,0.0077
2021-03-05,5.54,5.46,5.55,5.33,22920.0,0.015300000000000001
2021-03-08,5.53,5.53,5.54,5.52,13460.0,-0.0015
2021-03-09,5.53,5.53,5.53,5.53,10470.0,0.0
2021-03-10,5.52,5.54,5.54,5.38,15960.0,-0.003
2021-03-11,5.51,5.52,5.52,5.42,17380.0,-0.0015
2021-03-12,5.52,5.51,5.52,5.35,102030.0,0.0015
2021-03-15,5.52,5.52,5.53,5.46,8380.0,0.0015
2021-03-16,5.37,5.52,5.52,5.37,28980.0,-0.0287
2021-03-17,5.42,5.27,5.42,5.17,527840.0,0.009300000000000001
2021-03-18,5.48,5.33,5.48,5.33,329060.0,0.0123
2021-03-19,5.47,5.43,5.49,5.33,10830.0,-0.0015
2021-03-22,5.54,5.46,5.54,5.42,39190.0,0.012199999999999999
2021-03-23,5.56,5.54,5.56,5.48,29650.0,0.003
2021-03-24,5.72,5.57,5.73,5.51,66910.0,0.03
2021-03-25,5.74,5.82,5.82,5.65,36500.0,0.0029
