Date,Price,Open,High,Low,Vol.,Change %
2020-08-24,9.61,9.61,9.61,9.61,10.0,-0.029300000000000003
2020-08-25,9.524,9.524,9.524,9.524,0.0,0.0
2020-08-26,9.437999999999999,9.437999999999999,9.437999999999999,9.437999999999999,0.0,0.0
2020-08-27,9.352,9.352,9.352,9.352,0.0,0.0
2020-08-28,9.266,9.266,9.266,9.266,0.0,0.0
2020-08-31,9.18,9.18,9.18,9.18,200.0,-0.0447
2020-09-01,9.144,9.144,9.144,9.144,0.0,0.0
2020-09-02,9.108,9.108,9.108,9.108,0.0,0.0
2020-09-03,9.072,9.072,9.072,9.072,0.0,0.0
2020-09-04,9.036,9.036,9.036,9.036,0.0,0.0
2020-09-07,9.0,9.0,9.0,9.0,500.0,-0.0196
2020-09-08,8.79,8.79,8.79,8.79,780.0,-0.0233
2020-09-09,8.675,8.68,8.68,8.675,0.0,0.0
2020-09-10,8.56,8.57,8.57,8.56,550.0,-0.0262
2020-09-11,8.35,8.35,8.35,8.35,670.0,-0.0245
2020-09-14,8.56,8.56,8.56,8.56,0.0,0.025099999999999997
2020-09-15,8.455,8.455,8.455,8.455,0.0,0.0
2020-09-16,8.35,8.35,8.35,8.35,100.0,-0.0245
2020-09-17,8.35,8.35,8.35,8.35,200.0,0.0
2020-09-18,8.3,8.31,8.31,8.3,590.0,-0.006
2020-09-21,8.3125,8.307500000000001,8.32,8.3,0.0,0.0
2020-09-22,8.325,8.305,8.33,8.3,0.0,0.0
2020-09-23,8.3375,8.3025,8.34,8.3,0.0,0.0
2020-09-24,8.35,8.3,8.35,8.3,720.0,0.006
2020-09-25,8.35,8.3,8.35,8.3,430.0,0.0
2020-09-28,8.3,8.35,8.35,8.3,110.0,-0.006
2020-09-29,8.35,8.35,8.35,8.35,80.0,0.006
2020-09-30,8.35,8.35,8.35,8.35,100.0,0.0
2020-10-01,8.6,8.6,8.6,8.6,0.0,0.0
2020-10-02,8.85,8.85,8.85,8.85,20.0,0.0599
2020-10-05,9.11,9.11,9.11,9.11,0.0,0.0294
2020-10-06,9.036666666666667,9.036666666666667,9.036666666666667,9.036666666666667,0.0,0.0
