Date,Price,Open,High,Low,Vol.,Change %
2020-08-18,1.75,1.75,1.75,1.75,2610.0,-0.0278
2020-08-19,1.7,1.7,1.7,1.7,2620.0,-0.0286
2020-08-20,1.7,1.7,1.7,1.7,0.0,0.0
2020-08-21,1.7,1.7,1.7,1.7,0.0,0.0
2020-08-24,1.7,1.7,1.7,1.7,0.0,0.0
2020-08-25,1.7,1.7,1.7,1.7,0.0,0.0
2020-08-26,1.7,1.7,1.7,1.7,0.0,0.0
2020-08-27,1.7,1.7,1.7,1.7,0.0,0.0
2020-08-28,1.7,1.7,1.7,1.7,100.0,0.0
2020-08-31,1.7,1.7,1.7,1.7,0.0,0.0
2020-09-01,1.7,1.7,1.7,1.7,0.0,0.0
2020-09-02,1.7,1.7,1.7,1.7,0.0,0.0
2020-09-03,1.7,1.7,1.7,1.7,0.0,0.0
2020-09-04,1.7,1.7,1.7,1.7,0.0,0.0
2020-09-07,1.7,1.7,1.7,1.7,0.0,0.0
2020-09-08,1.7,1.7,1.7,1.7,0.0,0.0
2020-09-09,1.7,1.7,1.7,1.7,0.0,0.0
2020-09-10,1.7,1.7,1.7,1.7,0.0,0.0
2020-09-11,1.7,1.7,1.7,1.7,0.0,0.0
2020-09-14,1.7,1.7,1.7,1.7,0.0,0.0
2020-09-15,1.7,1.7,1.7,1.7,0.0,0.0
2020-09-16,1.7,1.7,1.7,1.7,0.0,0.0
2020-09-17,1.7,1.7,1.7,1.7,0.0,0.0
2020-09-18,1.7,1.7,1.7,1.7,0.0,0.0
2020-09-21,1.7,1.7,1.7,1.7,0.0,0.0
2020-09-22,1.7,1.7,1.7,1.7,0.0,0.0
2020-09-23,1.7,1.7,1.7,1.7,0.0,0.0
2020-09-24,1.7,1.7,1.7,1.7,0.0,0.0
2020-09-25,1.7,1.7,1.7,1.7,0.0,0.0
2020-09-28,1.7,1.7,1.7,1.7,0.0,0.0
2020-09-29,1.7,1.7,1.7,1.7,1000.0,0.0
2020-09-30,1.7,1.7,1.7,1.7,500.0,0.0
2020-10-01,1.72,1.72,1.72,1.72,100.0,0.0118
2020-10-02,1.72,1.72,1.72,1.72,0.0,0.0
2020-10-05,1.72,1.72,1.72,1.72,900.0,0.0
2020-10-06,1.72,1.72,1.72,1.72,1480.0,0.0
2020-10-07,1.72,1.72,1.72,1.72,0.0,0.0
2020-10-08,1.72,1.72,1.72,1.72,0.0,0.0
2020-10-09,1.72,1.72,1.72,1.72,0.0,0.0
2020-10-12,1.72,1.72,1.72,1.72,0.0,0.0
2020-10-13,1.72,1.72,1.72,1.72,0.0,0.0
2020-10-14,1.72,1.72,1.72,1.72,0.0,0.0
2020-10-15,1.72,1.72,1.72,1.72,0.0,0.0
2020-10-16,1.72,1.72,1.72,1.72,0.0,0.0
2020-10-19,1.72,1.72,1.72,1.72,0.0,0.0
2020-10-20,1.72,1.72,1.72,1.72,0.0,0.0
2020-10-21,1.72,1.72,1.72,1.72,0.0,0.0
2020-10-22,1.72,1.72,1.72,1.72,0.0,0.0
2020-10-23,1.72,1.72,1.72,1.72,0.0,0.0
2020-10-26,1.72,1.72,1.72,1.72,0.0,0.0
2020-10-27,1.72,1.72,1.72,1.72,0.0,0.0
