Date,Price,Open,High,Low,Vol.,Change %
2020-08-18,15.96,15.9,15.96,15.04,500.0,0.0297
2020-08-19,16.07,15.7975,16.07,15.1525,0.0,0.0
2020-08-20,16.18,15.695,16.18,15.265,0.0,0.0
2020-08-21,16.29,15.592500000000001,16.29,15.3775,0.0,0.0
2020-08-24,16.4,15.49,16.4,15.49,440.0,0.0276
2020-08-25,16.236666666666665,15.63,16.4,15.63,0.0,0.0
2020-08-26,16.073333333333334,15.77,16.4,15.77,0.0,0.0
2020-08-27,15.91,15.91,16.4,15.91,2480.0,-0.029900000000000003
2020-08-28,15.9,15.44,15.9,15.44,720.0,-0.0006
2020-08-31,15.9,15.67,15.9,15.67,0.0,0.0
2020-09-01,15.9,15.9,15.9,15.9,390.0,0.0
2020-09-02,15.914285714285715,15.832857142857144,15.914285714285715,15.832857142857144,0.0,0.0
2020-09-03,15.928571428571429,15.765714285714285,15.928571428571429,15.765714285714285,0.0,0.0
2020-09-04,15.942857142857143,15.698571428571428,15.942857142857143,15.698571428571428,0.0,0.0
2020-09-07,15.957142857142857,15.631428571428572,15.957142857142857,15.631428571428572,0.0,0.0
2020-09-08,15.971428571428572,15.564285714285715,15.971428571428572,15.564285714285715,0.0,0.0
2020-09-09,15.985714285714286,15.497142857142856,15.985714285714286,15.497142857142856,0.0,0.0
2020-09-10,16.0,15.43,16.0,15.43,450.0,0.0063
2020-09-11,16.0,15.28,16.0,15.28,280.0,0.0
2020-09-14,16.0,15.459999999999999,16.0,15.459999999999999,0.0,0.0
2020-09-15,16.0,15.64,16.0,15.64,0.0,0.0
2020-09-16,16.0,15.82,16.0,15.82,0.0,0.0
2020-09-17,16.0,16.0,16.0,16.0,350.0,0.0
2020-09-18,16.0,16.0,16.0,16.0,2630.0,0.0
2020-09-21,15.996666666666666,15.996666666666666,15.996666666666666,15.996666666666666,0.0,0.0
2020-09-22,15.993333333333334,15.993333333333334,15.993333333333334,15.993333333333334,0.0,0.0
2020-09-23,15.99,15.99,15.99,15.99,400.0,-0.0006
2020-09-24,15.991428571428571,15.998571428571429,15.998571428571429,15.99,0.0,0.0
2020-09-25,15.992857142857144,16.007142857142856,16.007142857142856,15.99,0.0,0.0
2020-09-28,15.994285714285715,16.015714285714285,16.015714285714285,15.99,0.0,0.0
2020-09-29,15.995714285714286,16.024285714285714,16.024285714285714,15.99,0.0,0.0
2020-09-30,15.997142857142856,16.032857142857143,16.032857142857143,15.99,0.0,0.0
2020-10-01,15.998571428571429,16.041428571428572,16.041428571428572,15.99,0.0,0.0
2020-10-02,16.0,16.05,16.05,15.99,1180.0,0.0006
2020-10-05,16.0,15.99,16.0,15.99,1570.0,0.0
2020-10-06,16.0,15.52,16.05,15.52,9600.0,0.0
2020-10-07,15.99,16.0,16.0,15.99,17080.0,-0.0006
2020-10-08,16.05,16.05,16.05,16.05,50.0,0.0038
2020-10-09,16.081818181818182,16.081818181818182,16.081818181818182,16.081818181818182,0.0,0.0
2020-10-12,16.113636363636363,16.113636363636363,16.113636363636363,16.113636363636363,0.0,0.0
2020-10-13,16.145454545454545,16.145454545454545,16.145454545454545,16.145454545454545,0.0,0.0
2020-10-14,16.177272727272726,16.177272727272726,16.177272727272726,16.177272727272726,0.0,0.0
2020-10-15,16.209090909090907,16.209090909090907,16.209090909090907,16.209090909090907,0.0,0.0
2020-10-16,16.240909090909092,16.240909090909092,16.240909090909092,16.240909090909092,0.0,0.0
2020-10-19,16.272727272727273,16.272727272727273,16.272727272727273,16.272727272727273,0.0,0.0
2020-10-20,16.304545454545455,16.304545454545455,16.304545454545455,16.304545454545455,0.0,0.0
2020-10-21,16.336363636363636,16.336363636363636,16.336363636363636,16.336363636363636,0.0,0.0
2020-10-22,16.368181818181817,16.368181818181817,16.368181818181817,16.368181818181817,0.0,0.0
2020-10-23,16.4,16.4,16.4,16.4,0.0,0.0218
2020-10-26,16.369999999999997,16.395,16.395,16.369999999999997,0.0,0.0
2020-10-27,16.34,16.39,16.39,16.34,40.0,-0.0037
2020-10-28,16.34,16.34,16.34,16.34,50.0,0.0
2020-10-29,16.326666666666668,16.326666666666668,16.326666666666668,16.326666666666668,0.0,0.0
