Date,Price,Open,High,Low,Vol.,Change %
2020-08-10,1.45,1.42,1.46,1.41,90090.0,0.021099999999999997
2020-08-11,1.45,1.45,1.47,1.44,57420.0,0.0
2020-08-12,1.41,1.43,1.45,1.4,147740.0,-0.0276
2020-08-13,1.4,1.415,1.43,1.39,0.0,0.0
2020-08-14,1.39,1.4,1.41,1.38,104260.0,-0.014199999999999999
2020-08-17,1.38,1.39,1.41,1.37,45710.0,-0.0072
2020-08-18,1.41,1.38,1.44,1.36,300190.0,0.0217
2020-08-19,1.43,1.41,1.43,1.4,234630.0,0.014199999999999999
2020-08-20,1.42,1.4249999999999998,1.44,1.4049999999999998,0.0,0.0
2020-08-21,1.41,1.44,1.45,1.41,74580.0,-0.013999999999999999
2020-08-24,1.43,1.41,1.44,1.4,147530.0,0.014199999999999999
2020-08-25,1.47,1.45,1.475,1.44,0.0,0.0
2020-08-26,1.51,1.49,1.51,1.48,1890000.0,0.0559
2020-08-27,1.5766666666666667,1.5633333333333332,1.5766666666666667,1.52,0.0,0.0
2020-08-28,1.6433333333333333,1.6366666666666667,1.6433333333333333,1.56,0.0,0.0
2020-08-31,1.71,1.71,1.71,1.6,2029999.9999999998,0.1325
2020-09-01,1.66,1.71,1.76,1.66,1210000.0,-0.0292
2020-09-02,1.68,1.65,1.69,1.62,508900.0,0.012
2020-09-03,1.68,1.68,1.71,1.64,357860.0,0.0
2020-09-04,1.65,1.66,1.69,1.62,322330.0,-0.0179
2020-09-07,1.64,1.63,1.64,1.59,246930.0,-0.0060999999999999995
2020-09-08,1.61,1.63,1.64,1.59,314860.0,-0.0183
2020-09-09,1.59,1.61,1.64,1.57,619680.0,-0.0124
2020-09-10,1.55,1.57,1.59,1.54,214910.0,-0.0252
2020-09-11,1.54,1.56,1.6,1.53,152420.0,-0.006500000000000001
2020-09-14,1.55,1.54,1.58,1.52,67190.0,0.006500000000000001
2020-09-15,1.59,1.56,1.6,1.54,105440.0,0.0258
2020-09-16,1.56,1.59,1.6,1.55,84340.0,-0.0189
2020-09-17,1.58,1.55,1.59,1.54,197490.0,0.0128
2020-09-18,1.59,1.6,1.63,1.57,101690.0,0.0063
2020-09-21,1.54,1.58,1.58,1.54,167100.0,-0.031400000000000004
2020-09-22,1.53,1.46,1.53,1.45,347600.0,-0.006500000000000001
2020-09-23,1.53,1.5,1.53,1.5,95680.0,0.0
2020-09-24,1.5,1.52,1.52,1.49,110630.0,-0.0196
2020-09-25,1.52,1.5,1.54,1.48,64269.99999999999,0.013300000000000001
2020-09-28,1.52,1.54,1.54,1.5,13370.0,0.0
2020-09-29,1.52,1.5,1.54,1.5,45250.0,0.0
2020-09-30,1.48,1.52,1.52,1.48,340140.0,-0.0263
2020-10-01,1.4,1.48,1.48,1.4,171240.0,-0.0541
2020-10-02,1.42,1.36,1.42,1.33,215810.0,0.0143
2020-10-05,1.46,1.43,1.47,1.42,126260.0,0.0282
2020-10-06,1.52,1.48,1.52,1.47,300080.0,0.041100000000000005
2020-10-07,1.48,1.52,1.52,1.47,264930.0,-0.0263
2020-10-08,1.48,1.5,1.5,1.46,23730.0,0.0
2020-10-09,1.47,1.5,1.5,1.46,20350.0,-0.0068000000000000005
2020-10-12,1.47,1.47,1.47,1.44,33080.0,0.0
2020-10-13,1.49,1.47,1.49,1.44,17330.0,0.013600000000000001
2020-10-14,1.5,1.5,1.5,1.48,18850.0,0.0067
2020-10-15,1.4849999999999999,1.5,1.5,1.475,0.0,0.0
2020-10-16,1.47,1.5,1.5,1.47,51010.0,-0.02
2020-10-19,1.49,1.47,1.5,1.46,53340.0,0.013600000000000001
2020-10-20,1.48,1.47,1.49,1.46,49360.0,-0.0067
2020-10-21,1.51,1.49,1.52,1.47,231490.0,0.0203
2020-10-22,1.51,1.51,1.56,1.5,392170.0,0.0
2020-10-23,1.52,1.53,1.54,1.5,113000.0,0.0066
2020-10-26,1.5,1.51,1.51,1.49,65370.00000000001,-0.0132
2020-10-27,1.49,1.51,1.51,1.47,90420.0,-0.0067
2020-10-28,1.47,1.5,1.5,1.47,46740.0,-0.0134
