Date,Price,Open,High,Low,Vol.,Change %
2020-08-07,7.49,7.59,7.59,7.49,2230.0,-0.0106
2020-08-10,7.5,7.59,7.59,7.5,1680.0,0.0013
2020-08-11,7.57,7.57,7.57,7.4,4019.9999999999995,0.009300000000000001
2020-08-12,7.5,7.5,7.5,7.41,960.0,-0.0092
2020-08-13,7.495,7.535,7.535,7.45,0.0,0.0
2020-08-14,7.49,7.57,7.57,7.49,2040.0,-0.0013
2020-08-17,7.57,7.5,7.72,7.5,2310.0,0.010700000000000001
2020-08-18,7.51,7.55,7.77,7.51,1060.0,-0.0079
2020-08-19,7.51,7.51,7.73,7.51,770.0,0.0
2020-08-20,7.555,7.615,7.73,7.555,0.0,0.0
2020-08-21,7.6,7.72,7.73,7.6,6560.0,0.012
2020-08-24,7.6,7.6,7.6,7.6,4640.0,0.0
2020-08-25,7.6,7.68,7.68,7.6,7160.0,0.0
2020-08-26,7.67,7.7,7.7,7.53,2710.0,0.0092
2020-08-27,7.68,7.68,7.68,7.52,170.0,0.0013
2020-08-28,7.6,7.65,7.65,7.6,4820.0,-0.0104
2020-08-31,7.18,7.2,7.2,7.18,6250.0,-0.0553
2020-09-01,7.0,7.0,7.0,6.97,5100.0,-0.025099999999999997
2020-09-02,7.0,7.1,7.1,6.89,12130.0,0.0
2020-09-03,7.09,7.1,7.1,6.9,3780.0,0.0129
2020-09-04,7.1,7.1,7.1,7.05,4280.0,0.0014000000000000002
2020-09-07,7.0,7.1,7.1,7.0,10850.0,-0.0141
2020-09-08,7.0,7.0,7.0,6.95,6010.0,0.0
2020-09-09,7.0,7.0,7.0,7.0,10140.0,0.0
2020-09-10,7.2,7.16,7.37,7.0,42310.0,0.0286
2020-09-11,7.25,7.3,7.3,7.2,230.0,0.0069
2020-09-14,7.2,7.24,7.3,7.1,4430.0,-0.0069
2020-09-15,7.19,7.11,7.2,7.11,14550.0,-0.0014000000000000002
2020-09-16,7.14,7.2,7.2,7.11,1310.0,-0.006999999999999999
2020-09-17,7.2,7.2,7.2,7.1,8950.0,0.0084
2020-09-18,7.2,7.2,7.2,7.2,360.0,0.0
2020-09-21,7.15,7.04,7.2,7.04,25560.0,-0.0069
2020-09-22,7.1,7.2,7.4,7.1,3380.0,-0.006999999999999999
2020-09-23,7.5,7.31,7.5,7.1,6140.0,0.056299999999999996
2020-09-24,7.48,7.48,7.48,7.48,20.0,-0.0027
2020-09-25,7.26,7.48,7.48,7.26,1000.0,-0.0294
2020-09-28,7.2,7.24,7.45,7.05,3520.0,-0.0083
2020-09-29,7.4,7.4,7.4,7.4,0.0,0.0278
2020-09-30,7.11,7.11,7.18,7.07,8060.000000000001,-0.0392
2020-10-01,7.05,7.19,7.19,6.98,15390.0,-0.0084
2020-10-02,7.0,7.2,7.2,6.99,1710.0,-0.0070999999999999995
2020-10-05,7.19,7.2,7.2,7.0,5240.0,0.0271
2020-10-06,7.15,7.19,7.19,7.05,1830.0,-0.005600000000000001
2020-10-07,7.2,7.1,7.2,7.0,8180.0,0.006999999999999999
2020-10-08,7.1,7.0,7.1,7.0,950.0,-0.0139
2020-10-09,7.1,7.1,7.1,6.89,1810.0,0.0
2020-10-12,7.19,7.19,7.2,7.1,130.0,0.0127
2020-10-13,7.19,7.2,7.2,7.11,110.0,0.0
2020-10-14,7.1,7.2,7.2,7.0,3160.0,-0.0125
2020-10-15,7.115,7.2,7.2,7.005,0.0,0.0
2020-10-16,7.13,7.2,7.2,7.01,640.0,0.0042
2020-10-19,7.19,7.14,7.19,7.13,70.0,0.0084
2020-10-20,7.29,7.2,7.29,7.2,920.0,0.0139
2020-10-21,7.5,7.29,7.5,7.29,13250.0,0.0288
2020-10-22,7.66,7.51,7.69,7.51,15950.0,0.0213
2020-10-23,7.6,7.69,7.69,7.6,1780.0,-0.0078000000000000005
2020-10-26,7.67,7.68,7.68,7.67,50.0,0.0092
2020-10-27,7.67,7.67,7.67,7.64,1000.0,0.0
2020-10-28,7.66,7.67,7.68,7.5,15240.0,-0.0013
2020-10-29,7.58,7.675,7.68,7.5,0.0,0.0
2020-10-30,7.5,7.68,7.68,7.5,7610.0,-0.0209
2020-11-02,7.4,7.4,7.4,7.4,0.0,-0.013300000000000001
2020-11-03,7.48,7.48,7.48,7.48,10.0,0.0108
2020-11-04,7.4,7.61,7.61,7.4,1590.0,-0.010700000000000001
2020-11-05,7.6,7.6,7.61,7.5,1500.0,0.027000000000000003
2020-11-06,7.6,7.6,7.6,7.5,8520.0,0.0
2020-11-09,7.59,7.59,7.59,7.59,20.0,-0.0013
2020-11-10,7.6,7.67,7.67,7.51,2510.0,0.0013
2020-11-11,7.61,7.62,7.62,7.51,2110.0,0.0013
2020-11-12,7.61,7.62,7.62,7.53,730.0,0.0
2020-11-13,7.62,7.6,7.62,7.6,2200.0,0.0013
2020-11-16,7.61,7.61,7.62,7.6,4300.0,-0.0013
2020-11-17,7.7,7.62,7.7,7.6,38700.0,0.0118
2020-11-18,7.6,7.65,7.65,7.6,20730.0,-0.013000000000000001
2020-11-19,7.75,7.65,7.77,7.65,11360.0,0.0197
2020-11-20,7.77,7.77,7.77,7.77,0.0,0.0026
