Date,Price,Open,High,Low,Vol.,Change %
2020-09-02,6.85,6.84,6.85,6.84,845000.0,0.0
2020-09-03,6.84,6.65,6.84,6.65,100.0,-0.0015
2020-09-04,6.773333333333333,6.6466666666666665,6.773333333333333,6.6466666666666665,0.0,0.0
2020-09-07,6.706666666666666,6.6433333333333335,6.706666666666666,6.6433333333333335,0.0,0.0
2020-09-08,6.64,6.64,6.64,6.64,520.0,-0.0292
2020-09-09,6.635,6.635,6.635,6.635,0.0,0.0
2020-09-10,6.63,6.63,6.63,6.63,70.0,-0.0015
2020-09-11,6.535,6.535,6.535,6.535,0.0,0.0
2020-09-14,6.44,6.44,6.44,6.44,20.0,-0.0287
2020-09-15,6.472,6.472,6.472,6.472,0.0,0.0
2020-09-16,6.5040000000000004,6.5040000000000004,6.5040000000000004,6.5040000000000004,0.0,0.0
2020-09-17,6.536,6.536,6.536,6.536,0.0,0.0
2020-09-18,6.568,6.568,6.568,6.568,0.0,0.0
2020-09-21,6.6,6.6,6.6,6.6,0.0,0.0248
2020-09-22,6.6,6.6,6.6,6.6,400.0,0.0
2020-09-23,6.6,6.6,6.6,6.6,1500.0,0.0
2020-09-24,6.588888888888889,6.5777777777777775,6.588888888888889,6.5777777777777775,0.0,0.0
2020-09-25,6.5777777777777775,6.555555555555555,6.5777777777777775,6.555555555555555,0.0,0.0
2020-09-28,6.566666666666666,6.533333333333333,6.566666666666666,6.533333333333333,0.0,0.0
2020-09-29,6.555555555555555,6.511111111111111,6.555555555555555,6.511111111111111,0.0,0.0
2020-09-30,6.544444444444444,6.488888888888889,6.544444444444444,6.488888888888889,0.0,0.0
2020-10-01,6.533333333333333,6.466666666666667,6.533333333333333,6.466666666666667,0.0,0.0
2020-10-02,6.522222222222222,6.444444444444445,6.522222222222222,6.444444444444445,0.0,0.0
2020-10-05,6.511111111111111,6.4222222222222225,6.511111111111111,6.4222222222222225,0.0,0.0
2020-10-06,6.5,6.4,6.5,6.4,250.0,-0.0152
2020-10-07,6.5,6.425000000000001,6.5,6.425000000000001,0.0,0.0
2020-10-08,6.5,6.45,6.5,6.45,0.0,0.0
2020-10-09,6.5,6.475,6.5,6.475,0.0,0.0
2020-10-12,6.5,6.5,6.5,6.5,250.0,0.0
2020-10-13,6.5,6.5,6.5,6.5,300.0,0.0
2020-10-14,6.5,6.5,6.5,6.5,0.0,0.0
2020-10-15,6.5,6.5,6.5,6.5,0.0,0.0
2020-10-16,6.5,6.5,6.5,6.5,0.0,0.0
2020-10-19,6.5,6.5,6.5,6.5,250.0,0.0
2020-10-20,6.5,6.5,6.5,6.5,30.0,0.0
2020-10-21,6.4366666666666665,6.4366666666666665,6.4366666666666665,6.4366666666666665,0.0,0.0
2020-10-22,6.373333333333333,6.373333333333333,6.373333333333333,6.373333333333333,0.0,0.0
2020-10-23,6.31,6.31,6.31,6.31,120.0,-0.0292
2020-10-26,6.5,6.5,6.5,6.5,0.0,0.0301
2020-10-27,6.5,6.5,6.5,6.5,260.0,0.0
2020-10-28,6.5,6.31,6.5,6.31,100.0,0.0
2020-10-29,6.499,6.327999999999999,6.499,6.327999999999999,0.0,0.0
2020-10-30,6.498,6.346,6.498,6.346,0.0,0.0
2020-11-02,6.497,6.364,6.497,6.364,0.0,0.0
2020-11-03,6.496,6.382,6.496,6.382,0.0,0.0
2020-11-04,6.495,6.4,6.495,6.4,0.0,0.0
2020-11-05,6.494,6.418,6.494,6.418,0.0,0.0
2020-11-06,6.493,6.436,6.493,6.436,0.0,0.0
2020-11-09,6.492,6.454,6.492,6.454,0.0,0.0
2020-11-10,6.4910000000000005,6.472,6.4910000000000005,6.472,0.0,0.0
