Date,Price,Open,High,Low,Vol.,Change %
2020-08-11,2.97,2.97,2.97,2.97,10.0,-0.0067
2020-08-12,2.98,2.98,2.98,2.98,20.0,0.0034000000000000002
2020-08-13,2.9766666666666666,2.9766666666666666,2.9766666666666666,2.9766666666666666,0.0,0.0
2020-08-14,2.9733333333333336,2.9733333333333336,2.9733333333333336,2.9733333333333336,0.0,0.0
2020-08-17,2.97,2.97,2.97,2.97,0.0,-0.0034000000000000002
2020-08-18,2.98,2.98,2.98,2.9,300.0,0.0034000000000000002
2020-08-19,2.98,2.98,2.98,2.913333333333333,0.0,0.0
2020-08-20,2.98,2.98,2.98,2.9266666666666667,0.0,0.0
2020-08-21,2.98,2.98,2.98,2.94,0.0,0.0
2020-08-24,2.98,2.98,2.98,2.953333333333333,0.0,0.0
2020-08-25,2.98,2.98,2.98,2.966666666666667,0.0,0.0
2020-08-26,2.98,2.98,2.98,2.98,10.0,0.0
2020-08-27,2.98,2.98,2.98,2.98,0.0,0.0
2020-08-28,2.98,2.98,2.98,2.98,50.0,0.0
2020-08-31,2.9685714285714284,2.9685714285714284,2.9685714285714284,2.9571428571428573,0.0,0.0
2020-09-01,2.9571428571428573,2.9571428571428573,2.9571428571428573,2.934285714285714,0.0,0.0
2020-09-02,2.9457142857142857,2.9457142857142857,2.9457142857142857,2.9114285714285715,0.0,0.0
2020-09-03,2.934285714285714,2.934285714285714,2.934285714285714,2.8885714285714283,0.0,0.0
2020-09-04,2.9228571428571426,2.9228571428571426,2.9228571428571426,2.8657142857142857,0.0,0.0
2020-09-07,2.9114285714285715,2.9114285714285715,2.9114285714285715,2.8428571428571425,0.0,0.0
2020-09-08,2.9,2.9,2.9,2.82,630.0,-0.0268
2020-09-09,2.8983333333333334,2.8983333333333334,2.8983333333333334,2.8316666666666666,0.0,0.0
2020-09-10,2.8966666666666665,2.8966666666666665,2.8966666666666665,2.8433333333333333,0.0,0.0
2020-09-11,2.895,2.895,2.895,2.855,0.0,0.0
2020-09-14,2.8933333333333335,2.8933333333333335,2.8933333333333335,2.8666666666666667,0.0,0.0
2020-09-15,2.8916666666666666,2.8916666666666666,2.8916666666666666,2.8783333333333334,0.0,0.0
2020-09-16,2.89,2.89,2.89,2.89,170.0,-0.0034000000000000002
2020-09-17,2.885,2.885,2.885,2.885,0.0,0.0
2020-09-18,2.88,2.88,2.88,2.88,10.0,-0.0034999999999999996
