Date,Price,Open,High,Low,Vol.,Change %
2020-08-11,10.85,10.9,11.0,10.85,4650.0,-0.013600000000000001
2020-08-12,10.85,10.85,10.85,10.75,2900.0,0.0
2020-08-13,10.85,10.79,10.9,10.723333333333333,0.0,0.0
2020-08-14,10.85,10.73,10.95,10.696666666666667,0.0,0.0
2020-08-17,10.85,10.67,11.0,10.67,2040.0,0.0
2020-08-18,10.85,10.95,10.95,10.8,600.0,0.0
2020-08-19,10.53,10.67,10.67,10.53,5290.0,-0.029500000000000002
2020-08-20,10.515,10.71,10.71,10.5,0.0,0.0
2020-08-21,10.5,10.75,10.75,10.47,450.0,-0.0028000000000000004
2020-08-24,10.5,10.68,10.68,10.36,2600.0,0.0
2020-08-25,10.6,10.5,10.6,10.5,700.0,0.0095
2020-08-26,10.5,10.4,10.91,10.3,1380.0,-0.009399999999999999
2020-08-27,10.7,10.7,10.7,10.7,300.0,0.019
2020-08-28,10.7,10.7,10.7,10.7,300.0,0.0
2020-08-31,10.7,10.7,10.7,10.7,1400.0,0.0
2020-09-01,10.8,11.0,11.0,10.7,660.0,0.009300000000000001
2020-09-02,10.8,11.0,11.0,10.8,1000.0,0.0
2020-09-03,10.9,10.9,10.9,10.6,440.0,0.009300000000000001
2020-09-04,10.9,10.9,11.2,10.9,900.0,0.0
2020-09-07,11.2,11.2,11.2,11.2,200.0,0.0275
2020-09-08,11.2,11.2,11.2,11.2,300.0,0.0
2020-09-09,11.2,11.2,11.2,11.2,300.0,0.0
2020-09-10,11.125,11.2,11.2,11.1,0.0,0.0
2020-09-11,11.05,11.2,11.2,11.0,0.0,0.0
2020-09-14,10.975,11.2,11.2,10.9,0.0,0.0
2020-09-15,10.9,11.2,11.2,10.8,2660.0,-0.0268
2020-09-16,10.99,11.1,11.1,10.8,1090.0,0.0083
2020-09-17,11.1,11.1,11.1,11.1,100.0,0.01
2020-09-18,10.8,10.77,10.8,10.77,2110.0,-0.027000000000000003
2020-09-21,10.8,10.85,10.85,10.6,520.0,0.0
2020-09-22,10.85,10.8,10.85,10.5,2980.0,0.0046
2020-09-23,10.8,10.53,10.8,10.48,1650.0,-0.0046
2020-09-24,10.79,10.48,10.79,10.18,450.0,-0.0009
2020-09-25,10.85,10.9,10.9,10.6,1140.0,0.005600000000000001
2020-09-28,10.85,10.82,10.9,10.6,1670.0,0.0
2020-09-29,10.9,10.9,10.9,10.9,100.0,0.0046
2020-09-30,10.8,10.6,10.8,10.6,200.0,-0.0092
2020-10-01,10.8,10.6,10.8,10.6,180.0,0.0
2020-10-02,10.8,10.6,10.8,10.6,770.0,0.0
2020-10-05,10.8,10.8,10.8,10.8,800.0,0.0
2020-10-06,10.9,10.8,11.0,10.8,700.0,0.009300000000000001
2020-10-07,10.9,10.9,10.9,10.85,3670.0,0.0
2020-10-08,11.0,10.99,11.0,10.85,910.0,0.0092
2020-10-09,11.0,10.99,11.0,10.99,500.0,0.0
2020-10-12,11.0,10.99,11.0,10.99,700.0,0.0
2020-10-13,11.2,11.0,11.2,11.0,730.0,0.0182
2020-10-14,11.2,11.2,11.2,11.0,480.0,0.0
2020-10-15,11.2,11.1,11.21,11.0,0.0,0.0
2020-10-16,11.2,11.0,11.22,11.0,800.0,0.0
2020-10-19,11.2,11.2,11.2,11.2,200.0,0.0
2020-10-20,11.2,11.2,11.2,11.1,1080.0,0.0
2020-10-21,11.2,11.2,11.2,10.87,1100.0,0.0
2020-10-22,11.2,11.2,11.2,11.2,100.0,0.0
2020-10-23,11.15,11.15,11.15,11.15,2000.0,-0.0045000000000000005
2020-10-26,11.15,11.15,11.15,11.15,150.0,0.0
2020-10-27,11.15,11.15,11.15,11.15,500.0,0.0
2020-10-28,11.15,11.15,11.15,10.82,1300.0,0.0
2020-10-29,11.15,11.15,11.15,10.985,0.0,0.0
2020-10-30,11.15,11.15,11.15,11.15,300.0,0.0
2020-11-02,11.15,11.15,11.15,10.9,1250.0,0.0
2020-11-03,11.4,11.0,11.4,11.0,590.0,0.022400000000000003
2020-11-04,11.4,11.4,11.4,11.4,300.0,0.0
2020-11-05,11.4,11.4,11.4,10.95,1270.0,0.0
2020-11-06,11.4,11.4,11.4,11.4,150.0,0.0
2020-11-09,11.4,11.4,11.4,11.06,3390.0,0.0
2020-11-10,11.4,11.38,11.4,11.06,550.0,0.0
2020-11-11,11.4,11.4,11.4,11.06,1000.0,0.0
2020-11-12,11.4,11.35,11.4,11.35,330.0,0.0
2020-11-13,11.4,11.4,11.4,11.38,1710.0,0.0
2020-11-16,11.64,11.6,11.64,11.3,160.0,0.021099999999999997
2020-11-17,11.52,11.5,11.52,11.350000000000001,0.0,0.0
2020-11-18,11.4,11.4,11.4,11.4,2009.9999999999998,-0.0206
2020-11-19,11.4,11.4,11.4,11.25,0.0,0.0
2020-11-20,11.4,11.4,11.4,11.1,890.0,0.0
2020-11-23,11.4,11.1,11.4,11.1,540.0,0.0
2020-11-24,11.4,11.4,11.4,11.1,3390.0,0.0
2020-11-25,11.4,11.4,11.4,11.06,530.0,0.0
2020-11-26,11.4,11.4,11.4,11.06,440.0,0.0
2020-11-27,11.4,11.4,11.4,11.4,400.0,0.0
2020-11-30,11.8,11.6,11.8,11.6,510.0,0.0351
2020-12-01,11.99,12.0,12.0,11.8,1940.0,0.0161
2020-12-02,12.0,12.0,12.0,12.0,1710.0,0.0008
2020-12-03,12.3,12.3,12.3,12.3,100.0,0.025
2020-12-04,12.29,12.29,12.29,12.29,100.0,-0.0008
2020-12-07,12.3,12.3,12.3,12.3,100.0,0.0008
2020-12-08,12.3,12.3,12.3,12.3,100.0,0.0
2020-12-09,12.3,12.29,12.3,12.29,500.0,0.0
2020-12-10,12.3,12.28,12.3,12.28,1200.0,0.0
2020-12-11,12.3,12.3,12.3,12.3,100.0,0.0
2020-12-14,12.3,12.1,12.3,12.1,1300.0,0.0
