Date,Price,Open,High,Low,Vol.,Change %
2020-08-10,21.58,21.58,21.64,21.31,9360.0,0.0
2020-08-11,21.73,21.64,21.73,21.55,10230.0,0.0067
2020-08-12,21.07,21.25,21.25,20.91,4810.0,-0.0301
2020-08-13,20.92,21.16,21.16,20.825,0.0,0.0
2020-08-14,20.77,21.07,21.07,20.74,9520.0,-0.014199999999999999
2020-08-17,20.12,20.74,20.74,20.12,22880.0,-0.0315
2020-08-18,19.95,20.12,20.12,19.55,5640.0,-0.008100000000000001
2020-08-19,20.41,19.95,20.41,19.91,12030.0,0.022799999999999997
2020-08-20,20.5,20.27,20.5,20.09,0.0,0.0
2020-08-21,20.59,20.59,20.59,20.27,5850.0,0.0089
2020-08-24,20.76,20.5,20.77,20.0,10190.0,0.0084
2020-08-25,20.8,20.77,20.85,20.58,3180.0,0.0018
2020-08-26,20.45,20.45,20.73,20.45,2950.0,-0.0166
2020-08-27,20.55,20.45,20.55,20.18,3880.0,0.0044
2020-08-28,20.81,20.54,20.82,20.46,3310.0,0.0128
2020-08-31,21.01,20.9,21.52,20.9,24960.0,0.0096
2020-09-01,21.35,21.09,21.4,21.0,22560.0,0.016
2020-09-02,21.68,21.01,21.73,21.0,12510.0,0.0158
2020-09-03,22.27,22.01,22.27,21.65,22250.0,0.0273
2020-09-04,22.64,22.37,23.04,22.27,23670.0,0.0163
2020-09-07,22.45,22.64,22.64,22.27,21410.0,-0.008
2020-09-08,22.61,22.62,22.82,22.24,5460.0,0.0069
2020-09-09,22.78,22.82,22.82,22.61,12810.0,0.0076
2020-09-10,22.81,22.78,23.23,22.73,15040.0,0.0012
2020-09-11,22.91,23.18,23.18,22.86,13190.0,0.0044
2020-09-14,22.6,23.09,23.09,22.6,14630.0,-0.013500000000000002
2020-09-15,22.54,22.54,22.73,22.27,11170.0,-0.0028000000000000004
2020-09-16,22.29,22.59,22.59,22.29,9730.0,-0.0109
2020-09-17,22.45,22.45,22.68,22.27,11390.0,0.0073
2020-09-18,22.5,22.5,22.63,22.36,3750.0,0.002
2020-09-21,22.45,22.5,22.5,22.27,10570.0,-0.0024
2020-09-22,22.25,22.45,22.45,22.09,12650.0,-0.0085
2020-09-23,22.41,21.91,22.55,21.91,6830.0,0.0069
2020-09-24,22.19,22.36,22.56,22.19,7390.0,-0.0097
