Date,Price,Open,High,Low,Vol.,Change %
2020-08-31,3.69,3.69,3.69,3.69,20.0,-0.0212
2020-09-01,3.77,3.88,3.88,3.77,330.0,0.0217
2020-09-02,3.87,3.87,3.87,3.87,9320.0,0.0265
2020-09-03,3.815,3.815,3.815,3.815,0.0,0.0
2020-09-04,3.76,3.76,3.76,3.76,0.0,-0.028399999999999998
2020-09-07,3.7325,3.7325,3.7325,3.7325,0.0,0.0
2020-09-08,3.705,3.705,3.705,3.705,0.0,0.0
2020-09-09,3.6774999999999998,3.6774999999999998,3.6774999999999998,3.6774999999999998,0.0,0.0
2020-09-10,3.65,3.65,3.65,3.65,20.0,-0.029300000000000003
2020-09-11,3.59,3.59,3.59,3.59,10.0,-0.016399999999999998
2020-09-14,3.55,3.5949999999999998,3.5949999999999998,3.55,0.0,0.0
2020-09-15,3.51,3.6,3.6,3.51,1810.0,-0.0223
2020-09-16,3.51,3.535,3.5549999999999997,3.49,0.0,0.0
2020-09-17,3.51,3.47,3.51,3.47,700.0,0.0
2020-09-18,3.49,3.5,3.5,3.49,20.0,-0.005699999999999999
2020-09-21,3.49,3.49,3.49,3.49,20.0,0.0
2020-09-22,3.4914285714285715,3.4914285714285715,3.4914285714285715,3.4914285714285715,0.0,0.0
2020-09-23,3.492857142857143,3.492857142857143,3.492857142857143,3.492857142857143,0.0,0.0
2020-09-24,3.494285714285714,3.494285714285714,3.494285714285714,3.494285714285714,0.0,0.0
2020-09-25,3.495714285714286,3.495714285714286,3.495714285714286,3.495714285714286,0.0,0.0
2020-09-28,3.4971428571428573,3.4971428571428573,3.4971428571428573,3.4971428571428573,0.0,0.0
2020-09-29,3.4985714285714287,3.4985714285714287,3.4985714285714287,3.4985714285714287,0.0,0.0
2020-09-30,3.5,3.5,3.5,3.5,560.0,0.0029
2020-10-01,3.5,3.5,3.5,3.5,40.0,0.0
2020-10-02,3.5,3.5,3.5,3.5,20.0,0.0
2020-10-05,3.47,3.47,3.47,3.47,20.0,-0.0086
2020-10-06,3.5,3.41,3.5,3.37,30.0,0.0086
2020-10-07,3.5,3.4,3.5,3.4,20.0,0.0
2020-10-08,3.5,3.45,3.5,3.45,0.0,0.0
2020-10-09,3.5,3.5,3.5,3.5,0.0,0.0
2020-10-12,3.5,3.4,3.5,3.4,50.0,0.0
2020-10-13,3.4,3.4,3.4,3.4,80.0,-0.0286
2020-10-14,3.39,3.4,3.4,3.39,80.0,-0.0029
2020-10-15,3.4400000000000004,3.4450000000000003,3.4450000000000003,3.4400000000000004,0.0,0.0
2020-10-16,3.49,3.49,3.49,3.49,10.0,0.029500000000000002
2020-10-19,3.495,3.45,3.495,3.45,0.0,0.0
2020-10-20,3.5,3.41,3.5,3.41,20.0,0.0029
2020-10-21,3.466666666666667,3.4066666666666667,3.466666666666667,3.4066666666666667,0.0,0.0
2020-10-22,3.433333333333333,3.4033333333333333,3.433333333333333,3.4033333333333333,0.0,0.0
2020-10-23,3.4,3.4,3.4,3.4,190.0,-0.0286
2020-10-26,3.4,3.4,3.4,3.4,0.0,0.0
2020-10-27,3.4,3.4,3.4,3.4,20.0,0.0
2020-10-28,3.398,3.398,3.398,3.398,0.0,0.0
2020-10-29,3.396,3.396,3.396,3.396,0.0,0.0
2020-10-30,3.394,3.394,3.394,3.394,0.0,0.0
2020-11-02,3.392,3.392,3.392,3.392,0.0,0.0
2020-11-03,3.39,3.39,3.39,3.39,70.0,-0.0029
2020-11-04,3.37,3.37,3.37,3.37,2220.0,-0.0059
2020-11-05,3.3733333333333335,3.356666666666667,3.3733333333333335,3.356666666666667,0.0,0.0
2020-11-06,3.3766666666666665,3.3433333333333333,3.3766666666666665,3.3433333333333333,0.0,0.0
2020-11-09,3.38,3.33,3.38,3.33,230.0,0.003
2020-11-10,3.38,3.3355555555555556,3.38,3.3355555555555556,0.0,0.0
2020-11-11,3.38,3.341111111111111,3.38,3.341111111111111,0.0,0.0
2020-11-12,3.38,3.3466666666666667,3.38,3.3466666666666667,0.0,0.0
2020-11-13,3.38,3.352222222222222,3.38,3.352222222222222,0.0,0.0
2020-11-16,3.38,3.3577777777777778,3.38,3.3577777777777778,0.0,0.0
2020-11-17,3.38,3.3633333333333333,3.38,3.3633333333333333,0.0,0.0
2020-11-18,3.38,3.368888888888889,3.38,3.368888888888889,0.0,0.0
2020-11-19,3.38,3.3744444444444444,3.38,3.3744444444444444,0.0,0.0
2020-11-20,3.38,3.38,3.38,3.38,20.0,0.0
2020-11-23,3.36,3.36,3.36,3.36,0.0,0.0
2020-11-24,3.34,3.34,3.34,3.34,80.0,-0.0118
2020-11-25,3.34,3.34,3.34,3.34,0.0,0.0
2020-11-26,3.34,3.34,3.34,3.34,0.0,0.0
2020-11-27,3.34,3.34,3.34,3.34,0.0,0.0
2020-11-30,3.34,3.34,3.34,3.34,20.0,0.0
2020-12-01,3.31,3.34,3.34,3.31,40.0,-0.009000000000000001
2020-12-02,3.31,3.325,3.325,3.31,0.0,0.0
2020-12-03,3.31,3.31,3.31,3.31,50.0,0.0
2020-12-04,3.31,3.31,3.31,3.31,420.0,0.0
2020-12-07,3.31,3.31,3.31,3.22,530.0,0.0
2020-12-08,3.28,3.29,3.31,3.27,390.0,-0.0091
2020-12-09,3.31,3.31,3.31,3.23,30.0,0.0091
2020-12-10,3.295,3.295,3.295,3.2283333333333335,0.0,0.0
2020-12-11,3.2800000000000002,3.2800000000000002,3.2800000000000002,3.2266666666666666,0.0,0.0
2020-12-14,3.265,3.265,3.265,3.225,0.0,0.0
2020-12-15,3.25,3.25,3.25,3.2233333333333336,0.0,0.0
