Date,Price,Open,High,Low,Vol.,Change %
2020-08-07,64.74,64.79,64.79,62.94,140.0,-0.0022
2020-08-10,62.8,62.95,64.4,62.8,110.0,-0.03
2020-08-11,59.04,60.86,60.86,59.04,960.0,-0.0599
2020-08-12,59.74,58.0,59.74,56.63,1320.0,0.011899999999999999
2020-08-13,60.120000000000005,59.230000000000004,60.97,57.815,0.0,0.0
2020-08-14,60.5,60.46,62.2,59.0,300.0,0.0127
2020-08-17,60.0,60.0,60.0,58.69,410.0,-0.0083
2020-08-18,58.2,60.0,60.0,58.2,780.0,-0.03
2020-08-19,58.0,58.0,59.5,58.0,700.0,-0.0034000000000000002
2020-08-20,58.69,58.0,59.495000000000005,57.8,0.0,0.0
2020-08-21,59.38,58.0,59.49,57.6,740.0,0.023799999999999998
2020-08-24,59.28,59.4,59.4,57.7,330.0,-0.0017000000000000001
2020-08-25,59.2,59.28,59.28,57.51,970.0,-0.0013
2020-08-26,58.2,59.28,59.4,58.0,1830.0,-0.0169
2020-08-27,57.98,57.51,57.99,57.2,640.0,-0.0038
2020-08-28,59.0,59.4,59.4,57.62,250.0,0.0176
2020-08-31,59.0,59.3,59.4,58.0,340.0,0.0
2020-09-01,57.23,58.97,59.1,57.23,450.0,-0.03
2020-09-02,56.614999999999995,56.815,57.695,55.129999999999995,0.0,0.0
2020-09-03,56.0,54.66,56.29,53.03,2350.0,-0.0215
2020-09-04,57.68,56.4,57.68,54.75,1840.0,0.03
2020-09-07,59.0,59.4,59.4,59.0,90.0,0.0229
2020-09-08,58.9,59.0,59.0,57.68,490.0,-0.0017000000000000001
2020-09-09,60.0,58.9,60.0,57.7,2320.0,0.0187
2020-09-10,61.0,60.8,61.7,60.8,1450.0,0.0167
2020-09-11,61.6,60.01,61.7,60.01,1180.0,0.0098
2020-09-14,60.0,61.7,61.7,60.0,210.0,-0.026000000000000002
2020-09-15,58.33,60.0,60.0,58.33,660.0,-0.0278
2020-09-16,57.6,58.3,58.3,57.6,940.0,-0.0125
2020-09-17,58.6,57.65,58.8,56.5,660.0,0.0174
