Date,Price,Open,High,Low,Vol.,Change %
2020-08-05,1.14,1.14,1.14,1.14,780.0,0.0
2020-08-06,1.14,1.14,1.14,1.14,0.0,0.0
2020-08-07,1.14,1.14,1.14,1.14,0.0,0.0
2020-08-10,1.14,1.14,1.14,1.14,0.0,0.0
2020-08-11,1.14,1.14,1.14,1.14,920.0,0.0
2020-08-12,1.14,1.14,1.14,1.14,570.0,0.0
2020-08-13,1.14,1.14,1.14,1.14,0.0,0.0
2020-08-14,1.14,1.14,1.14,1.14,0.0,0.0
2020-08-17,1.14,1.14,1.14,1.14,0.0,0.0
2020-08-18,1.14,1.14,1.14,1.14,0.0,0.0
2020-08-19,1.14,1.14,1.14,1.14,0.0,0.0
2020-08-20,1.14,1.14,1.14,1.14,0.0,0.0
2020-08-21,1.14,1.14,1.14,1.14,600.0,0.0
2020-08-24,1.14,1.14,1.14,1.14,250.0,0.0
2020-08-25,1.14,1.14,1.14,1.14,90.0,0.0
2020-08-26,1.14,1.14,1.14,1.14,1330.0,0.0
2020-08-27,1.14,1.14,1.14,1.14,1240.0,0.0
2020-08-28,1.14,1.14,1.14,1.14,430.0,0.0
2020-08-31,1.14,1.14,1.14,1.14,150.0,0.0
2020-09-01,1.12,1.12,1.12,1.12,50.0,-0.0175
2020-09-02,1.12,1.12,1.12,1.12,200.0,0.0
2020-09-03,1.08,1.11,1.11,1.08,1050.0,-0.035699999999999996
2020-09-04,1.1,1.1,1.1,1.1,5050.0,0.018500000000000003
2020-09-07,1.1,1.1,1.1,1.1,330.0,0.0
2020-09-08,1.13,1.13,1.13,1.13,700.0,0.0273
2020-09-09,1.16,1.14,1.16,1.14,3130.0,0.0265
2020-09-10,1.22,1.19,1.22,1.19,920.0,0.051699999999999996
2020-09-11,1.26,1.23,1.26,1.23,2650.0,0.032799999999999996
2020-09-14,1.2325,1.2175,1.24,1.21,0.0,0.0
2020-09-15,1.205,1.205,1.22,1.19,0.0,0.0
2020-09-16,1.1775,1.1925,1.2,1.17,0.0,0.0
2020-09-17,1.15,1.18,1.18,1.15,120.0,-0.0873
2020-09-18,1.15,1.15,1.15,1.15,130.0,0.0
2020-09-21,1.135,1.135,1.135,1.135,0.0,0.0
2020-09-22,1.12,1.12,1.12,1.12,1250.0,-0.026099999999999998
2020-09-23,1.1,1.1,1.1,1.1,9220.0,-0.0179
2020-09-24,1.1066666666666667,1.1066666666666667,1.1066666666666667,1.1066666666666667,0.0,0.0
2020-09-25,1.1133333333333335,1.1133333333333335,1.1133333333333335,1.1133333333333335,0.0,0.0
2020-09-28,1.12,1.12,1.12,1.12,100.0,0.0182
2020-09-29,1.15,1.15,1.15,1.15,1580.0,0.0268
2020-09-30,1.2,1.18,1.2,1.18,820.0,0.0435
2020-10-01,1.2,1.2,1.2,1.2,50.0,0.0
2020-10-02,1.2,1.2,1.2,1.2,110.0,0.0
2020-10-05,1.2,1.19,1.2,1.19,2660.0,0.0
2020-10-06,1.2,1.2,1.2,1.2,100.0,0.0
2020-10-07,1.26,1.23,1.26,1.23,340.0,0.05
2020-10-08,1.32,1.29,1.32,1.29,940.0,0.047599999999999996
2020-10-09,1.355,1.3399999999999999,1.355,1.32,0.0,0.0
2020-10-12,1.39,1.39,1.39,1.35,2340.0,0.053
2020-10-13,1.38,1.38,1.38,1.38,1130.0,-0.0072
2020-10-14,1.38,1.38,1.38,1.38,50.0,0.0
2020-10-15,1.3849999999999998,1.3824999999999998,1.3849999999999998,1.3725,0.0,0.0
2020-10-16,1.39,1.3849999999999998,1.39,1.365,0.0,0.0
2020-10-19,1.395,1.3875,1.395,1.3575,0.0,0.0
2020-10-20,1.4,1.39,1.4,1.35,5220.0,0.014499999999999999
2020-10-21,1.44,1.44,1.44,1.44,1520.0,0.0286
2020-10-22,1.5,1.5,1.5,1.5,0.0,0.0
2020-10-23,1.56,1.56,1.56,1.56,2550.0,0.0833
2020-10-26,1.63,1.63,1.63,1.63,0.0,0.0
2020-10-27,1.7,1.7,1.7,1.7,3700.0,0.0897
2020-10-28,1.7333333333333334,1.74,1.74,1.7333333333333334,0.0,0.0
2020-10-29,1.7666666666666666,1.78,1.78,1.7666666666666666,0.0,0.0
2020-10-30,1.8,1.82,1.82,1.8,8210.0,0.0588
2020-11-02,1.85,1.85,1.85,1.85,1510.0,0.0278
2020-11-03,1.85,1.85,1.85,1.85,3950.0,0.0
2020-11-04,1.85,1.85,1.85,1.85,600.0,0.0
2020-11-05,1.8,1.85,1.85,1.8,1840.0,-0.027000000000000003
2020-11-06,1.81,1.835,1.835,1.81,0.0,0.0
2020-11-09,1.82,1.82,1.82,1.82,200.0,0.0111
2020-11-10,1.82,1.82,1.82,1.82,0.0,0.0
2020-11-11,1.82,1.82,1.82,1.82,0.0,0.0
2020-11-12,1.82,1.82,1.82,1.82,0.0,0.0
2020-11-13,1.82,1.82,1.82,1.82,0.0,0.0
2020-11-16,1.82,1.82,1.82,1.82,0.0,0.0
2020-11-17,1.82,1.82,1.82,1.82,1840.0,0.0
2020-11-18,1.814,1.816,1.816,1.814,0.0,0.0
2020-11-19,1.808,1.812,1.812,1.808,0.0,0.0
2020-11-20,1.802,1.808,1.808,1.802,0.0,0.0
2020-11-23,1.796,1.804,1.804,1.796,0.0,0.0
2020-11-24,1.79,1.8,1.8,1.79,5970.0,-0.0165
2020-11-25,1.8,1.8,1.8,1.8,7200.0,0.005600000000000001
2020-11-26,1.85,1.85,1.85,1.85,2000.0,0.0278
2020-11-27,1.84,1.84,1.84,1.84,1500.0,-0.0054
2020-11-30,1.84,1.84,1.84,1.84,300.0,0.0
2020-12-01,1.9,1.85,1.9,1.85,9890.0,0.0326
2020-12-02,1.88,1.88,1.88,1.88,830.0,-0.0105
2020-12-03,1.89,1.88,1.89,1.88,0.0,0.0
2020-12-04,1.9,1.88,1.9,1.88,3080.0,0.0106
2020-12-07,1.92,1.9,1.92,1.9,5260.0,0.0105
2020-12-08,1.92,1.92,1.92,1.92,10560.0,0.0
2020-12-09,1.88,1.9,1.9,1.88,110.0,-0.0208
2020-12-10,1.9,1.9,1.9,1.9,3000.0,0.0106
2020-12-11,1.9,1.9,1.9,1.9,1000.0,0.0
2020-12-14,1.86,1.86,1.86,1.86,220.0,-0.021099999999999997
2020-12-15,1.9,1.9,1.9,1.9,1500.0,0.0215
2020-12-16,1.9,1.9,1.9,1.9,200.0,0.0
2020-12-17,1.85,1.85,1.85,1.85,40.0,-0.0263
2020-12-18,1.8450000000000002,1.8450000000000002,1.8450000000000002,1.8450000000000002,0.0,0.0
2020-12-21,1.84,1.84,1.84,1.84,10000.0,-0.0054
2020-12-22,1.84,1.84,1.84,1.84,470.0,0.0
2020-12-23,1.8366666666666667,1.8366666666666667,1.8366666666666667,1.8366666666666667,0.0,0.0
2020-12-24,1.8333333333333335,1.8333333333333335,1.8333333333333335,1.8333333333333335,0.0,0.0
2020-12-25,1.83,1.83,1.83,1.83,9390.0,-0.0054
2020-12-28,1.85,1.85,1.85,1.85,160.0,0.0109
2020-12-29,1.84,1.84,1.84,1.84,33390.0,-0.0054
2020-12-30,1.85,1.85,1.85,1.85,2050.0,0.0054
2020-12-31,1.9,1.9,1.9,1.9,100.0,0.027000000000000003
2021-01-01,1.89,1.89,1.89,1.89,0.0,0.0
2021-01-04,1.88,1.88,1.88,1.88,1720.0,-0.0105
2021-01-05,1.88,1.88,1.88,1.88,100.0,0.0
2021-01-06,1.88,1.88,1.88,1.88,10.0,0.0
2021-01-07,1.82,1.83,1.83,1.82,220.0,-0.0319
2021-01-08,1.78,1.83,1.83,1.78,530.0,-0.022000000000000002
2021-01-11,1.77,1.78,1.78,1.77,56280.0,-0.005600000000000001
2021-01-12,1.73,1.73,1.73,1.73,1950.0,-0.0226
2021-01-13,1.78,1.78,1.78,1.78,0.0,0.028900000000000002
2021-01-14,1.775,1.775,1.775,1.775,0.0,0.0
2021-01-15,1.77,1.77,1.77,1.77,32400.0,-0.005600000000000001
2021-01-18,1.725,1.725,1.725,1.725,0.0,0.0
2021-01-19,1.68,1.68,1.68,1.68,1150.0,-0.0508
2021-01-20,1.6675,1.6675,1.6675,1.6675,0.0,0.0
2021-01-21,1.6549999999999998,1.6549999999999998,1.6549999999999998,1.6549999999999998,0.0,0.0
2021-01-22,1.6424999999999998,1.6424999999999998,1.6424999999999998,1.6424999999999998,0.0,0.0
2021-01-25,1.63,1.63,1.63,1.63,4260.0,-0.0298
2021-01-26,1.59,1.59,1.59,1.59,1300.0,-0.0245
2021-01-27,1.66,1.66,1.66,1.66,500.0,0.044000000000000004
2021-01-28,1.66,1.66,1.66,1.66,3300.0,0.0
2021-01-29,1.66,1.66,1.66,1.66,0.0,0.0
2021-02-01,1.66,1.66,1.66,1.66,1830.0,0.0
2021-02-02,1.66,1.66,1.66,1.66,220.0,0.0
2021-02-03,1.62,1.62,1.62,1.62,10.0,-0.0241
2021-02-04,1.6166666666666667,1.62,1.62,1.6166666666666667,0.0,0.0
2021-02-05,1.6133333333333335,1.62,1.62,1.6133333333333335,0.0,0.0
2021-02-08,1.61,1.62,1.62,1.61,50.0,-0.0062
2021-02-09,1.61,1.61,1.61,1.61,20.0,0.0
2021-02-10,1.62,1.62,1.62,1.62,30.0,0.0062
2021-02-11,1.5933333333333335,1.5933333333333335,1.5933333333333335,1.5933333333333335,0.0,0.0
2021-02-12,1.5666666666666667,1.5666666666666667,1.5666666666666667,1.5666666666666667,0.0,0.0
2021-02-15,1.54,1.54,1.54,1.54,1000.0,-0.049400000000000006
2021-02-16,1.5,1.52,1.52,1.5,770.0,-0.026000000000000002
2021-02-17,1.5,1.5,1.5,1.5,10.0,0.0
2021-02-18,1.4825,1.4825,1.4825,1.4825,0.0,0.0
2021-02-19,1.4649999999999999,1.4649999999999999,1.4649999999999999,1.4649999999999999,0.0,0.0
2021-02-22,1.4475,1.4475,1.4475,1.4475,0.0,0.0
2021-02-23,1.43,1.43,1.43,1.43,130.0,-0.0467
2021-02-24,1.43,1.43,1.43,1.43,170.0,0.0
2021-02-25,1.46,1.46,1.46,1.46,940.0,0.021
2021-02-26,1.43,1.43,1.43,1.43,0.0,0.0
2021-03-01,1.4,1.4,1.4,1.4,60.0,-0.041100000000000005
2021-03-02,1.39,1.4,1.4,1.39,3520.0,-0.0070999999999999995
2021-03-03,1.39,1.38,1.39,1.38,260.0,0.0
2021-03-04,1.39,1.39,1.39,1.39,240.0,0.0
2021-03-05,1.37,1.375,1.375,1.37,0.0,0.0
2021-03-08,1.35,1.36,1.36,1.35,1100.0,-0.0288
2021-03-09,1.31,1.35,1.35,1.31,1220.0,-0.0296
2021-03-10,1.31,1.31,1.31,1.31,32520.000000000004,0.0
2021-03-11,1.31,1.31,1.31,1.31,0.0,0.0
2021-03-12,1.31,1.31,1.31,1.31,0.0,0.0
2021-03-15,1.31,1.31,1.31,1.31,400.0,0.0
2021-03-16,1.35,1.35,1.35,1.35,340.0,0.0305
2021-03-17,1.35,1.35,1.35,1.35,250.0,0.0
2021-03-18,1.34,1.34,1.34,1.34,0.0,0.0
2021-03-19,1.33,1.33,1.33,1.33,530.0,-0.0148
2021-03-22,1.32,1.32,1.32,1.32,0.0,0.0
2021-03-23,1.31,1.31,1.31,1.31,0.0,0.0
2021-03-24,1.3,1.3,1.3,1.3,1610.0,-0.0226
2021-03-25,1.29,1.29,1.29,1.29,0.0,0.0
2021-03-26,1.28,1.28,1.28,1.28,2090.0,-0.0154
2021-03-29,1.28,1.28,1.28,1.28,300.0,0.0
2021-03-30,1.27,1.27,1.27,1.27,4200.0,-0.0078000000000000005
2021-03-31,1.27,1.27,1.27,1.27,200.0,0.0
2021-04-01,1.2625,1.2625,1.2625,1.2625,0.0,0.0
2021-04-02,1.255,1.255,1.255,1.255,0.0,0.0
2021-04-05,1.2475,1.2475,1.2475,1.2475,0.0,0.0
2021-04-06,1.24,1.24,1.24,1.24,2180.0,-0.0236
2021-04-07,1.2149999999999999,1.21,1.2149999999999999,1.21,0.0,0.0
2021-04-08,1.19,1.1800000000000002,1.19,1.1800000000000002,0.0,0.0
2021-04-09,1.165,1.1500000000000001,1.165,1.1500000000000001,0.0,0.0
2021-04-12,1.14,1.12,1.14,1.12,4110.0,-0.0806
2021-04-13,1.14,1.14,1.14,1.14,360.0,0.0
2021-04-14,1.15,1.15,1.15,1.15,0.0,0.0
2021-04-15,1.16,1.16,1.16,1.16,220.0,0.0175
2021-04-16,1.17,1.17,1.17,1.17,0.0,0.0
2021-04-19,1.18,1.18,1.18,1.18,110.0,0.0172
2021-04-20,1.2,1.185,1.2,1.185,0.0,0.0
2021-04-21,1.22,1.19,1.22,1.19,270.0,0.0339
2021-04-22,1.24,1.24,1.24,1.24,160.0,0.016399999999999998
2021-04-23,1.25,1.25,1.25,1.25,2020.0,0.008100000000000001
2021-04-26,1.25,1.25,1.25,1.25,680.0,0.0
2021-04-27,1.28,1.28,1.28,1.28,300.0,0.024
2021-04-28,1.33,1.3,1.33,1.3,460.0,0.0391
2021-04-29,1.385,1.37,1.385,1.37,0.0,0.0
2021-04-30,1.44,1.44,1.44,1.44,2130.0,0.0827
2021-05-03,1.495,1.495,1.495,1.495,0.0,0.0
2021-05-04,1.55,1.55,1.55,1.55,2420.0,0.0764
