Date,Price,Open,High,Low,Vol.,Change %
2020-09-01,26.2,26.2,26.2,26.2,0.0,-0.0187
2020-09-02,26.15,26.15,26.15,26.15,0.0,0.0
2020-09-03,26.1,26.1,26.1,26.1,0.0,0.0
2020-09-04,26.05,26.05,26.05,26.05,0.0,0.0
2020-09-07,26.0,26.0,26.0,26.0,50.0,-0.0076
2020-09-08,25.98,25.98,25.98,25.98,60.0,-0.0008
2020-09-09,25.87,25.87,25.87,25.87,50.0,-0.0042
2020-09-10,25.8,25.8,25.8,25.8,30.0,-0.0027
2020-09-11,25.49,25.8,25.8,25.49,130.0,-0.012
2020-09-14,25.39,25.39,25.39,25.39,150.0,-0.0039000000000000003
2020-09-15,25.38,25.38,25.38,25.38,50.0,-0.0004
2020-09-16,25.0,25.0,25.0,25.0,40.0,-0.015
2020-09-17,24.0,24.25,24.25,24.0,110.0,-0.04
2020-09-18,25.0,25.0,25.0,25.0,50.0,0.0417
2020-09-21,24.25,24.25,24.25,24.25,50.0,-0.03
2020-09-22,24.9,24.9,24.9,24.9,50.0,0.0268
2020-09-23,24.84,24.84,24.84,24.84,50.0,-0.0024
2020-09-24,24.78,24.78,24.78,24.78,50.0,-0.0024
2020-09-25,23.99,23.99,23.99,23.99,150.0,-0.0319
2020-09-28,23.29,23.28,23.29,23.28,110.0,-0.0292
2020-09-29,23.29,23.98,23.98,23.29,220.0,0.0
2020-09-30,23.29,23.29,23.29,23.29,10.0,0.0
2020-10-01,23.493333333333332,23.493333333333332,23.493333333333332,23.493333333333332,0.0,0.0
2020-10-02,23.696666666666665,23.696666666666665,23.696666666666665,23.696666666666665,0.0,0.0
2020-10-05,23.9,23.9,23.9,23.9,50.0,0.0262
2020-10-06,23.833333333333332,23.833333333333332,23.833333333333332,23.833333333333332,0.0,0.0
2020-10-07,23.766666666666666,23.766666666666666,23.766666666666666,23.766666666666666,0.0,0.0
2020-10-08,23.7,23.7,23.7,23.7,50.0,-0.0084
2020-10-09,23.0,23.0,23.0,23.0,50.0,-0.029500000000000002
2020-10-12,22.985,22.985,22.985,22.985,0.0,0.0
2020-10-13,22.97,22.97,22.97,22.97,30.0,-0.0013
2020-10-14,22.799999999999997,22.799999999999997,22.799999999999997,22.799999999999997,0.0,0.0
2020-10-15,22.63,22.63,22.63,22.63,0.0,0.0
2020-10-16,22.46,22.46,22.46,22.46,0.0,0.0
2020-10-19,22.29,22.29,22.29,22.29,40.0,-0.0296
2020-10-20,22.29,22.29,22.29,22.29,20.0,0.0
2020-10-21,22.24,22.24,22.24,22.24,110.0,-0.0022
2020-10-22,22.19,22.24,22.24,22.19,50.0,-0.0022
2020-10-23,21.55,21.55,21.55,21.55,150.0,-0.0288
2020-10-26,21.366666666666667,21.366666666666667,21.366666666666667,21.366666666666667,0.0,0.0
2020-10-27,21.183333333333334,21.183333333333334,21.183333333333334,21.183333333333334,0.0,0.0
2020-10-28,21.0,21.0,21.0,21.0,0.0,-0.0255
2020-10-29,20.833333333333332,20.833333333333332,20.833333333333332,20.833333333333332,0.0,0.0
2020-10-30,20.666666666666668,20.666666666666668,20.666666666666668,20.666666666666668,0.0,0.0
2020-11-02,20.5,20.5,20.5,20.5,0.0,-0.023799999999999998
