Date,Price,Open,High,Low,Vol.,Change %
2020-08-07,1.88,1.88,1.88,1.79,2880.0,0.0
2020-08-10,1.95,1.93,1.99,1.93,70.0,0.0349
2020-08-11,1.98,1.89,1.98,1.89,8300.0,0.0154
2020-08-12,1.95,1.95,1.95,1.92,1440.0,-0.0127
2020-08-13,1.9249999999999998,1.92,1.9249999999999998,1.9049999999999998,0.0,0.0
2020-08-14,1.9,1.89,1.9,1.89,1060.0,-0.0256
2020-08-17,1.8933333333333333,1.8866666666666665,1.8933333333333333,1.8866666666666665,0.0,0.0
2020-08-18,1.8866666666666665,1.8833333333333333,1.8866666666666665,1.8833333333333333,0.0,0.0
2020-08-19,1.88,1.88,1.88,1.88,20.0,-0.0105
2020-08-20,1.855,1.855,1.855,1.855,0.0,0.0
2020-08-21,1.83,1.83,1.83,1.83,1400.0,-0.029300000000000003
2020-08-24,1.82,1.83,1.83,1.77,840.0,0.0
2020-08-25,1.9,1.74,1.9,1.74,35170.0,0.044000000000000004
2020-08-26,1.89,1.9,1.9,1.89,16200.0,-0.0053
2020-08-27,1.88,1.88,1.88,1.88,20.0,-0.0079
2020-08-28,1.83,1.82,1.9,1.82,8900.0,-0.026699999999999998
2020-08-31,1.77,1.83,1.83,1.77,1800.0,-0.0274
2020-09-01,1.77,1.74,1.77,1.73,640.0,0.0
2020-09-02,1.83,1.75,1.83,1.75,150.0,0.0282
2020-09-03,1.83,1.83,1.83,1.83,2500.0,0.0
2020-09-04,1.77,1.77,1.77,1.77,2450.0,-0.0274
2020-09-07,1.73,1.77,1.77,1.73,2760.0,-0.0282
2020-09-08,1.71,1.77,1.77,1.71,430.0,-0.0116
2020-09-09,1.71,1.71,1.71,1.67,4250.0,0.0
2020-09-10,1.66,1.67,1.67,1.65,4040.0,-0.0264
2020-09-11,1.71,1.66,1.71,1.66,10140.0,0.0271
2020-09-14,1.75,1.75,1.75,1.71,1530.0,0.0264
2020-09-15,1.7,1.71,1.71,1.7,740.0,-0.0286
2020-09-16,1.7,1.7,1.7,1.7,200.0,0.0
2020-09-17,1.65,1.71,1.73,1.65,22670.0,-0.0265
2020-09-18,1.7,1.7,1.7,1.7,20.0,0.027200000000000002
2020-09-21,1.6749999999999998,1.6749999999999998,1.7,1.6749999999999998,0.0,0.0
2020-09-22,1.65,1.65,1.7,1.65,1860.0,-0.0294
2020-09-23,1.64,1.7,1.7,1.64,500.0,0.0
2020-09-24,1.64,1.63,1.64,1.6,4760.0,0.0
2020-09-25,1.69,1.65,1.69,1.65,70.0,0.0274
2020-09-28,1.69,1.66,1.69,1.66,290.0,0.0
2020-09-29,1.685,1.67,1.685,1.6549999999999998,0.0,0.0
2020-09-30,1.68,1.68,1.68,1.65,780.0,-0.0059
2020-10-01,1.67,1.69,1.69,1.64,830.0,0.0
2020-10-02,1.73,1.67,1.73,1.63,6670.0,0.029900000000000003
2020-10-05,1.74,1.74,1.74,1.74,10.0,0.0087
2020-10-06,1.69,1.69,1.69,1.69,1400.0,-0.0287
2020-10-07,1.75,1.62,1.75,1.62,1180.0,0.0325
2020-10-08,1.73,1.67,1.73,1.67,1050.0,-0.0115
2020-10-09,1.72,1.72,1.72,1.72,100.0,0.0
2020-10-12,1.7349999999999999,1.7349999999999999,1.7349999999999999,1.7349999999999999,0.0,0.0
2020-10-13,1.75,1.75,1.75,1.75,10.0,0.014499999999999999
2020-10-14,1.75,1.75,1.75,1.75,310.0,0.0
2020-10-15,1.77,1.75,1.775,1.75,0.0,0.0
2020-10-16,1.79,1.75,1.8,1.75,10600.0,0.0287
2020-10-19,1.78,1.76,1.7850000000000001,1.76,0.0,0.0
2020-10-20,1.77,1.77,1.77,1.77,1400.0,-0.0111
2020-10-21,1.79,1.77,1.8,1.77,10140.0,0.0085
2020-10-22,1.77,1.755,1.7850000000000001,1.755,0.0,0.0
2020-10-23,1.75,1.74,1.77,1.74,1400.0,-0.0196
2020-10-26,1.75,1.75,1.79,1.75,4000.0,0.0
2020-10-27,1.74,1.79,1.79,1.74,170.0,-0.005699999999999999
2020-10-28,1.74,1.79,1.79,1.74,1250.0,0.0
2020-10-29,1.76,1.7850000000000001,1.7850000000000001,1.76,0.0,0.0
2020-10-30,1.78,1.78,1.78,1.78,10.0,0.0288
2020-11-02,1.8,1.77,1.8,1.75,10330.0,0.0084
2020-11-03,1.83,1.84,1.84,1.83,260.0,0.0167
2020-11-04,1.79,1.8,1.8,1.78,3370.0,-0.0191
2020-11-05,1.79,1.82,1.82,1.74,70480.0,0.0
2020-11-06,1.8050000000000002,1.82,1.82,1.78,0.0,0.0
2020-11-09,1.82,1.82,1.82,1.82,60.0,0.0111
2020-11-10,1.79,1.76,1.79,1.76,460.0,-0.0138
2020-11-11,1.79,1.76,1.79,1.76,980.0,0.0
2020-11-12,1.79,1.79,1.79,1.79,1890.0,0.0
2020-11-13,1.76,1.76,1.76,1.76,540.0,-0.013999999999999999
2020-11-16,1.76,1.79,1.79,1.76,1220.0,0.0
2020-11-17,1.76,1.76,1.76,1.74,30400.0,0.0
2020-11-18,1.76,1.69,1.76,1.69,11270.0,0.0
2020-11-19,1.75,1.69,1.75,1.69,4510.0,-0.0113
2020-11-20,1.74,1.74,1.74,1.7,910.0,-0.005699999999999999
