Date,Price,Open,High,Low,Vol.,Change %
2020-08-04,4.4,4.4,4.4,4.4,50.0,-0.0179
2020-08-05,4.45,4.44,4.45,4.44,0.0,0.0
2020-08-06,4.5,4.48,4.5,4.48,60.0,0.0227
2020-08-07,4.5,4.3,4.5,4.3,330.0,0.0
2020-08-10,4.48,4.45,4.48,4.45,70.0,-0.0044
2020-08-11,4.58,4.47,4.58,4.47,720.0,0.0223
2020-08-12,4.58,4.48,4.58,4.48,550.0,0.0
2020-08-13,4.58,4.487692307692308,4.58,4.487692307692308,0.0,0.0
2020-08-14,4.58,4.495384615384616,4.58,4.495384615384616,0.0,0.0
2020-08-17,4.58,4.503076923076923,4.58,4.503076923076923,0.0,0.0
2020-08-18,4.58,4.510769230769231,4.58,4.510769230769231,0.0,0.0
2020-08-19,4.58,4.518461538461539,4.58,4.518461538461539,0.0,0.0
2020-08-20,4.58,4.526153846153846,4.58,4.526153846153846,0.0,0.0
2020-08-21,4.58,4.533846153846154,4.58,4.533846153846154,0.0,0.0
2020-08-24,4.58,4.541538461538462,4.58,4.541538461538462,0.0,0.0
2020-08-25,4.58,4.549230769230769,4.58,4.549230769230769,0.0,0.0
2020-08-26,4.58,4.556923076923077,4.58,4.556923076923077,0.0,0.0
2020-08-27,4.58,4.564615384615385,4.58,4.564615384615385,0.0,0.0
2020-08-28,4.58,4.572307692307692,4.58,4.572307692307692,0.0,0.0
2020-08-31,4.58,4.58,4.58,4.58,0.0,0.0
2020-09-01,4.566666666666666,4.558333333333334,4.566666666666666,4.558333333333334,0.0,0.0
2020-09-02,4.553333333333334,4.536666666666667,4.553333333333334,4.536666666666667,0.0,0.0
2020-09-03,4.54,4.515000000000001,4.54,4.515000000000001,0.0,0.0
2020-09-04,4.526666666666666,4.493333333333333,4.526666666666666,4.493333333333333,0.0,0.0
2020-09-07,4.513333333333334,4.471666666666667,4.513333333333334,4.471666666666667,0.0,0.0
2020-09-08,4.5,4.45,4.5,4.45,4180.0,-0.0175
2020-09-09,4.5,4.37,4.5,4.37,1440.0,0.0
2020-09-10,4.44,4.44,4.44,4.44,110.0,-0.013300000000000001
2020-09-11,4.45,4.25,4.5,4.25,1590.0,0.0023
