Date,Price,Open,High,Low,Vol.,Change %
2020-08-12,1.659,1.659,1.659,1.659,110.0,-0.027000000000000003
2020-08-13,1.659,1.6500000000000001,1.659,1.6500000000000001,0.0,0.0
2020-08-14,1.659,1.641,1.659,1.641,0.0,0.0
2020-08-17,1.659,1.6320000000000001,1.659,1.6320000000000001,0.0,0.0
2020-08-18,1.659,1.623,1.659,1.623,0.0,0.0
2020-08-19,1.659,1.614,1.659,1.614,460.0,0.0
2020-08-20,1.659,1.6365,1.659,1.6365,0.0,0.0
2020-08-21,1.659,1.659,1.659,1.659,30.0,0.0
2020-08-24,1.652,1.652,1.652,1.652,130.0,-0.0042
2020-08-25,1.606,1.606,1.606,1.606,70.0,-0.0278
2020-08-26,1.652,1.652,1.652,1.652,30.0,0.0286
2020-08-27,1.657,1.657,1.657,1.657,0.0,0.0
2020-08-28,1.662,1.662,1.662,1.662,0.0,0.0
2020-08-31,1.667,1.667,1.667,1.667,130.0,0.0091
2020-09-01,1.667,1.667,1.667,1.667,0.0,0.0
2020-09-02,1.667,1.667,1.667,1.667,0.0,0.0
2020-09-03,1.667,1.667,1.667,1.667,0.0,0.0
2020-09-04,1.667,1.667,1.667,1.667,590.0,0.0
2020-09-07,1.6440000000000001,1.6440000000000001,1.6440000000000001,1.6440000000000001,0.0,0.0
2020-09-08,1.621,1.621,1.621,1.621,20.0,-0.0276
2020-09-09,1.621,1.621,1.621,1.621,540.0,0.0
2020-09-10,1.621,1.621,1.621,1.621,130.0,0.0
2020-09-11,1.667,1.667,1.667,1.667,70.0,0.028399999999999998
2020-09-14,1.6555,1.6555,1.6555,1.6555,0.0,0.0
2020-09-15,1.6440000000000001,1.6440000000000001,1.6440000000000001,1.6440000000000001,0.0,0.0
2020-09-16,1.6325,1.6325,1.6325,1.6325,0.0,0.0
2020-09-17,1.621,1.621,1.621,1.621,60.0,-0.0276
2020-09-18,1.659,1.659,1.659,1.659,30.0,0.023399999999999997
2020-09-21,1.6400000000000001,1.6400000000000001,1.6400000000000001,1.6400000000000001,0.0,0.0
2020-09-22,1.621,1.621,1.621,1.621,1440.0,-0.0229
2020-09-23,1.621,1.621,1.621,1.621,0.0,0.0
2020-09-24,1.621,1.621,1.621,1.621,0.0,0.0
