Date,Price,Open,High,Low,Vol.,Change %
2020-10-09,44.3,44.3,44.3,44.3,100.0,0.0
2020-10-12,44.3,44.3,44.3,44.3,0.0,0.0
2020-10-13,44.3,44.3,44.3,44.3,0.0,0.0
2020-10-14,44.3,44.3,44.3,44.3,0.0,0.0
2020-10-15,44.3,44.3,44.3,44.3,0.0,0.0
2020-10-16,44.3,44.3,44.3,44.3,0.0,0.0
2020-10-19,44.3,44.3,44.3,44.3,0.0,0.0
2020-10-20,44.3,44.3,44.3,44.3,0.0,0.0
2020-10-21,44.3,44.3,44.3,44.3,0.0,0.0
2020-10-22,44.3,44.3,44.3,44.3,0.0,0.0
2020-10-23,44.3,44.3,44.3,44.3,0.0,0.0
2020-10-26,44.3,44.3,44.3,44.3,0.0,0.0
2020-10-27,44.3,44.3,44.3,44.3,0.0,0.0
2020-10-28,44.3,44.3,44.3,44.3,0.0,0.0
2020-10-29,44.3,44.3,44.3,44.3,0.0,0.0
2020-10-30,44.3,44.3,44.3,44.3,0.0,0.0
2020-11-02,44.3,44.3,44.3,44.3,0.0,0.0
2020-11-03,44.3,44.3,44.3,44.3,50.0,0.0
2020-11-04,44.3,44.3,44.3,44.3,0.0,0.0
2020-11-05,44.3,44.3,44.3,44.3,0.0,0.0
2020-11-06,44.3,44.3,44.3,44.3,300.0,0.0
2020-11-09,44.34466666666666,44.34466666666666,44.34466666666666,44.34466666666666,0.0,0.0
2020-11-10,44.38933333333333,44.38933333333333,44.38933333333333,44.38933333333333,0.0,0.0
2020-11-11,44.434,44.434,44.434,44.434,0.0,0.0
2020-11-12,44.47866666666666,44.47866666666666,44.47866666666666,44.47866666666666,0.0,0.0
2020-11-13,44.52333333333333,44.52333333333333,44.52333333333333,44.52333333333333,0.0,0.0
2020-11-16,44.568,44.568,44.568,44.568,0.0,0.0
2020-11-17,44.61266666666666,44.61266666666666,44.61266666666666,44.61266666666666,0.0,0.0
2020-11-18,44.657333333333334,44.657333333333334,44.657333333333334,44.657333333333334,0.0,0.0
2020-11-19,44.702,44.702,44.702,44.702,0.0,0.0
2020-11-20,44.74666666666666,44.74666666666666,44.74666666666666,44.74666666666666,0.0,0.0
2020-11-23,44.79133333333333,44.79133333333333,44.79133333333333,44.79133333333333,0.0,0.0
2020-11-24,44.836,44.836,44.836,44.836,0.0,0.0
2020-11-25,44.88066666666666,44.88066666666666,44.88066666666666,44.88066666666666,0.0,0.0
2020-11-26,44.92533333333333,44.92533333333333,44.92533333333333,44.92533333333333,0.0,0.0
2020-11-27,44.97,44.97,44.97,44.97,0.0,0.0
2020-11-30,45.01466666666666,45.01466666666666,45.01466666666666,45.01466666666666,0.0,0.0
2020-12-01,45.05933333333333,45.05933333333333,45.05933333333333,45.05933333333333,0.0,0.0
2020-12-02,45.104,45.104,45.104,45.104,0.0,0.0
2020-12-03,45.148666666666664,45.148666666666664,45.148666666666664,45.148666666666664,0.0,0.0
2020-12-04,45.19333333333333,45.19333333333333,45.19333333333333,45.19333333333333,0.0,0.0
2020-12-07,45.238,45.238,45.238,45.238,0.0,0.0
2020-12-08,45.282666666666664,45.282666666666664,45.282666666666664,45.282666666666664,0.0,0.0
2020-12-09,45.32733333333333,45.32733333333333,45.32733333333333,45.32733333333333,0.0,0.0
