Date,Price,Open,High,Low,Vol.,Change %
2020-08-10,12.3,12.35,12.35,12.3,1300.0,0.0
2020-08-11,12.0,12.29,12.29,12.0,34320.0,-0.024399999999999998
2020-08-12,11.99,12.3,12.3,11.99,28430.0,-0.0008
2020-08-13,11.995000000000001,12.3,12.3,11.995000000000001,0.0,0.0
2020-08-14,12.0,12.3,12.3,12.0,670.0,0.0008
2020-08-17,11.9,12.0,12.0,11.9,5860.0,-0.0083
2020-08-18,11.99,11.6,11.99,11.55,810.0,0.0076
2020-08-19,11.99,11.99,11.99,11.8,270.0,0.0
2020-08-20,11.99,11.99,11.99,11.72,0.0,0.0
2020-08-21,11.99,11.99,11.99,11.64,760.0,0.0
2020-08-24,11.95,11.98,11.98,11.64,1920.0,-0.0033
2020-08-25,11.94,11.94,11.94,11.7,330.0,-0.0008
2020-08-26,11.8,11.9,11.9,11.79,4100.0,-0.011699999999999999
2020-08-27,11.6,11.8,11.8,11.6,2470.0,-0.0169
2020-08-28,11.89,11.9,11.9,11.89,1110.0,0.025
2020-08-31,11.7,12.0,12.23,11.6,1790.0,-0.016
2020-09-01,11.7,11.7,11.98,11.7,1210.0,0.0
2020-09-02,11.35,11.8,11.8,11.35,920.0,-0.029900000000000003
2020-09-03,11.33,11.35,11.35,11.1,25720.0,-0.0018
2020-09-04,11.28,11.34,11.34,11.28,280.0,-0.0044
2020-09-07,10.95,11.28,11.28,10.95,5330.0,-0.029300000000000003
2020-09-08,10.9,10.95,10.95,10.9,1190.0,-0.0046
2020-09-09,11.21,10.89,11.21,10.89,2370.0,0.028399999999999998
2020-09-10,11.0,11.2,11.2,10.87,1390.0,-0.0187
2020-09-11,10.8,11.0,11.0,10.8,2460.0,-0.0182
2020-09-14,10.75,10.79,10.79,10.5,3240.0,-0.0046
2020-09-15,10.7,10.75,10.78,10.6,2040.0,-0.004699999999999999
2020-09-16,10.7,10.7,10.7,10.69,1380.0,0.0
2020-09-17,10.47,10.5,10.51,10.47,6610.0,-0.0215
2020-09-18,10.5,10.46,10.75,10.45,4750.0,0.0029
2020-09-21,10.67,10.49,10.74,10.4,1700.0,0.016200000000000003
2020-09-22,10.47,10.51,10.51,10.36,5800.0,-0.0187
2020-09-23,10.7,10.74,10.74,10.42,3210.0,0.022000000000000002
2020-09-24,10.7,10.79,10.79,10.69,5630.0,0.0
2020-09-25,10.7,10.79,10.79,10.41,2510.0,0.0
2020-09-28,10.6,10.79,10.79,10.6,800.0,-0.009300000000000001
2020-09-29,10.6,10.74,10.74,10.6,1700.0,0.0
2020-09-30,10.3,10.5,10.5,10.3,2730.0,-0.028300000000000002
2020-10-01,10.0,10.03,10.1,10.0,1330.0,-0.0291
2020-10-02,10.0,9.99,10.45,9.99,870.0,0.0
2020-10-05,10.45,10.4,10.45,10.4,2760.0,0.045
2020-10-06,10.45,10.65,10.65,10.45,5540.0,0.0
2020-10-07,10.45,10.65,10.65,10.45,4500.0,0.0
2020-10-08,10.44,10.65,10.65,10.34,760.0,-0.001
2020-10-09,10.48,10.64,10.64,10.48,1310.0,0.0038
2020-10-12,10.5,10.5,10.5,10.17,1060.0,0.0019
2020-10-13,10.48,10.5,10.5,10.2,1310.0,-0.0019
2020-10-14,10.4,10.47,10.47,10.4,2000.0,-0.0076
2020-10-15,10.4,10.485,10.485,10.4,0.0,0.0
2020-10-16,10.4,10.5,10.5,10.4,2790.0,0.0
2020-10-19,10.4,10.5,10.5,10.4,1450.0,0.0
2020-10-20,10.4,10.4,10.4,10.2,510.0,0.0
2020-10-21,10.4,10.4,10.4,10.4,500.0,0.0
2020-10-22,10.39,10.4,10.4,10.3,1820.0,-0.001
2020-10-23,10.4,10.39,10.4,10.2,1690.0,0.001
2020-10-26,10.38,10.4,10.4,10.38,1230.0,-0.0019
2020-10-27,10.35,10.3,10.36,10.07,1200.0,-0.0029
2020-10-28,10.4,10.38,10.4,10.38,4500.0,0.0048
2020-10-29,10.395,10.39,10.4,10.385000000000002,0.0,0.0
2020-10-30,10.39,10.4,10.4,10.39,910.0,-0.001
2020-11-02,10.395,10.4,10.4,10.295,0.0,0.0
2020-11-03,10.4,10.4,10.4,10.2,940.0,0.001
2020-11-04,10.4,10.4,10.4,10.3,0.0,0.0
2020-11-05,10.4,10.4,10.4,10.4,1700.0,0.0
2020-11-06,10.4,10.4,10.4,10.4,800.0,0.0
2020-11-09,10.39,10.39,10.39,10.39,0.0,-0.001
2020-11-10,10.39,10.39,10.4,10.39,11600.0,0.0
2020-11-11,10.4,10.4,10.4,10.39,6940.0,0.001
2020-11-12,10.4,10.4,10.4,10.3,3150.0,0.0
2020-11-13,10.4,10.4,10.4,10.4,3200.0,0.0
2020-11-16,10.31,10.4,10.4,10.31,1450.0,-0.0087
2020-11-17,10.39,10.4,10.4,10.3,7580.0,0.0078000000000000005
2020-11-18,10.39,10.4,10.4,10.39,6170.0,0.0
2020-11-19,10.38,10.39,10.39,10.38,2650.0,-0.001
2020-11-20,10.39,10.4,10.4,10.3,2100.0,0.001
2020-11-23,10.39,10.39,10.4,10.2,9390.0,0.0
2020-11-24,10.39,10.39,10.39,10.25,2830.0,0.0
2020-11-25,10.39,10.35,10.39,10.24,7190.0,0.0
2020-11-26,10.39,10.39,10.4,10.2,5530.0,0.0
2020-11-27,10.25,10.39,10.4,10.25,11160.0,-0.013500000000000002
2020-11-30,10.3,10.39,10.39,10.3,110.0,0.0049
2020-12-01,10.38,10.38,10.38,10.38,1000.0,0.0078000000000000005
2020-12-02,10.37,10.3,10.39,10.3,1240.0,-0.001
2020-12-03,10.39,10.4,10.4,10.39,800.0,0.0019
2020-12-04,10.33,10.39,10.39,10.19,560.0,-0.0058
2020-12-07,10.4,10.38,10.4,10.2,7940.0,0.0068000000000000005
2020-12-08,10.39,10.4,10.4,10.22,2190.0,-0.001
2020-12-09,10.39,10.39,10.39,10.39,710.0,0.0
2020-12-10,10.4,10.4,10.4,10.24,8600.0,0.001
2020-12-11,10.4,10.4,10.4,10.4,50.0,0.0
2020-12-14,10.35,10.35,10.35,10.35,2500.0,-0.0048
2020-12-15,10.4,10.19,10.4,10.19,1290.0,0.0048
2020-12-16,10.2,10.2,10.39,10.2,1200.0,-0.0192
2020-12-17,10.2,10.14,10.39,10.09,2470.0,0.0
2020-12-18,10.38,10.38,10.38,10.2,520.0,0.0176
2020-12-21,10.35,10.35,10.35,10.2,2210.0,-0.0029
2020-12-22,10.2,10.38,10.38,10.2,1650.0,-0.014499999999999999
2020-12-23,10.3,10.35,10.36,10.3,520.0,0.0098
