Date,Price,Open,High,Low,Vol.,Change %
2020-08-10,3.55,3.58,3.58,3.5,920.0,0.0143
2020-08-11,3.45,3.49,3.49,3.45,8480.0,-0.0282
2020-08-12,3.5,3.45,3.55,3.45,17320.0,0.014499999999999999
2020-08-13,3.5,3.475,3.545,3.455,0.0,0.0
2020-08-14,3.5,3.5,3.54,3.46,230.0,0.0
2020-08-17,3.5,3.55,3.55,3.46,1650.0,0.0
2020-08-18,3.55,3.5,3.55,3.5,760.0,0.0143
2020-08-19,3.47,3.45,3.54,3.45,5270.0,-0.0225
2020-08-20,3.455,3.46,3.505,3.4450000000000003,0.0,0.0
2020-08-21,3.44,3.47,3.47,3.44,3380.0,-0.0086
2020-08-24,3.45,3.42,3.5,3.42,2780.0,0.0029
2020-08-25,3.54,3.4,3.54,3.4,5780.0,0.026099999999999998
2020-08-26,3.55,3.5,3.55,3.44,14690.0,0.0028000000000000004
2020-08-27,3.5,3.5,3.5,3.45,3240.0,-0.0141
2020-08-28,3.45,3.45,3.5,3.45,4230.0,-0.0143
2020-08-31,3.5,3.42,3.5,3.38,14510.0,0.014499999999999999
2020-09-01,3.5,3.5,3.55,3.5,2600.0,0.0
2020-09-02,3.48,3.41,3.48,3.4,10670.0,-0.005699999999999999
2020-09-03,3.44,3.4,3.44,3.38,19380.0,-0.0115
2020-09-04,3.5,3.5,3.5,3.4,3990.0,0.0174
2020-09-07,3.5,3.41,3.5,3.4,1510.0,0.0
2020-09-08,3.47,3.45,3.48,3.4,14560.0,-0.0086
2020-09-09,3.5,3.5,3.5,3.4,17150.0,0.0086
2020-09-10,3.54,3.41,3.54,3.41,29650.0,0.011399999999999999
2020-09-11,3.55,3.55,3.64,3.44,25360.0,0.0028000000000000004
2020-09-14,3.63,3.64,3.69,3.56,13790.0,0.0225
2020-09-15,3.62,3.6,3.62,3.55,1070.0,-0.0028000000000000004
2020-09-16,3.6,3.52,3.6,3.52,5150.0,-0.0055000000000000005
2020-09-17,3.62,3.53,3.62,3.53,4830.0,0.005600000000000001
2020-09-18,3.66,3.55,3.66,3.55,1600.0,0.011000000000000001
2020-09-21,3.64,3.56,3.64,3.56,3030.0,-0.0055000000000000005
2020-09-22,3.63,3.63,3.63,3.63,0.0,-0.0027
2020-09-23,3.54,3.64,3.64,3.54,480.0,-0.0248
2020-09-24,3.5,3.62,3.62,3.46,13950.0,-0.0113
2020-09-25,3.43,3.5,3.5,3.4,9530.0,-0.02
2020-09-28,3.5,3.45,3.5,3.38,9480.0,0.0204
2020-09-29,3.71,3.5,3.71,3.5,152920.0,0.06
2020-09-30,3.71,3.82,3.89,3.71,49760.0,0.0
2020-10-01,3.43,3.58,3.65,3.43,38080.0,-0.0755
2020-10-02,3.49,3.34,3.49,3.34,11710.0,0.0175
2020-10-05,3.54,3.54,3.54,3.44,7360.0,0.0143
2020-10-06,3.53,3.5,3.53,3.44,3530.0,-0.0028000000000000004
2020-10-07,3.53,3.5,3.54,3.5,1650.0,0.0
2020-10-08,3.53,3.54,3.54,3.44,2020.0,0.0
2020-10-09,3.52,3.54,3.54,3.44,3200.0,-0.0028000000000000004
2020-10-12,3.45,3.5,3.52,3.42,2800.0,-0.0199
2020-10-13,3.45,3.41,3.45,3.41,100.0,0.0
2020-10-14,3.4,3.4,3.41,3.4,12310.0,-0.014499999999999999
2020-10-15,3.4,3.425,3.43,3.385,0.0,0.0
2020-10-16,3.4,3.45,3.45,3.37,1410.0,0.0
2020-10-19,3.4,3.43,3.43,3.32,11170.0,0.0
2020-10-20,3.4,3.34,3.4,3.3,30700.0,0.0
2020-10-21,3.37,3.3,3.37,3.3,1010.0,-0.0088
2020-10-22,3.36,3.37,3.38,3.33,6710.0,-0.003
2020-10-23,3.4,3.36,3.46,3.36,24150.0,0.011899999999999999
2020-10-26,3.4,3.45,3.45,3.37,3040.0,0.0
2020-10-27,3.38,3.31,3.4,3.3,1750.0,-0.0059
2020-10-28,3.4,3.32,3.4,3.32,320.0,0.0059
2020-10-29,3.3899999999999997,3.36,3.4,3.335,0.0,0.0
2020-10-30,3.38,3.4,3.4,3.35,1880.0,-0.0059
2020-11-02,3.37,3.31,3.37,3.3,13790.0,-0.003
2020-11-03,3.36,3.39,3.39,3.36,900.0,-0.003
2020-11-04,3.38,3.4,3.4,3.3,10650.0,0.006
2020-11-05,3.3,3.3,3.34,3.29,360.0,-0.023700000000000002
2020-11-06,3.29,3.38,3.38,3.29,10140.0,-0.003
2020-11-09,3.29,3.37,3.37,3.28,18030.0,0.0
2020-11-10,3.38,3.38,3.38,3.3,10000.0,0.0274
2020-11-11,3.3,3.4,3.4,3.3,13010.0,-0.023700000000000002
2020-11-12,3.3,3.39,3.39,3.27,2330.0,0.0
2020-11-13,3.29,3.28,3.29,3.26,4930.0,-0.003
2020-11-16,3.3,3.3,3.3,3.26,3730.0,0.003
2020-11-17,3.38,3.3,3.38,3.3,15980.0,0.0242
2020-11-18,3.32,3.32,3.32,3.3,7310.0,-0.0178
2020-11-19,3.39,3.32,3.39,3.32,14100.0,0.021099999999999997
2020-11-20,3.47,3.4,3.47,3.4,14690.0,0.0236
2020-11-23,3.52,3.5,3.55,3.49,28940.0,0.0144
2020-11-24,3.5,3.56,3.58,3.46,7660.0,-0.005699999999999999
2020-11-25,3.56,3.56,3.56,3.56,10.0,0.0171
2020-11-26,3.5,3.49,3.52,3.46,3420.0,-0.0169
2020-11-27,3.47,3.5,3.5,3.4,6090.0,-0.0086
2020-11-30,3.48,3.5,3.5,3.4,8230.0,0.0029
2020-12-01,3.44,3.48,3.48,3.39,4059.9999999999995,-0.0115
2020-12-02,3.44,3.4,3.44,3.38,7460.0,0.0
2020-12-03,3.42,3.4,3.42,3.35,11900.0,-0.0058
2020-12-04,3.36,3.35,3.43,3.35,22060.0,-0.0175
2020-12-07,3.4,3.41,3.41,3.32,12240.0,0.011899999999999999
2020-12-08,3.38,3.31,3.39,3.3,34190.0,-0.0059
2020-12-09,3.35,3.32,3.38,3.3,71360.0,-0.0089
2020-12-10,3.34,3.35,3.35,3.27,7260.0,-0.003
2020-12-11,3.34,3.3,3.35,3.3,3530.0,0.0
2020-12-14,3.36,3.36,3.36,3.3,2000.0,0.006
2020-12-15,3.35,3.36,3.36,3.28,7560.0,-0.003
2020-12-16,3.3,3.36,3.36,3.29,10230.0,-0.0149
2020-12-17,3.31,3.36,3.36,3.28,3550.0,0.003
2020-12-18,3.34,3.3,3.34,3.26,9340.0,0.0091
2020-12-21,3.35,3.37,3.38,3.3,5810.0,0.003
2020-12-22,3.35,3.3,3.37,3.3,4260.0,0.0
2020-12-23,3.36,3.3,3.36,3.3,4830.0,0.003
2020-12-24,3.3,3.3,3.35,3.3,18560.0,-0.0179
2020-12-25,3.3,3.36,3.36,3.26,6240.0,0.0
2020-12-28,3.35,3.35,3.44,3.34,16400.0,0.0152
2020-12-29,3.35,3.39,3.39,3.29,8910.0,0.0
2020-12-30,3.34,3.3,3.35,3.26,22590.0,-0.003
2020-12-31,3.35,3.38,3.38,3.28,4680.0,0.003
2021-01-01,3.355,3.385,3.385,3.285,0.0,0.0
2021-01-04,3.36,3.39,3.39,3.29,1770.0,0.003
2021-01-05,3.27,3.3,3.3,3.25,20360.0,-0.0268
2021-01-06,3.32,3.3,3.32,3.25,6030.0,0.015300000000000001
2021-01-07,3.29,3.32,3.32,3.23,21130.0,-0.009000000000000001
2021-01-08,3.33,3.3,3.34,3.3,3150.0,0.012199999999999999
2021-01-11,3.34,3.35,3.35,3.26,3030.0,0.003
2021-01-12,3.32,3.24,3.33,3.24,5540.0,-0.006
2021-01-13,3.29,3.34,3.34,3.25,970.0,-0.009000000000000001
2021-01-14,3.285,3.315,3.315,3.24,0.0,0.0
2021-01-15,3.28,3.29,3.29,3.23,2520.0,-0.003
2021-01-18,3.24,3.3,3.3,3.21,6200.0,-0.012199999999999999
2021-01-19,3.27,3.25,3.28,3.2,6810.0,0.009300000000000001
2021-01-20,3.19,3.28,3.28,3.19,18650.0,-0.0245
2021-01-21,3.18,3.15,3.2,3.15,2700.0,-0.0031
2021-01-22,3.26,3.27,3.27,3.25,680.0,0.0252
2021-01-25,3.26,3.28,3.28,3.25,1850.0,0.0
2021-01-26,3.2,3.17,3.23,3.17,5180.0,-0.0184
2021-01-27,3.2,3.2,3.23,3.16,9040.0,0.0
2021-01-28,3.26,3.23,3.27,3.23,5300.0,0.0187
2021-01-29,3.25,3.28,3.28,3.22,6210.0,-0.0031
2021-02-01,3.2,3.28,3.28,3.19,1430.0,-0.0154
2021-02-02,3.22,3.17,3.24,3.17,5000.0,0.0062
2021-02-03,3.24,3.28,3.28,3.19,3800.0,0.0062
2021-02-04,3.24,3.19,3.24,3.19,2740.0,0.0
2021-02-05,3.18,3.24,3.24,3.17,126860.0,-0.018500000000000003
2021-02-08,3.24,3.26,3.26,3.19,36190.0,0.0189
2021-02-09,3.2,3.24,3.24,3.2,1100.0,-0.0123
2021-02-10,3.18,3.24,3.24,3.15,17290.0,-0.0062
2021-02-11,3.14,3.15,3.18,3.1,45330.0,-0.0126
2021-02-12,3.11,3.18,3.18,3.09,14170.0,-0.0096
2021-02-15,3.05,3.11,3.11,3.02,23610.0,-0.019299999999999998
2021-02-16,3.03,3.05,3.05,3.0,16070.0,-0.0066
2021-02-17,3.03,3.05,3.05,3.0,3110.0,0.0
2021-02-18,2.99,3.0,3.02,2.98,18470.0,-0.0132
2021-02-19,2.99,3.04,3.04,2.95,7830.0,0.0
