Date,Price,Open,High,Low,Vol.,Change %
2020-08-10,18.59,18.34,18.6,18.34,38280.0,0.018600000000000002
2020-08-11,18.83,18.71,19.0,18.71,58750.0,0.0129
2020-08-12,19.25,18.85,19.25,18.85,52890.0,0.0223
2020-08-13,19.225,19.05,19.325,19.015,0.0,0.0
2020-08-14,19.2,19.25,19.4,19.18,44660.0,-0.0026
2020-08-17,19.09,19.18,19.18,18.82,18740.0,-0.005699999999999999
2020-08-18,18.67,19.09,19.09,18.62,36990.0,-0.022000000000000002
2020-08-19,19.0,18.99,19.0,18.67,12030.0,0.0177
2020-08-20,18.990000000000002,18.994999999999997,19.05,18.735,0.0,0.0
2020-08-21,18.98,19.0,19.1,18.8,6920.0,-0.0011
2020-08-24,18.95,18.98,18.99,18.75,6180.0,-0.0016
2020-08-25,18.95,18.95,19.0,18.8,15580.0,0.0
2020-08-26,18.85,18.9,18.95,18.76,13030.0,-0.0053
2020-08-27,18.8,18.85,18.85,18.7,7090.0,-0.0027
2020-08-28,18.83,18.8,18.83,18.75,21940.0,0.0016
2020-08-31,18.9,18.76,19.0,18.76,13550.0,0.0037
2020-09-01,18.96,18.89,19.0,18.8,38320.0,0.0032
2020-09-02,19.0,19.0,19.3,18.85,34680.0,0.0021
2020-09-03,19.0,18.85,19.1,18.85,25880.0,0.0
2020-09-04,19.0,19.14,19.14,18.94,30310.0,0.0
2020-09-07,18.99,18.95,19.0,18.92,17070.0,-0.0005
2020-09-08,18.95,18.55,18.98,18.55,16120.000000000002,-0.0021
2020-09-09,18.93,18.9,18.94,18.85,41660.0,-0.0011
2020-09-10,18.94,18.93,19.0,18.9,46380.0,0.0005
2020-09-11,19.09,18.99,19.09,18.86,53260.0,0.0079
2020-09-14,19.38,19.05,19.39,19.05,29530.0,0.0152
2020-09-15,19.55,19.38,19.6,19.38,63620.0,0.0088
2020-09-16,19.3,19.55,19.58,19.3,26890.0,-0.0128
2020-09-17,19.27,19.59,19.59,19.2,26010.0,-0.0016
2020-09-18,19.35,19.39,19.39,19.27,9690.0,0.0042
2020-09-21,19.35,19.4,19.5,19.3,10880.0,0.0
2020-09-22,19.2,19.35,19.35,19.12,14190.0,-0.0078000000000000005
2020-09-23,19.39,19.21,19.45,19.21,34320.0,0.009899999999999999
2020-09-24,19.19,19.38,19.39,19.0,54230.0,-0.0103
2020-09-25,19.19,19.23,19.24,19.02,9880.0,0.0
2020-09-28,18.9,19.19,19.22,18.85,40370.0,-0.0151
2020-09-29,18.9,18.9,19.05,18.9,6920.0,0.0
2020-09-30,18.8,18.86,19.0,18.7,30300.0,-0.0053
2020-10-01,18.24,18.7,18.7,18.24,39230.0,-0.0298
2020-10-02,18.1,18.0,18.2,17.5,37420.0,-0.0077
2020-10-05,18.5,17.99,18.5,17.99,138210.0,0.022099999999999998
2020-10-06,18.6,18.69,18.7,18.5,8560.0,0.0054
2020-10-07,18.3,18.6,18.7,18.3,29340.0,-0.0161
2020-10-08,18.3,18.44,18.44,18.27,42990.0,0.0
2020-10-09,18.28,18.31,18.4,18.26,38050.0,-0.0011
2020-10-12,18.21,18.25,18.3,18.1,7050.0,-0.0038
2020-10-13,18.2,18.1,18.29,18.09,67070.0,-0.0005
2020-10-14,18.18,18.2,18.21,18.1,41210.0,-0.0011
2020-10-15,18.375,18.185000000000002,18.405,18.130000000000003,0.0,0.0
2020-10-16,18.57,18.17,18.6,18.16,154360.0,0.0215
2020-10-19,18.4,18.53,18.55,18.2,4570.0,-0.0092
2020-10-20,18.18,18.53,18.53,18.17,52730.0,-0.012
2020-10-21,18.17,18.16,18.35,18.13,36840.0,-0.0006
2020-10-22,18.2,18.47,18.47,18.17,14610.0,0.0017000000000000001
2020-10-23,18.19,18.2,18.39,18.18,16370.000000000002,-0.0005
2020-10-26,18.08,18.19,18.19,18.08,42770.0,-0.006
2020-10-27,18.0,18.1,18.1,17.99,18820.0,-0.0044
2020-10-28,17.9,18.19,18.19,17.89,17320.0,-0.005600000000000001
2020-10-29,17.875,18.020000000000003,18.020000000000003,17.845,0.0,0.0
2020-10-30,17.85,17.85,17.85,17.8,11390.0,-0.0028000000000000004
2020-11-02,17.7,17.85,17.85,17.7,16510.0,-0.0084
2020-11-03,17.7,17.7,17.7,17.68,12500.0,0.0
2020-11-04,17.68,17.99,17.99,17.68,3030.0,-0.0011
2020-11-05,17.7,17.68,17.98,17.68,19710.0,0.0011
2020-11-06,18.15,17.7,18.17,17.7,15420.0,0.0254
2020-11-09,18.44,18.2,18.5,18.2,16280.000000000002,0.016
2020-11-10,18.38,18.44,18.44,18.25,7700.0,-0.0033
2020-11-11,18.3,18.4,18.4,18.2,15790.0,-0.0044
2020-11-12,18.3,18.38,18.38,18.3,9830.0,0.0
2020-11-13,18.33,18.3,18.38,18.3,16950.0,0.0016
2020-11-16,18.38,18.33,18.38,18.26,13380.0,0.0027
2020-11-17,18.2,18.37,18.37,18.01,11300.0,-0.0098
2020-11-18,18.19,18.06,18.2,17.98,91350.0,-0.0005
2020-11-19,18.19,18.02,18.2,18.02,23530.0,0.0
2020-11-20,18.25,18.19,18.34,18.19,14430.0,0.0033
2020-11-23,18.35,18.2,18.35,18.2,9600.0,0.0055000000000000005
2020-11-24,18.38,18.35,18.38,18.21,12360.0,0.0016
2020-11-25,18.7,18.38,18.7,18.38,11700.0,0.0174
2020-11-26,18.8,18.7,18.92,18.7,22500.0,0.0053
2020-11-27,18.84,18.8,18.9,18.6,4290.0,0.0021
2020-11-30,19.25,18.85,19.25,18.85,37320.0,0.0218
2020-12-01,18.9,19.23,19.29,18.9,4600.0,-0.0182
2020-12-02,18.9,19.2,19.2,18.85,11780.0,0.0
2020-12-03,19.15,19.09,19.19,18.85,10210.0,0.0132
2020-12-04,19.0,19.15,19.15,19.0,7340.0,-0.0078000000000000005
2020-12-07,18.9,19.1,19.1,18.9,11220.0,-0.0053
2020-12-08,19.0,18.9,19.05,18.89,23660.0,0.0053
2020-12-09,19.0,18.9,19.0,18.9,27440.0,0.0
2020-12-10,18.99,19.09,19.09,18.95,7800.0,-0.0005
2020-12-11,19.0,18.99,19.0,18.9,25570.0,0.0005
2020-12-14,19.0,19.1,19.1,18.9,3970.0,0.0
2020-12-15,19.0,18.99,19.0,18.9,18060.0,0.0
