Date,Price,Open,High,Low,Vol.,Change %
2020-08-24,2.25,2.25,2.25,2.25,30.0,-0.026000000000000002
2020-08-25,2.235,2.235,2.235,2.235,0.0,0.0
2020-08-26,2.2199999999999998,2.2199999999999998,2.2199999999999998,2.2199999999999998,0.0,0.0
2020-08-27,2.205,2.205,2.205,2.205,0.0,0.0
2020-08-28,2.19,2.19,2.19,2.19,100.0,-0.026699999999999998
2020-08-31,2.2066666666666666,2.2066666666666666,2.2066666666666666,2.2066666666666666,0.0,0.0
2020-09-01,2.2233333333333336,2.2233333333333336,2.2233333333333336,2.2233333333333336,0.0,0.0
2020-09-02,2.24,2.24,2.24,2.24,10.0,0.022799999999999997
2020-09-03,2.1500000000000004,2.145,2.1500000000000004,2.145,0.0,0.0
2020-09-04,2.06,2.05,2.06,2.05,6610.0,-0.08039999999999999
2020-09-07,2.04,2.033333333333333,2.04,2.033333333333333,0.0,0.0
2020-09-08,2.02,2.0166666666666666,2.02,2.0166666666666666,0.0,0.0
2020-09-09,2.0,2.0,2.0,2.0,2050.0,-0.0291
2020-09-10,2.005,2.005,2.005,2.005,0.0,0.0
2020-09-11,2.01,2.01,2.01,2.01,1230.0,0.005
2020-09-14,2.0,2.0,2.0,2.0,900.0,-0.005
2020-09-15,2.0,2.0,2.0,2.0,0.0,0.0
2020-09-16,2.0,2.0,2.0,2.0,0.0,0.0
2020-09-17,2.0,2.0,2.0,2.0,2000.0,0.0
2020-09-18,2.0,2.0,2.0,2.0,10.0,0.0
2020-09-21,1.9875,1.9875,1.9875,1.9875,0.0,0.0
2020-09-22,1.975,1.975,1.975,1.975,0.0,0.0
2020-09-23,1.9625,1.9625,1.9625,1.9625,0.0,0.0
2020-09-24,1.95,1.95,1.95,1.95,1380.0,-0.025
2020-09-25,1.95,1.95,1.95,1.95,20.0,0.0
2020-09-28,1.9899999999999998,1.9899999999999998,1.9899999999999998,1.9899999999999998,0.0,0.0
2020-09-29,2.03,2.03,2.03,2.03,85150.0,0.040999999999999995
2020-09-30,2.08,2.08,2.08,2.08,690.0,0.0246
2020-10-01,2.04,2.04,2.04,2.04,720.0,-0.0192
2020-10-02,2.1,2.1,2.1,2.1,3000.0,0.0294
2020-10-05,2.1,2.09,2.1,2.09,260.0,0.0
2020-10-06,2.1100000000000003,2.105,2.1100000000000003,2.105,0.0,0.0
2020-10-07,2.12,2.12,2.12,2.12,550.0,0.0095
2020-10-08,2.16,2.16,2.16,2.16,130.0,0.0189
2020-10-09,2.17,2.17,2.17,2.17,2750.0,0.0046
2020-10-12,2.1999999999999997,2.1999999999999997,2.1999999999999997,2.1999999999999997,0.0,0.0
2020-10-13,2.23,2.23,2.23,2.23,0.0,0.0
2020-10-14,2.26,2.26,2.26,2.26,1440.0,0.0415
2020-10-15,2.245,2.245,2.245,2.245,0.0,0.0
2020-10-16,2.23,2.23,2.23,2.23,0.0,0.0
2020-10-19,2.215,2.215,2.215,2.215,0.0,0.0
2020-10-20,2.2,2.2,2.2,2.2,660.0,-0.0265
2020-10-21,2.14,2.14,2.14,2.14,8200.0,-0.0273
2020-10-22,2.2,2.14,2.2,2.14,130.0,0.027999999999999997
2020-10-23,2.1775,2.1325000000000003,2.1775,2.1325000000000003,0.0,0.0
2020-10-26,2.1550000000000002,2.125,2.1550000000000002,2.125,0.0,0.0
2020-10-27,2.1325,2.1174999999999997,2.1325,2.1174999999999997,0.0,0.0
2020-10-28,2.11,2.11,2.11,2.11,150.0,-0.0409
2020-10-29,2.09,2.09,2.09,2.09,0.0,0.0
2020-10-30,2.07,2.07,2.07,2.07,0.0,0.0
2020-11-02,2.05,2.05,2.05,2.05,300.0,-0.028399999999999998
2020-11-03,2.05,2.05,2.05,2.05,280.0,0.0
2020-11-04,2.11,2.08,2.11,2.08,0.0,0.0
2020-11-05,2.17,2.11,2.17,2.11,130.0,0.058499999999999996
2020-11-06,2.2,2.2,2.2,2.2,0.0,0.0138
2020-11-09,2.2,2.2,2.2,2.2,380.0,0.0
2020-11-10,2.25,2.25,2.25,2.25,160.0,0.0227
2020-11-11,2.25,2.25,2.25,2.25,40.0,0.0
2020-11-12,2.3,2.3,2.3,2.3,70.0,0.0222
2020-11-13,2.36,2.36,2.36,2.36,200.0,0.026099999999999998
2020-11-16,2.4,2.4,2.4,2.4,0.0,0.0169
2020-11-17,2.35,2.35,2.35,2.35,90.0,-0.0208
2020-11-18,2.35,2.4,2.4,2.35,570.0,0.0
2020-11-19,2.35,2.35,2.35,2.35,390.0,0.0
2020-11-20,2.35,2.35,2.35,2.35,0.0,0.0
2020-11-23,2.35,2.35,2.35,2.35,140.0,0.0
2020-11-24,2.44,2.4,2.44,2.4,600.0,0.0383
2020-11-25,2.4539999999999997,2.4219999999999997,2.4539999999999997,2.4219999999999997,0.0,0.0
2020-11-26,2.468,2.444,2.468,2.444,0.0,0.0
2020-11-27,2.4819999999999998,2.4659999999999997,2.4819999999999998,2.4659999999999997,0.0,0.0
2020-11-30,2.496,2.488,2.496,2.488,0.0,0.0
2020-12-01,2.51,2.51,2.51,2.51,0.0,0.0287
2020-12-02,2.51,2.58,2.58,2.51,390.0,0.0
2020-12-03,2.51,2.51,2.51,2.51,1000.0,0.0
2020-12-04,2.54,2.54,2.54,2.54,400.0,0.012
2020-12-07,2.54,2.54,2.54,2.54,100.0,0.0
2020-12-08,2.43,2.43,2.43,2.43,50.0,-0.0433
2020-12-09,2.41,2.41,2.41,2.41,80.0,-0.008199999999999999
2020-12-10,2.31,2.31,2.31,2.31,140.0,-0.0415
2020-12-11,2.31,2.31,2.31,2.31,150.0,0.0
2020-12-14,2.37,2.37,2.37,2.37,60.0,0.026000000000000002
2020-12-15,2.3675,2.3675,2.3675,2.3675,0.0,0.0
2020-12-16,2.365,2.365,2.365,2.365,0.0,0.0
2020-12-17,2.3625,2.3625,2.3625,2.3625,0.0,0.0
2020-12-18,2.36,2.36,2.36,2.36,34680.0,-0.0042
2020-12-21,2.36,2.36,2.36,2.36,377860.0,0.0
2020-12-22,2.36,2.36,2.36,2.36,17390.0,0.0
2020-12-23,2.36,2.36,2.36,2.36,493590.0,0.0
2020-12-24,2.36,2.36,2.36,2.36,258750.0,0.0
2020-12-25,2.36,2.36,2.36,2.36,675270.0,0.0
2020-12-28,2.36,2.36,2.36,2.36,104630.0,0.0
2020-12-29,2.36,2.36,2.36,2.36,2980000.0,0.0
2020-12-30,2.36,2.36,2.36,2.36,180.0,0.0
2020-12-31,2.36,2.36,2.36,2.36,2440.0,0.0
2021-01-01,2.36,2.36,2.36,2.36,0.0,0.0
2021-01-04,2.36,2.36,2.36,2.36,70530.0,0.0
2021-01-05,2.36,2.36,2.36,2.36,71050.0,0.0
2021-01-06,2.36,2.36,2.36,2.36,18270.0,0.0
2021-01-07,2.36,2.36,2.36,2.36,13420.0,0.0
2021-01-08,2.36,2.36,2.36,2.36,32030.0,0.0
2021-01-11,2.328333333333333,2.328333333333333,2.328333333333333,2.328333333333333,0.0,0.0
2021-01-12,2.2966666666666664,2.2966666666666664,2.2966666666666664,2.2966666666666664,0.0,0.0
2021-01-13,2.2649999999999997,2.2649999999999997,2.2649999999999997,2.2649999999999997,0.0,0.0
2021-01-14,2.2333333333333334,2.2333333333333334,2.2333333333333334,2.2333333333333334,0.0,0.0
2021-01-15,2.2016666666666667,2.2016666666666667,2.2016666666666667,2.2016666666666667,0.0,0.0
2021-01-18,2.17,2.17,2.17,2.17,770010.0,-0.0805
2021-01-19,2.21,2.19,2.21,2.19,0.0,0.0
2021-01-20,2.25,2.21,2.25,2.21,0.0,0.0
2021-01-21,2.29,2.23,2.29,2.23,0.0,0.0553
2021-01-22,2.35,2.35,2.35,2.35,10.0,0.0262
2021-01-25,2.3,2.3,2.3,2.3,0.0,0.0
2021-01-26,2.25,2.25,2.25,2.25,10.0,-0.0426
2021-01-27,2.31,2.31,2.31,2.31,0.0,0.026699999999999998
2021-01-28,2.2953846153846156,2.2953846153846156,2.2953846153846156,2.2953846153846156,0.0,0.0
2021-01-29,2.2807692307692307,2.2807692307692307,2.2807692307692307,2.2807692307692307,0.0,0.0
2021-02-01,2.266153846153846,2.266153846153846,2.266153846153846,2.266153846153846,0.0,0.0
2021-02-02,2.2515384615384617,2.2515384615384617,2.2515384615384617,2.2515384615384617,0.0,0.0
2021-02-03,2.236923076923077,2.236923076923077,2.236923076923077,2.236923076923077,0.0,0.0
2021-02-04,2.2223076923076923,2.2223076923076923,2.2223076923076923,2.2223076923076923,0.0,0.0
2021-02-05,2.207692307692308,2.207692307692308,2.207692307692308,2.207692307692308,0.0,0.0
2021-02-08,2.1930769230769234,2.1930769230769234,2.1930769230769234,2.1930769230769234,0.0,0.0
2021-02-09,2.1784615384615384,2.1784615384615384,2.1784615384615384,2.1784615384615384,0.0,0.0
2021-02-10,2.163846153846154,2.163846153846154,2.163846153846154,2.163846153846154,0.0,0.0
2021-02-11,2.1492307692307695,2.1492307692307695,2.1492307692307695,2.1492307692307695,0.0,0.0
2021-02-12,2.1346153846153846,2.1346153846153846,2.1346153846153846,2.1346153846153846,0.0,0.0
2021-02-15,2.12,2.12,2.12,2.12,10.0,-0.0823
2021-02-16,2.14,2.14,2.14,2.14,0.0,0.0
2021-02-17,2.16,2.16,2.16,2.16,0.0,0.0
2021-02-18,2.18,2.18,2.18,2.18,0.0,0.028300000000000002
2021-02-19,2.18,2.18,2.18,2.18,0.0,0.0
2021-02-22,2.18,2.18,2.18,2.18,0.0,0.0
2021-02-23,2.18,2.18,2.18,2.18,0.0,0.0
2021-02-24,2.18,2.18,2.18,2.18,0.0,0.0
2021-02-25,2.18,2.18,2.18,2.18,0.0,0.0
2021-02-26,2.18,2.18,2.18,2.18,320.0,0.0
2021-03-01,2.24,2.21,2.24,2.21,0.0,0.0
2021-03-02,2.3,2.24,2.3,2.24,10.0,0.055
2021-03-03,2.3,2.35,2.35,2.3,3020.0,0.0
2021-03-04,2.2,2.24,2.24,2.2,430.0,-0.0435
2021-03-05,2.29,2.29,2.29,2.29,10.0,0.0409
2021-03-08,2.29,2.29,2.29,2.29,230.0,0.0
2021-03-09,2.27,2.27,2.27,2.27,0.0,0.0
2021-03-10,2.25,2.25,2.25,2.25,10.0,-0.0175
2021-03-11,2.31,2.31,2.31,2.31,220.0,0.026699999999999998
2021-03-12,2.25,2.25,2.25,2.25,0.0,-0.026000000000000002
2021-03-15,2.25,2.25,2.25,2.25,10.0,0.0
2021-03-16,2.25,2.25,2.25,2.25,70.0,0.0
2021-03-17,2.35,2.25,2.35,2.25,1300.0,0.0444
2021-03-18,2.36,2.36,2.36,2.36,1020.0,0.0043
2021-03-19,2.44,2.41,2.48,2.41,3060.0,0.0339
2021-03-22,2.51,2.44,2.51,2.44,20.0,0.0287
2021-03-23,2.62,2.62,2.62,2.62,1250.0,0.0438
2021-03-24,2.7,2.64,2.7,2.64,1210.0,0.0305
2021-03-25,2.8,2.78,2.81,2.78,1880.0,0.037000000000000005
2021-03-26,2.7,2.7,2.7,2.7,3550.0,-0.035699999999999996
2021-03-29,2.7,2.7,2.7,2.7,10350.0,0.0
2021-03-30,2.665,2.67,2.67,2.665,0.0,0.0
2021-03-31,2.63,2.64,2.64,2.63,30.0,-0.0259
2021-04-01,2.665,2.67,2.67,2.665,0.0,0.0
2021-04-02,2.7,2.7,2.7,2.7,0.0,0.026600000000000002
2021-04-05,2.6,2.6,2.6,2.6,10.0,-0.037000000000000005
2021-04-06,2.5300000000000002,2.5300000000000002,2.5300000000000002,2.5300000000000002,0.0,0.0
2021-04-07,2.46,2.46,2.46,2.46,0.0,0.0
2021-04-08,2.39,2.39,2.39,2.39,200.0,-0.0808
2021-04-09,2.355,2.355,2.355,2.355,0.0,0.0
2021-04-12,2.32,2.32,2.32,2.32,0.0,-0.029300000000000003
2021-04-13,2.27,2.27,2.27,2.27,2440.0,-0.0216
2021-04-14,2.27,2.27,2.27,2.27,350.0,0.0
2021-04-15,2.39,2.33,2.39,2.33,2300.0,0.0529
2021-04-16,2.32,2.32,2.32,2.32,10.0,-0.029300000000000003
2021-04-19,2.28,2.28,2.28,2.28,700.0,-0.0172
2021-04-20,2.32,2.32,2.32,2.32,1190.0,0.0175
2021-04-21,2.304,2.304,2.304,2.304,0.0,0.0
2021-04-22,2.288,2.288,2.288,2.288,0.0,0.0
2021-04-23,2.2720000000000002,2.2720000000000002,2.2720000000000002,2.2720000000000002,0.0,0.0
2021-04-26,2.2560000000000002,2.2560000000000002,2.2560000000000002,2.2560000000000002,0.0,0.0
2021-04-27,2.24,2.24,2.24,2.24,600.0,-0.0345
2021-04-28,2.2325,2.2325,2.2325,2.2325,0.0,0.0
2021-04-29,2.225,2.225,2.225,2.225,0.0,0.0
2021-04-30,2.2175000000000002,2.2175000000000002,2.2175000000000002,2.2175000000000002,0.0,0.0
2021-05-03,2.21,2.21,2.21,2.21,0.0,-0.0134
2021-05-04,2.23,2.23,2.23,2.23,1970.0,0.009000000000000001
2021-05-05,2.23,2.23,2.23,2.23,130.0,0.0
2021-05-06,2.23,2.23,2.23,2.23,70.0,0.0
2021-05-07,2.23,2.23,2.23,2.23,10.0,0.0
2021-05-10,2.23,2.23,2.2385714285714284,2.23,0.0,0.0
2021-05-11,2.23,2.23,2.2471428571428573,2.23,0.0,0.0
2021-05-12,2.23,2.23,2.255714285714286,2.23,0.0,0.0
2021-05-13,2.23,2.23,2.2642857142857142,2.23,0.0,0.0
2021-05-14,2.23,2.23,2.2728571428571427,2.23,0.0,0.0
2021-05-17,2.23,2.23,2.2814285714285716,2.23,0.0,0.0
2021-05-18,2.23,2.23,2.29,2.23,460.0,0.0
2021-05-19,2.23,2.23,2.27,2.23,0.0,0.0
2021-05-20,2.23,2.23,2.25,2.23,0.0,0.0
2021-05-21,2.23,2.23,2.23,2.23,480.0,0.0
2021-05-24,2.23,2.29,2.29,2.23,200.0,0.0
2021-05-25,2.23,2.275,2.275,2.23,0.0,0.0
2021-05-26,2.23,2.26,2.26,2.23,0.0,0.0
2021-05-27,2.23,2.245,2.245,2.23,0.0,0.0
2021-05-28,2.23,2.23,2.23,2.23,30.0,0.0
2021-05-31,2.29,2.29,2.29,2.29,170.0,0.0269
2021-06-01,2.34,2.3,2.34,2.3,2900.0,0.0218
2021-06-02,2.39,2.39,2.39,2.39,0.0,0.021400000000000002
2021-06-03,2.4,2.3,2.4,2.3,550.0,0.0042
2021-06-04,2.3499999999999996,2.3,2.3499999999999996,2.3,0.0,0.0
2021-06-07,2.3,2.3,2.3,2.3,1470.0,-0.0417
2021-06-08,2.3,2.3,2.3,2.3,1640.0,0.0
2021-06-09,2.36,2.36,2.36,2.36,560.0,0.026099999999999998
2021-06-10,2.346,2.346,2.346,2.346,0.0,0.0
2021-06-11,2.332,2.332,2.332,2.332,0.0,0.0
2021-06-14,2.318,2.318,2.318,2.318,0.0,0.0
2021-06-15,2.304,2.304,2.304,2.304,0.0,0.0
2021-06-16,2.29,2.29,2.29,2.29,370.0,-0.0297
2021-06-17,2.2871428571428574,2.2871428571428574,2.2871428571428574,2.2871428571428574,0.0,0.0
2021-06-18,2.2842857142857143,2.2842857142857143,2.2842857142857143,2.2842857142857143,0.0,0.0
