Date,Price,Open,High,Low,Vol.,Change %
2020-08-03,0.98,0.96,0.99,0.96,8130.000000000001,0.0208
2020-08-04,0.99,0.98,0.99,0.96,8940.0,0.0102
2020-08-05,0.99,0.99,1.0,0.98,14660.0,0.0
2020-08-06,0.99,1.0,1.0,0.97,5940.0,0.0
2020-08-07,0.99,0.99,0.99,0.97,7540.0,0.0
2020-08-10,0.99,0.99,0.99,0.98,12810.0,0.0
2020-08-11,0.99,0.99,0.99,0.97,15880.0,0.0
2020-08-12,0.98,0.99,0.99,0.97,18870.0,-0.0101
2020-08-13,0.975,0.975,0.98,0.955,0.0,0.0
2020-08-14,0.97,0.96,0.97,0.94,59670.0,-0.0102
2020-08-17,0.94,0.96,0.96,0.94,30570.0,-0.030899999999999997
2020-08-18,0.92,0.93,0.93,0.92,49430.0,-0.0213
2020-08-19,0.93,0.94,0.94,0.92,10580.0,0.0109
2020-08-20,0.94,0.935,0.945,0.925,0.0,0.0
2020-08-21,0.95,0.93,0.95,0.93,20350.0,0.0215
2020-08-24,0.96,0.96,0.96,0.94,13640.0,0.0105
2020-08-25,0.94,0.94,0.94,0.94,11370.0,-0.0208
2020-08-26,0.94,0.94,0.95,0.92,71630.0,0.0
2020-08-27,0.95,0.92,0.95,0.92,33590.0,0.0106
2020-08-28,0.94,0.95,0.95,0.93,12600.0,-0.0105
2020-08-31,0.93,0.92,0.94,0.92,22160.0,-0.0106
2020-09-01,0.93,0.93,0.93,0.91,48480.0,0.0
2020-09-02,0.92,0.93,0.94,0.92,12830.0,-0.0108
2020-09-03,0.93,0.94,0.94,0.92,9950.0,0.0109
2020-09-04,0.97,0.94,0.97,0.92,87080.0,0.043
2020-09-07,1.02,0.98,1.02,0.98,140750.0,0.051500000000000004
2020-09-08,1.08,1.05,1.08,0.99,536740.0,0.0588
2020-09-09,1.12,1.11,1.12,1.06,440270.0,0.037000000000000005
2020-09-10,1.15,1.12,1.15,1.11,274960.0,0.0268
2020-09-11,1.13,1.15,1.16,1.12,141190.0,-0.0174
2020-09-14,1.08,1.14,1.14,1.08,104050.0,-0.044199999999999996
2020-09-15,1.12,1.04,1.12,1.03,217840.0,0.037000000000000005
2020-09-16,1.11,1.12,1.13,1.09,538090.0,-0.0089
2020-09-17,1.05,1.11,1.12,1.05,82010.0,-0.0541
2020-09-18,0.99,1.02,1.05,0.99,175830.0,-0.0571
2020-09-21,1.01,0.99,1.01,0.97,38970.0,0.0202
2020-09-22,1.04,1.03,1.04,1.0,36820.0,0.0297
2020-09-23,1.06,1.03,1.06,1.03,175720.0,0.0192
2020-09-24,1.05,1.07,1.07,1.04,30220.0,-0.009399999999999999
2020-09-25,1.05,1.06,1.07,1.03,38040.0,0.0
2020-09-28,1.04,1.05,1.05,1.02,11670.0,-0.0095
2020-09-29,1.03,1.03,1.04,1.01,16700.0,-0.0096
2020-09-30,1.0,1.03,1.04,1.0,13150.0,-0.0291
2020-10-01,0.97,0.98,0.98,0.97,11810.0,-0.03
2020-10-02,0.94,0.96,0.96,0.92,50220.0,-0.030899999999999997
2020-10-05,0.94,0.94,0.96,0.92,12660.0,0.0
2020-10-06,0.94,0.94,0.96,0.93,37810.0,0.0
2020-10-07,0.93,0.94,0.94,0.92,25010.0,-0.0106
2020-10-08,0.92,0.94,0.94,0.92,17070.0,-0.0108
2020-10-09,0.93,0.92,0.93,0.91,25020.0,0.0109
2020-10-12,0.93,0.93,0.93,0.91,16710.0,0.0
2020-10-13,0.92,0.92,0.92,0.91,10850.0,-0.0108
2020-10-14,0.92,0.93,0.93,0.91,6740.0,0.0
2020-10-15,0.92,0.925,0.925,0.91,0.0,0.0
2020-10-16,0.92,0.92,0.92,0.91,4480.0,0.0
2020-10-19,0.92,0.91,0.92,0.9,4880.0,0.0
2020-10-20,0.92,0.91,0.92,0.9,24730.0,0.0
2020-10-21,0.92,0.9,0.92,0.9,3040.0,0.0
2020-10-22,0.92,0.92,0.93,0.91,13820.0,0.0
2020-10-23,0.91,0.91,0.92,0.9,14100.0,-0.0109
