Date,Price,Open,High,Low,Vol.,Change %
2020-08-10,2.9,2.98,2.98,2.9,60.0,-0.0215
2020-08-11,2.9,2.98,2.98,2.9,20.0,0.0
2020-08-12,2.98,2.9,2.98,2.88,1990.0,0.0282
2020-08-13,2.98,2.94,2.98,2.9299999999999997,0.0,0.0
2020-08-14,2.98,2.98,2.98,2.98,0.0,0.0
2020-08-17,2.95,2.98,2.98,2.9,4200.0,-0.0091
2020-08-18,2.87,2.95,2.95,2.87,1520.0,-0.0277
2020-08-19,2.87,2.85,2.94,2.85,240.0,0.0
2020-08-20,2.89,2.855,2.94,2.85,0.0,0.0
2020-08-21,2.91,2.86,2.94,2.85,1860.0,0.0127
2020-08-24,2.95,2.95,2.95,2.87,1000.0,0.015600000000000001
2020-08-25,2.91,2.95,2.95,2.87,16170.000000000002,-0.0154
2020-08-26,2.89,2.95,2.95,2.88,880.0,-0.0063
2020-08-27,2.89,2.86,2.89,2.85,680.0,0.0
2020-08-28,2.86,2.87,2.87,2.86,5860.0,-0.009399999999999999
2020-08-31,2.89,2.85,2.91,2.82,14190.0,0.0095
2020-09-01,2.87,2.86,2.87,2.81,4480.0,-0.0063
2020-09-02,2.88,2.82,2.88,2.79,12750.0,0.0032
2020-09-03,2.81,2.81,2.86,2.8,19140.0,-0.0252
2020-09-04,2.81,2.8,2.88,2.8,5250.0,0.0
2020-09-07,2.83,2.88,2.88,2.8,2170.0,0.006500000000000001
2020-09-08,2.82,2.88,2.88,2.81,22620.0,-0.0032
2020-09-09,2.85,2.82,2.86,2.81,4620.0,0.0129
2020-09-10,2.86,2.87,2.87,2.86,20.0,0.0032
2020-09-11,2.88,2.8,2.88,2.8,3830.0,0.0063
2020-09-14,2.81,2.82,2.95,2.81,6580.0,-0.0252
2020-09-15,2.88,2.79,2.88,2.73,230.0,0.0259
2020-09-16,2.93,2.94,2.94,2.85,790.0,0.0158
2020-09-17,2.91,2.895,2.915,2.85,0.0,0.0
2020-09-18,2.89,2.85,2.89,2.85,260.0,-0.0124
2020-09-21,2.9,2.81,2.9,2.81,2190.0,0.0031
2020-09-22,2.86,2.9,2.9,2.82,60.0,-0.0125
2020-09-23,2.85,2.85,2.85,2.85,160.0,-0.0032
2020-09-24,2.88,2.9,2.9,2.82,560.0,0.0096
2020-09-25,2.85,2.88,2.88,2.82,1800.0,-0.0095
2020-09-28,2.85,2.85,2.85,2.77,1070.0,-0.0032
2020-09-29,2.85,2.82,2.85,2.82,25020.0,0.0
2020-09-30,2.85,2.79,2.85,2.79,1670.0,0.0
2020-10-01,2.8,2.8,2.8,2.76,12610.0,-0.016
2020-10-02,2.75,2.84,2.84,2.75,3110.0,-0.016200000000000003
2020-10-05,2.83,2.84,2.84,2.75,1170.0,0.0264
2020-10-06,2.85,2.85,2.85,2.85,830.0,0.0096
2020-10-07,2.86,2.88,2.88,2.78,990.0,0.0032
2020-10-08,2.86,2.88,2.88,2.79,280.0,0.0
2020-10-09,2.9,2.9,2.9,2.82,20.0,0.0127
2020-10-12,2.89,2.82,2.89,2.82,50.0,-0.0031
2020-10-13,2.89,2.81,2.89,2.81,0.0,0.0
2020-10-14,2.88,2.89,2.89,2.82,100.0,-0.0031
2020-10-15,2.865,2.885,2.885,2.83,0.0,0.0
2020-10-16,2.85,2.88,2.88,2.84,1140.0,-0.0095
2020-10-19,2.88,2.86,2.88,2.86,3360.0,0.0096
2020-10-20,2.82,2.89,2.96,2.82,8580.0,-0.022099999999999998
2020-10-21,2.85,2.88,2.88,2.82,290.0,0.0129
2020-10-22,2.85,2.91,2.91,2.83,1110.0,0.0
2020-10-23,2.85,2.86,2.86,2.82,1130.0,0.0
2020-10-26,2.78,2.85,2.85,2.78,140.0,-0.0255
2020-10-27,2.83,2.85,2.85,2.81,18400.0,0.0163
2020-10-28,2.82,2.81,2.82,2.78,1250.0,-0.0032
2020-10-29,2.8449999999999998,2.79,2.8449999999999998,2.775,0.0,0.0
2020-10-30,2.87,2.77,2.87,2.77,70.0,0.0194
2020-11-02,2.81,2.81,2.81,2.79,220.0,-0.0222
2020-11-03,2.93,2.84,2.93,2.84,4830.0,0.0421
2020-11-04,3.0,2.87,3.0,2.87,10520.0,0.0248
2020-11-05,3.13,3.13,3.13,3.13,62160.0,0.0424
2020-11-06,3.16,3.14,3.22,3.09,28610.0,0.0116
2020-11-09,3.31,3.17,3.31,3.17,191560.0,0.046
2020-11-10,3.29,3.45,3.45,3.26,35530.0,-0.0055000000000000005
2020-11-11,3.32,3.35,3.35,3.18,12960.0,0.0083
2020-11-12,3.3,3.4,3.41,3.3,37330.0,-0.0055000000000000005
2020-11-13,3.34,3.32,3.35,3.24,21460.0,0.011000000000000001
2020-11-16,3.27,3.33,3.33,3.26,23240.0,-0.0191
2020-11-17,3.34,3.34,3.36,3.27,19510.0,0.0194
2020-11-18,3.42,3.44,3.44,3.36,22200.0,0.0245
2020-11-19,3.51,3.36,3.51,3.36,174020.0,0.026600000000000002
2020-11-20,3.55,3.64,3.64,3.53,49100.0,0.0104
2020-11-23,3.55,3.55,3.56,3.54,29630.0,0.0026
2020-11-24,3.64,3.55,3.65,3.55,86000.0,0.023
2020-11-25,3.65,3.68,3.68,3.64,25990.0,0.005
2020-11-26,3.56,3.64,3.64,3.53,26290.0,-0.024900000000000002
2020-11-27,3.58,3.56,3.58,3.56,39610.0,0.0051
2020-11-30,3.63,3.65,3.65,3.55,6720.0,0.0127
2020-12-01,3.62,3.58,3.66,3.55,2960.0,-0.0025
2020-12-02,3.56,3.62,3.62,3.55,8720.0,-0.0151
2020-12-03,3.66,3.56,3.66,3.55,69650.0,0.0281
2020-12-04,3.74,3.68,3.78,3.68,115770.0,0.0199
2020-12-07,3.82,3.82,3.93,3.75,71430.0,0.0219
2020-12-08,3.69,3.81,3.81,3.65,51270.0,-0.0333
2020-12-09,3.57,3.68,3.68,3.57,53000.0,-0.032
2020-12-10,3.59,3.57,3.59,3.47,100330.0,0.0051
2020-12-11,3.6,3.59,3.64,3.57,15340.0,0.0025
2020-12-14,3.71,3.63,3.73,3.56,40050.0,0.030299999999999997
2020-12-15,3.75,3.74,3.8,3.74,56270.0,0.0123
2020-12-16,3.73,3.75,3.75,3.65,26330.0,-0.0073
2020-12-17,3.64,3.71,3.71,3.64,30670.0,-0.024399999999999998
2020-12-18,3.63,3.64,3.7,3.55,10610.0,-0.0025
2020-12-21,3.59,3.69,3.69,3.59,11150.0,-0.01
2020-12-22,3.61,3.58,3.62,3.55,23190.0,0.0051
2020-12-23,3.64,3.64,3.64,3.55,4019.9999999999995,0.0076
2020-12-24,3.68,3.64,3.69,3.64,29560.0,0.0125
2020-12-25,3.64,3.69,3.72,3.64,11240.0,-0.0123
2020-12-28,3.67,3.7,3.7,3.6,4890.0,0.01
2020-12-29,3.6,3.67,3.67,3.6,6130.0,-0.019799999999999998
2020-12-30,3.64,3.64,3.66,3.54,14950.0,0.0101
2020-12-31,3.72,3.67,3.73,3.61,14600.0,0.0225
2021-01-01,3.7,3.6399999999999997,3.705,3.61,0.0,0.0
2021-01-04,3.68,3.61,3.68,3.61,12100.0,-0.0098
2021-01-05,3.65,3.68,3.68,3.62,24420.0,-0.0074
2021-01-06,3.65,3.68,3.68,3.57,10120.0,-0.0025
2021-01-07,3.63,3.65,3.65,3.58,8109.999999999999,-0.005
2021-01-08,3.65,3.63,3.72,3.58,16930.0,0.005
2021-01-11,3.67,3.64,3.68,3.58,7790.0,0.0075
2021-01-12,3.64,3.67,3.67,3.6,3110.0,-0.009899999999999999
2021-01-13,3.62,3.6,3.64,3.59,8850.0,-0.005
2021-01-14,3.62,3.5949999999999998,3.64,3.59,0.0,0.0
2021-01-15,3.62,3.59,3.64,3.59,5430.0,0.0
2021-01-18,3.65,3.55,3.65,3.55,28840.0,0.0075
2021-01-19,3.75,3.65,3.75,3.65,22300.0,0.029900000000000003
2021-01-20,3.75,3.79,3.79,3.75,55730.0,0.0
2021-01-21,3.7,3.77,3.85,3.68,64750.0,-0.014499999999999999
2021-01-22,3.68,3.77,3.77,3.66,29040.0,-0.0049
2021-01-25,3.65,3.68,3.68,3.57,2029.9999999999998,-0.0074
2021-01-26,3.6,3.64,3.68,3.6,9970.0,-0.0149
2021-01-27,3.63,3.68,3.68,3.61,5620.0,0.0076
2021-01-28,3.62,3.61,3.68,3.6,9610.0,-0.0025
2021-01-29,3.59,3.67,3.67,3.58,8680.0,-0.0075
2021-02-01,3.64,3.6,3.67,3.59,4900.0,0.0127
