Date,Price,Open,High,Low,Vol.,Change %
2020-08-10,4.6,4.74,4.74,4.6,660.0,-0.0192
2020-08-11,4.58,4.5,4.63,4.4,1640.0,-0.0043
2020-08-12,4.59,4.59,4.7,4.5,21380.0,0.0022
2020-08-13,4.585,4.529999999999999,4.645,4.484999999999999,0.0,0.0
2020-08-14,4.58,4.47,4.59,4.47,4260.0,-0.0022
2020-08-17,4.45,4.57,4.58,4.45,1770.0,-0.028399999999999998
2020-08-18,4.4,4.4,4.4,4.4,1190.0,-0.011200000000000002
2020-08-19,4.45,4.5,4.5,4.37,380.0,0.011399999999999999
2020-08-20,4.45,4.475,4.475,4.345000000000001,0.0,0.0
2020-08-21,4.45,4.45,4.45,4.32,1320.0,0.0
2020-08-24,4.44,4.4,4.44,4.4,420.0,-0.0022
2020-08-25,4.42,4.41,4.42,4.31,970.0,-0.0045000000000000005
2020-08-26,4.3,4.42,4.42,4.3,2080.0,-0.0271
2020-08-27,4.38,4.39,4.39,4.27,2430.0,0.018600000000000002
2020-08-28,4.4,4.26,4.42,4.25,16620.0,0.0046
2020-08-31,4.3,4.38,4.4,4.3,6700.0,-0.0227
2020-09-01,4.21,4.33,4.33,4.21,7720.0,-0.0209
2020-09-02,4.24,4.3,4.4,4.21,1740.0,0.0070999999999999995
2020-09-03,4.18,4.3,4.36,4.18,11320.0,-0.014199999999999999
2020-09-04,4.43,4.3,4.43,4.29,23010.0,0.059800000000000006
2020-09-07,4.609999999999999,4.48,4.609999999999999,4.475,0.0,0.0
2020-09-08,4.79,4.66,4.79,4.66,26450.0,0.08130000000000001
2020-09-09,4.9,4.88,5.109999999999999,4.82,0.0,0.0
2020-09-10,5.01,5.1,5.43,4.98,97170.0,0.045899999999999996
2020-09-11,5.08,5.08,5.23,5.08,33010.0,0.013999999999999999
2020-09-14,5.0,5.23,5.23,5.0,2470.0,-0.015700000000000002
2020-09-15,4.85,4.85,4.86,4.85,3470.0,-0.03
2020-09-16,4.79,4.85,4.85,4.75,1060.0,-0.0124
2020-09-17,4.93,4.73,4.93,4.73,7130.0,0.0292
2020-09-18,4.93,5.02,5.02,4.87,3400.0,0.0
2020-09-21,4.89,5.0,5.0,4.89,30.0,-0.008100000000000001
2020-09-22,4.75,4.75,4.75,4.75,610.0,-0.0286
2020-09-23,4.8,4.74,4.8,4.61,4540.0,0.0105
2020-09-24,4.78,4.79,4.79,4.66,6380.0,-0.0042
2020-09-25,4.92,4.79,4.93,4.79,13820.0,0.029300000000000003
2020-09-28,4.93,4.93,4.93,4.93,0.0,0.002
2020-09-29,4.9,4.79,4.9,4.79,890.0,-0.0060999999999999995
2020-09-30,4.89,4.8,4.89,4.76,530.0,-0.002
2020-10-01,4.75,4.75,4.88,4.75,1160.0,-0.0286
2020-10-02,4.7,4.61,4.7,4.48,4019.9999999999995,-0.0105
2020-10-05,4.82,4.72,4.84,4.6,7730.0,0.0255
2020-10-06,4.77,4.69,4.78,4.69,360.0,-0.0104
2020-10-07,4.75,4.7,4.75,4.65,5230.0,-0.0042
2020-10-08,4.7,4.84,4.84,4.7,0.0,-0.0105
2020-10-09,4.69,4.58,4.71,4.58,800.0,-0.0021
2020-10-12,4.7,4.8,4.8,4.66,820.0,0.0021
2020-10-13,4.9,4.76,4.9,4.76,3360.0,0.0426
2020-10-14,5.05,4.91,5.05,4.89,5030.0,0.030600000000000002
2020-10-15,5.05,5.015000000000001,5.16,4.97,0.0,0.0
2020-10-16,5.05,5.12,5.27,5.05,11350.0,0.0
2020-10-19,5.09,5.0,5.15,5.0,2370.0,0.0079
2020-10-20,5.12,5.1,5.21,5.1,4950.0,0.0059
2020-10-21,5.2,5.01,5.25,5.0,3430.0,0.015600000000000001
2020-10-22,5.15,5.25,5.25,5.1,970.0,-0.0096
2020-10-23,5.14,5.15,5.15,5.01,3600.0,-0.0019
2020-10-26,5.19,5.23,5.23,5.08,1200.0,0.0097
2020-10-27,5.15,5.05,5.17,5.05,600.0,-0.0077
2020-10-28,5.0,5.06,5.14,5.0,5330.0,-0.0291
2020-10-29,5.075,5.029999999999999,5.145,5.0,0.0,0.0
2020-10-30,5.15,5.0,5.15,5.0,19430.0,0.03
2020-11-02,5.2,5.2,5.28,5.2,4360.0,0.0097
2020-11-03,5.2,5.07,5.22,5.07,5780.0,0.0
2020-11-04,5.25,5.25,5.25,5.2,530.0,0.0096
2020-11-05,5.25,5.25,5.25,5.25,10.0,0.0
2020-11-06,5.18,5.1,5.2,5.1,190.0,-0.013300000000000001
2020-11-09,5.14,5.07,5.1899999999999995,5.0649999999999995,0.0,0.0
2020-11-10,5.1,5.04,5.18,5.03,8610.0,-0.0154
2020-11-11,5.14,5.1,5.14,5.02,2250.0,0.0078000000000000005
2020-11-12,5.25,5.12,5.29,5.1,6690.0,0.021400000000000002
2020-11-13,5.44,5.29,5.44,5.29,22390.0,0.0362
2020-11-16,5.58,5.5,5.66,5.5,20250.0,0.025699999999999997
2020-11-17,5.42,5.56,5.6,5.42,25120.0,-0.0287
2020-11-18,5.39,5.55,5.55,5.39,1220.0,-0.0055000000000000005
2020-11-19,5.3,5.49,5.49,5.25,6260.0,-0.0167
2020-11-20,5.22,5.38,5.38,5.22,11190.0,-0.0151
2020-11-23,5.28,5.22,5.36,5.09,4030.0000000000005,0.0115
2020-11-24,5.35,5.29,5.35,5.2,7590.0,0.013300000000000001
2020-11-25,5.5,5.35,5.51,5.3,22070.0,0.027999999999999997
2020-11-26,5.5,5.67,5.84,5.5,4280.0,0.0
2020-11-27,5.74,5.59,5.74,5.43,30250.0,0.0436
2020-11-30,5.92,5.92,6.0,5.84,47920.0,0.031400000000000004
2020-12-01,5.84,6.02,6.07,5.84,54020.0,-0.013500000000000002
2020-12-02,5.49,5.59,5.67,5.49,22840.0,-0.0599
2020-12-03,5.32,5.33,5.33,5.18,18990.0,-0.031
2020-12-04,5.29,5.45,5.45,5.29,3160.0,-0.005600000000000001
2020-12-07,5.14,5.15,5.2,5.14,6750.0,-0.028399999999999998
2020-12-08,4.92,5.0,5.0,4.85,9660.0,-0.042800000000000005
2020-12-09,4.91,5.06,5.06,4.91,1100.0,-0.002
2020-12-10,4.88,4.86,4.99,4.77,11520.0,-0.0060999999999999995
2020-12-11,5.02,4.98,5.12,4.88,11170.0,0.0287
2020-12-14,4.99,5.14,5.14,4.99,3240.0,-0.006
2020-12-15,4.86,5.0,5.0,4.85,5860.0,-0.026099999999999998
2020-12-16,4.92,4.94,4.95,4.8,2430.0,0.0123
2020-12-17,4.9,4.94,4.94,4.8,2940.0,-0.0040999999999999995
2020-12-18,4.9,4.9,4.9,4.85,1960.0,0.0
2020-12-21,4.99,4.78,4.99,4.75,13970.0,0.0184
2020-12-22,5.09,5.0,5.22,5.0,12450.0,0.02
2020-12-23,4.97,5.08,5.09,4.94,7020.0,-0.0236
2020-12-24,4.99,5.0,5.01,4.9,4890.0,0.004
2020-12-25,4.9,5.05,5.05,4.9,5080.0,-0.018000000000000002
2020-12-28,4.95,5.0,5.0,4.89,2090.0,0.0102
2020-12-29,4.9,4.9,4.9,4.85,2340.0,-0.0101
2020-12-30,4.88,4.95,4.95,4.81,2110.0,-0.0040999999999999995
2020-12-31,4.88,4.8,4.89,4.75,3200.0,0.0
2021-01-01,4.859999999999999,4.87,4.915,4.775,0.0,0.0
2021-01-04,4.84,4.94,4.94,4.8,2430.0,-0.008199999999999999
2021-01-05,4.79,4.83,4.83,4.7,1080.0,-0.0103
2021-01-06,4.62,4.76,4.76,4.62,4660.0,-0.0355
2021-01-07,4.62,4.62,4.62,4.6,5570.0,0.0
2021-01-08,4.7,4.62,4.7,4.5,4600.0,0.0173
2021-01-11,4.79,4.68,4.79,4.64,13870.0,0.0191
2021-01-12,4.78,4.75,4.8,4.7,2060.0,-0.0021
2021-01-13,4.7,4.7,4.7,4.64,2200.0,-0.0167
2021-01-14,4.65,4.720000000000001,4.720000000000001,4.619999999999999,0.0,0.0
2021-01-15,4.6,4.74,4.74,4.6,2170.0,-0.0213
2021-01-18,4.6,4.7,4.7,4.56,1110.0,0.0
2021-01-19,4.65,4.72,4.72,4.6,1960.0,0.0109
2021-01-20,4.69,4.64,4.7,4.64,1440.0,0.0086
2021-01-21,4.65,4.6,4.69,4.51,1690.0,-0.0085
2021-01-22,4.6,4.67,4.67,4.53,3400.0,-0.0108
2021-01-25,4.55,4.68,4.68,4.55,810.0,-0.0109
2021-01-26,4.5,4.5,4.52,4.44,4590.0,-0.011000000000000001
2021-01-27,4.54,4.59,4.59,4.46,1240.0,0.0089
2021-01-28,4.41,4.41,4.49,4.41,1890.0,-0.0286
2021-01-29,4.4,4.4,4.52,4.4,2870.0,-0.0023
2021-02-01,4.4,4.53,4.56,4.4,2400.0,0.0
2021-02-02,4.4,4.39,4.49,4.31,1590.0,0.0
2021-02-03,4.38,4.51,4.51,4.38,30.0,-0.0045000000000000005
2021-02-04,4.35,4.35,4.35,4.25,1010.0,-0.0068000000000000005
2021-02-05,4.32,4.22,4.34,4.22,1110.0,-0.0069
2021-02-08,4.31,4.44,4.44,4.31,200.0,-0.0023
2021-02-09,4.22,4.3,4.3,4.19,5410.0,-0.0209
2021-02-10,4.4,4.3,4.42,4.22,30530.0,0.042699999999999995
2021-02-11,4.5,4.41,4.5,4.4,2900.0,0.0227
2021-02-12,4.45,4.5,4.5,4.44,4040.0,-0.0111
2021-02-15,4.32,4.4,4.4,4.32,2680.0,-0.0292
2021-02-16,4.24,4.22,4.34,4.22,490.0,-0.018500000000000003
2021-02-17,4.4,4.36,4.47,4.35,200.0,0.0377
2021-02-18,4.44,4.35,4.44,4.35,3760.0,0.0091
2021-02-19,4.3,4.4,4.45,4.25,13130.0,-0.0315
2021-02-22,4.24,4.25,4.3,4.13,5110.0,-0.013999999999999999
2021-02-23,4.14,4.14,4.14,4.12,7630.0,-0.0236
2021-02-24,4.14,4.26,4.26,4.14,3730.0,0.0
2021-02-25,3.98,4.1,4.1,3.98,19610.0,-0.038599999999999995
2021-02-26,3.95,3.99,3.99,3.89,840.0,-0.0075
2021-03-01,3.87,3.92,3.92,3.87,2480.0,-0.0203
2021-03-02,3.96,3.85,3.96,3.85,11980.0,0.0233
2021-03-03,3.98,4.05,4.05,3.93,1820.0,0.0051
2021-03-04,3.92,4.04,4.04,3.92,3610.0,-0.0151
2021-03-05,3.9,3.91,3.91,3.82,12520.0,-0.0051
2021-03-08,3.9,4.0,4.0,3.76,4480.0,0.0
2021-03-09,3.89,3.79,3.89,3.79,850.0,-0.0026
2021-03-10,4.12,3.89,4.12,3.89,7100.0,0.0591
2021-03-11,4.3,4.2,4.32,4.12,49610.0,0.0437
2021-03-12,4.28,4.3,4.3,4.18,1000.0,-0.004699999999999999
2021-03-15,4.27,4.3,4.3,4.2,960.0,-0.0023
2021-03-16,4.26,4.17,4.26,4.17,1090.0,-0.0023
2021-03-17,4.2,4.25,4.25,4.13,3230.0,-0.0141
2021-03-18,4.13,4.15,4.15,4.08,1080.0,-0.0167
2021-03-19,4.12,4.07,4.13,4.01,2400.0,-0.0024
2021-03-22,4.0,3.95,4.0,3.89,4320.0,-0.0291
2021-03-23,3.92,4.0,4.0,3.88,3030.0,-0.02
2021-03-24,3.75,3.86,3.86,3.75,8430.0,-0.0434
2021-03-25,3.78,3.79,3.79,3.64,7280.0,0.008
