Date,Price,Open,High,Low,Vol.,Change %
2020-08-10,9.61,9.4,9.61,9.38,92050.0,0.0223
2020-08-11,9.9,9.62,9.9,9.56,72660.0,0.0302
2020-08-12,9.99,9.99,10.11,9.98,104270.0,0.0091
2020-08-13,10.030000000000001,10.01,10.11,9.985,0.0,0.0
2020-08-14,10.07,10.03,10.11,9.99,63760.0,0.008
2020-08-17,9.77,10.07,10.07,9.77,55900.0,-0.0298
2020-08-18,9.53,9.71,9.71,9.48,44460.0,-0.0246
2020-08-19,9.64,9.53,9.76,9.53,26250.0,0.0115
2020-08-20,9.675,9.585,9.76,9.545,0.0,0.0
2020-08-21,9.71,9.64,9.76,9.56,19180.0,0.0073
2020-08-24,9.95,9.71,10.0,9.67,21830.0,0.024700000000000003
2020-08-25,9.83,9.92,9.95,9.82,22480.0,-0.0121
2020-08-26,9.79,9.83,9.94,9.79,31790.0,-0.0040999999999999995
2020-08-27,9.79,9.79,9.83,9.71,41800.0,0.0
2020-08-28,9.79,9.86,9.86,9.71,24640.0,0.0
2020-08-31,9.8,9.79,9.92,9.72,49610.0,0.001
2020-09-01,10.06,9.82,10.11,9.82,32500.0,0.0265
2020-09-02,10.21,10.18,10.34,10.12,128080.00000000001,0.0149
2020-09-03,10.44,10.34,10.49,10.33,106830.0,0.0225
2020-09-04,10.48,10.58,10.58,10.44,70550.0,0.0038
2020-09-07,10.34,10.48,10.48,10.32,49990.0,-0.0134
2020-09-08,10.38,10.42,10.42,10.26,34360.0,0.0039000000000000003
2020-09-09,10.42,10.4,10.46,10.38,37370.0,0.0039000000000000003
2020-09-10,10.64,10.42,10.64,10.42,59000.0,0.0209
2020-09-11,10.58,10.65,10.81,10.58,102590.0,-0.0059
2020-09-14,10.5,10.5,10.58,10.47,45770.0,-0.0074
2020-09-15,10.57,10.5,10.61,10.5,316010.0,0.0067
2020-09-16,10.5,10.57,10.57,10.46,34090.0,-0.0067
2020-09-17,10.54,10.58,10.58,10.47,14210.0,0.0037
2020-09-18,10.65,10.56,10.69,10.5,32590.000000000004,0.0104
2020-09-21,10.5,10.65,10.72,10.47,53290.0,-0.013999999999999999
2020-09-22,10.5,10.5,10.54,10.38,49210.0,0.0
2020-09-23,10.5,10.47,10.5,10.42,32820.0,0.0
2020-09-24,10.26,10.5,10.5,10.23,93780.0,-0.022400000000000003
2020-09-25,10.34,10.27,10.42,10.27,37050.0,0.0076
2020-09-28,10.18,10.19,10.34,10.07,218670.0,-0.0152
2020-09-29,10.11,10.3,10.33,10.0,52760.0,-0.0077
2020-09-30,9.86,10.1,10.11,9.84,89880.0,-0.024
2020-10-01,9.42,9.85,9.85,9.42,147220.0,-0.0453
2020-10-02,9.36,9.31,9.71,9.04,130410.0,-0.0058
2020-10-05,9.67,9.55,9.78,9.4,70180.0,0.0335
2020-10-06,9.9,9.83,10.06,9.78,94160.0,0.0235
2020-10-07,9.56,9.99,9.99,9.44,67870.0,-0.0348
2020-10-08,9.4,9.6,9.61,9.39,109020.0,-0.016399999999999998
2020-10-09,9.67,9.4,9.68,9.4,18510.0,0.028300000000000002
2020-10-12,9.64,9.78,9.78,9.52,17300.0,-0.0032
2020-10-13,9.56,9.64,9.64,9.54,15910.0,-0.008100000000000001
2020-10-14,9.71,9.59,9.71,9.52,29810.0,0.016399999999999998
2020-10-15,9.705,9.65,9.73,9.54,0.0,0.0
2020-10-16,9.7,9.71,9.75,9.56,37090.0,-0.0016
2020-10-19,9.64,9.71,9.71,9.61,13670.0,-0.006500000000000001
2020-10-20,9.64,9.71,9.72,9.6,42510.0,0.0
2020-10-21,9.52,9.64,9.64,9.5,68590.0,-0.012199999999999999
2020-10-22,9.37,9.63,9.63,9.37,146620.0,-0.015600000000000001
2020-10-23,9.48,9.37,9.55,9.37,41020.0,0.011699999999999999
2020-10-26,9.39,9.46,9.48,9.38,27760.0,-0.0091
2020-10-27,9.4,9.48,9.48,9.35,12280.0,0.0008
2020-10-28,9.26,9.39,9.44,9.24,40740.0,-0.015
2020-10-29,9.245000000000001,9.39,9.415,9.205,0.0,0.0
2020-10-30,9.23,9.39,9.39,9.17,20230.0,-0.0034000000000000002
2020-11-02,9.12,9.31,9.31,9.1,51270.0,-0.011899999999999999
2020-11-03,9.06,9.12,9.12,9.06,38370.0,-0.006
2020-11-04,9.24,9.09,9.33,9.02,37030.0,0.0199
2020-11-05,9.31,9.24,9.39,9.24,12620.0,0.0076
2020-11-06,9.28,9.36,9.36,9.24,11870.0,-0.0034000000000000002
2020-11-09,9.18,9.39,9.39,9.18,26710.0,-0.011000000000000001
2020-11-10,9.34,9.28,9.35,9.21,10820.0,0.0171
2020-11-11,9.38,9.32,9.38,9.24,10570.0,0.0042
2020-11-12,9.67,9.4,9.68,9.4,64629.99999999999,0.030899999999999997
2020-11-13,9.63,9.64,9.78,9.63,32340.000000000004,-0.0040999999999999995
2020-11-16,9.74,9.64,9.74,9.64,17360.0,0.012199999999999999
2020-11-17,9.82,9.78,9.89,9.73,74760.0,0.0072
2020-11-18,10.06,9.83,10.07,9.82,66250.0,0.024700000000000003
2020-11-19,9.95,10.07,10.07,9.93,70400.0,-0.0109
2020-11-20,9.78,9.95,9.95,9.71,53700.0,-0.0173
2020-11-23,9.8,9.9,9.9,9.71,27840.0,0.0024
2020-11-24,9.94,9.95,9.98,9.8,50990.0,0.0144
2020-11-25,9.93,9.86,9.94,9.86,84300.0,-0.0016
2020-11-26,9.86,9.93,9.93,9.85,167910.0,-0.0063
2020-11-27,9.79,9.86,9.86,9.78,29370.0,-0.0070999999999999995
2020-11-30,9.81,9.79,9.83,9.77,74020.0,0.0016
2020-12-01,9.79,9.87,9.87,9.79,57370.0,-0.0016
2020-12-02,9.81,9.79,9.85,9.76,93590.0,0.0016
2020-12-03,9.81,9.79,9.86,9.79,45380.0,0.0
2020-12-04,9.82,9.81,9.82,9.79,43700.0,0.0016
2020-12-07,9.69,9.82,9.82,9.69,52000.0,-0.013600000000000001
2020-12-08,9.64,9.74,9.75,9.55,43400.0,-0.005699999999999999
2020-12-09,9.59,9.64,9.71,9.56,31560.0,-0.0049
2020-12-10,9.56,9.59,9.71,9.53,19940.0,-0.0033
2020-12-11,9.46,9.56,9.56,9.4,59940.0,-0.010700000000000001
2020-12-14,9.54,9.45,9.61,9.42,14990.0,0.0091
2020-12-15,9.59,9.48,9.64,9.46,10230.0,0.0049
2020-12-16,9.54,9.53,9.62,9.46,10130.0,-0.0049
2020-12-17,9.56,9.61,9.61,9.46,15460.0,0.0016
