Date,Price,Open,High,Low,Vol.,Change %
2021-12-31,27.1,26.9,27.1,25.5,81450.0,0.0037
2022-01-03,27.0,27.1,27.1,26.7,13650.0,-0.0037
2022-01-04,26.01,26.99,26.99,26.01,1400.0,-0.036699999999999997
2022-01-05,26.87,26.5,26.87,26.5,4390.0,0.0331
2022-01-06,26.77,26.85,26.85,26.0,6270.0,-0.0037
2022-01-07,26.7,26.78,26.78,26.59,5210.0,-0.0026
2022-01-10,26.7,26.2,26.7,26.0,4210.0,0.0
2022-01-11,26.4,26.0,26.49,26.0,820.0,-0.011200000000000002
2022-01-12,26.4,26.1,26.4,26.0,8100.0,0.0
2022-01-13,26.4,26.01,26.4,26.0,1510.0,0.0
2022-01-14,26.6,26.39,26.6,26.0,7010.0,0.0076
2022-01-17,26.59,26.6,26.6,26.4,2290.0,-0.0004
2022-01-18,26.5,26.5,26.5,26.1,5040.0,-0.0034000000000000002
2022-01-19,26.5,26.5,26.59,26.3,5740.0,0.0
2022-01-20,26.5,26.41,26.5,26.4,690.0,0.0
2022-01-21,26.5,26.35,26.5,26.35,3460.0,0.0
2022-01-24,26.2,26.1,26.5,26.0,7980.0,-0.0113
2022-01-25,26.1,26.19,26.19,25.95,6600.0,-0.0038
2022-01-26,26.0,26.09,26.09,25.7,3340.0,-0.0038
2022-01-27,25.89,25.99,25.99,25.89,3320.0,-0.0042
2022-01-28,26.0,25.6,26.0,25.5,13680.0,0.0042
2022-01-31,25.7,25.75,25.75,25.5,1280.0,-0.0115
2022-02-01,25.9,25.69,26.0,25.5,7530.0,0.0078000000000000005
2022-02-02,25.8,25.8,25.8,25.8,80.0,-0.0039000000000000003
2022-02-03,25.65,25.5,25.8,25.5,560.0,-0.0058
2022-02-04,26.48,25.5,26.48,25.5,15750.0,0.032400000000000005
2022-02-07,26.0,26.0,26.0,26.0,320.0,-0.0181
2022-02-08,26.0,26.0,26.0,26.0,40.0,0.0
2022-02-09,25.97,25.52,25.97,25.3,7440.0,-0.0012
2022-02-10,25.98,25.9,25.98,25.9,1500.0,0.0004
2022-02-11,25.97,25.77,25.97,25.766666666666666,0.0,0.0
