Date,Price,Open,High,Low,Vol.,Change %
2020-08-10,7.47,7.38,7.47,7.3,18320.0,0.024
2020-08-11,7.68,7.49,7.68,7.49,35330.0,0.0268
2020-08-12,7.65,7.8,7.82,7.65,55240.0,-0.0033
2020-08-13,7.575,7.715,7.735,7.575,0.0,0.0
2020-08-14,7.5,7.63,7.65,7.5,40050.0,-0.0196
2020-08-17,7.26,7.49,7.49,7.26,23670.0,-0.0313
2020-08-18,7.1,7.2,7.2,7.05,23290.0,-0.0227
2020-08-19,7.11,7.0,7.2,7.0,50690.0,0.0021
2020-08-20,7.155,7.1,7.275,7.05,0.0,0.0
2020-08-21,7.2,7.2,7.35,7.1,5420.0,0.011899999999999999
2020-08-24,7.43,7.22,7.43,7.22,2340.0,0.0326
2020-08-25,7.57,7.51,7.63,7.5,1720.0,0.018799999999999997
2020-08-26,7.63,7.64,7.72,7.63,60030.0,0.0066
2020-08-27,7.45,7.65,7.65,7.45,7280.0,-0.023
2020-08-28,7.6,7.45,7.61,7.45,21130.0,0.020099999999999996
2020-08-31,7.6,7.6,7.65,7.45,45540.0,0.0
2020-09-01,7.45,7.6,7.61,7.45,69980.0,-0.0197
2020-09-02,7.63,7.45,7.63,7.45,21730.0,0.0235
2020-09-03,7.59,7.63,7.63,7.45,42280.0,-0.0039000000000000003
2020-09-04,7.6,7.59,7.64,7.5,23670.0,0.0007000000000000001
2020-09-07,7.5,7.59,7.6,7.5,9500.0,-0.0132
2020-09-08,7.45,7.5,7.55,7.36,10670.0,-0.0067
2020-09-09,7.55,7.45,7.55,7.38,39650.0,0.0134
2020-09-10,7.45,7.59,7.59,7.45,3210.0,-0.0126
2020-09-11,7.5,7.5,7.5,7.44,7200.0,0.006
2020-09-14,7.49,7.43,7.49,7.38,3170.0,-0.0013
2020-09-15,7.41,7.49,7.49,7.41,6920.0,-0.0113
2020-09-16,7.45,7.43,7.5,7.38,13510.0,0.0060999999999999995
2020-09-17,7.35,7.4,7.45,7.35,6350.0,-0.0134
2020-09-18,7.45,7.45,7.45,7.25,2200.0,0.013600000000000001
2020-09-21,7.38,7.45,7.45,7.38,2420.0,-0.0101
2020-09-22,7.38,7.4,7.4,7.38,440.0,0.0
2020-09-23,7.35,7.38,7.38,7.3,4000.0,-0.0034000000000000002
2020-09-24,7.32,7.26,7.38,7.25,6540.0,-0.0040999999999999995
2020-09-25,7.32,7.28,7.34,7.28,1910.0,0.0
2020-09-28,7.2,7.28,7.28,7.2,7460.0,-0.016399999999999998
2020-09-29,7.34,7.24,7.34,7.13,11280.0,0.0194
2020-09-30,7.12,7.34,7.34,7.12,20840.0,-0.03
2020-10-01,6.91,7.15,7.24,6.91,10220.0,-0.029500000000000002
2020-10-02,6.93,6.72,6.93,6.7,32850.0,0.0022
2020-10-05,7.14,7.0,7.14,6.98,11720.0,0.030299999999999997
2020-10-06,7.25,7.3,7.3,7.2,8990.0,0.0161
2020-10-07,7.18,7.28,7.28,7.15,15460.0,-0.0103
2020-10-08,7.15,7.2,7.2,7.15,3000.0,-0.0034999999999999996
2020-10-09,7.25,7.24,7.28,7.11,5400.0,0.013999999999999999
2020-10-12,7.28,7.28,7.28,7.28,740.0,0.0034000000000000002
