Date,Price,Open,High,Low,Vol.,Change %
2020-08-10,6.35,6.5,6.58,6.35,4050.0,-0.0231
2020-08-11,6.48,6.32,6.54,6.25,6800.0,0.020499999999999997
2020-08-12,6.52,6.48,6.57,6.48,3540.0,0.0062
2020-08-13,6.535,6.525,6.57,6.515000000000001,0.0,0.0
2020-08-14,6.55,6.57,6.57,6.55,330.0,0.0046
2020-08-17,6.55,6.56,6.56,6.45,2700.0,0.0
2020-08-18,6.57,6.45,6.57,6.36,70.0,0.0031
2020-08-19,6.57,6.4,6.57,6.39,570.0,0.0
2020-08-20,6.575,6.485,6.575,6.48,0.0,0.0
2020-08-21,6.58,6.57,6.58,6.57,250.0,0.0015
2020-08-24,6.55,6.43,6.57,6.43,3290.0,-0.0046
2020-08-25,6.31,6.5,6.5,6.31,2550.0,-0.0366
2020-08-26,6.49,6.48,6.49,6.48,350.0,0.0285
2020-08-27,6.75,6.57,6.75,6.57,4800.0,0.0401
2020-08-28,6.95,6.7,6.95,6.7,21740.0,0.0296
2020-08-31,6.9,7.05,7.05,6.9,2210.0,-0.0072
2020-09-01,6.8,6.86,6.86,6.8,250.0,-0.014499999999999999
2020-09-02,6.8,6.8,6.8,6.8,1800.0,0.0
2020-09-03,6.6,6.6,6.6,6.6,6730.0,-0.0294
2020-09-04,6.65,6.65,6.7,6.5,3170.0,0.0076
2020-09-07,6.6,6.6,6.65,6.6,4880.0,-0.0075
2020-09-08,6.55,6.51,6.6,6.51,5670.0,-0.0076
2020-09-09,6.6,6.6,6.7,6.55,1630.0,0.0076
2020-09-10,6.71,6.56,6.71,6.41,40600.0,0.0167
2020-09-11,6.65,6.8,6.8,6.6,4200.0,-0.0089
2020-09-14,6.57,6.58,6.58,6.57,5300.0,-0.012
2020-09-15,6.48,6.48,6.48,6.4,8630.0,-0.0137
2020-09-16,6.4,6.48,6.48,6.39,17870.0,-0.0123
2020-09-17,6.47,6.4,6.47,6.35,1810.0,0.0109
2020-09-18,6.45,6.47,6.47,6.45,510.0,-0.0031
2020-09-21,6.4,6.3,6.4,6.3,1040.0,-0.0078000000000000005
2020-09-22,6.4,6.3,6.4,6.3,5380.0,0.0
2020-09-23,6.45,6.44,6.45,6.44,220.0,0.0078000000000000005
2020-09-24,6.6,6.6,6.6,6.6,90.0,0.0233
2020-09-25,6.41,6.41,6.41,6.41,1010.0,-0.0288
2020-09-28,6.41,6.41,6.41,6.41,550.0,0.0
2020-09-29,6.44,6.49,6.49,6.44,750.0,0.004699999999999999
2020-09-30,6.4,6.4,6.4,6.3,1000.0,-0.0062
2020-10-01,6.21,6.31,6.31,6.21,1010.0,-0.0297
2020-10-02,6.03,6.2,6.2,6.03,1210.0,-0.028999999999999998
2020-10-05,6.19,6.21,6.21,6.03,430.0,0.0265
2020-10-06,6.35,6.18,6.35,6.0,21540.0,0.0258
2020-10-07,6.16,6.35,6.35,6.16,1000.0,-0.029900000000000003
2020-10-08,6.19,6.03,6.2,6.03,4720.0,0.0049
2020-10-09,6.2,6.2,6.2,6.05,910.0,0.0016
2020-10-12,6.2,6.2,6.28,6.2,2560.0,0.0
2020-10-13,6.28,6.25,6.28,6.25,550.0,0.0129
2020-10-14,6.05,6.03,6.28,6.02,5560.0,-0.0366
2020-10-15,6.1,6.09,6.215,6.085,0.0,0.0
2020-10-16,6.15,6.15,6.15,6.15,610.0,0.0165
2020-10-19,6.15,6.14,6.15,6.14,110.0,0.0
2020-10-20,5.98,6.0,6.0,5.98,1160.0,-0.0276
2020-10-21,6.16,6.18,6.18,6.16,350.0,0.0301
2020-10-22,5.99,6.16,6.16,5.99,1230.0,-0.0276
2020-10-23,6.14,6.0,6.14,6.0,150.0,0.025
2020-10-26,6.14,6.19,6.19,5.98,4350.0,0.0
2020-10-27,6.14,6.14,6.14,6.14,2340.0,0.0
2020-10-28,6.14,5.99,6.14,5.99,740.0,0.0
2020-10-29,6.14,6.0649999999999995,6.14,6.0649999999999995,0.0,0.0
2020-10-30,6.14,6.14,6.14,6.14,50.0,0.0
2020-11-02,6.0,5.96,6.0,5.96,490.0,-0.022799999999999997
2020-11-03,6.0,5.96,6.0,5.82,1870.0,0.0
2020-11-04,5.82,6.0,6.0,5.82,870.0,-0.03
2020-11-05,5.85,5.99,5.99,5.84,610.0,0.0052
2020-11-06,5.99,6.0,6.0,5.83,9930.0,0.0239
2020-11-09,5.83,5.83,5.83,5.83,500.0,-0.026699999999999998
2020-11-10,5.99,5.99,5.99,5.99,150.0,0.0274
2020-11-11,6.18,6.0,6.18,5.85,32450.000000000004,0.0317
2020-11-12,6.55,6.3,6.55,6.2,52740.0,0.0599
2020-11-13,6.65,6.65,6.8,6.6,17780.0,0.015300000000000001
2020-11-16,6.59,6.46,6.6,6.46,910.0,-0.009000000000000001
2020-11-17,6.5,6.5,6.5,6.4,2450.0,-0.0137
2020-11-18,6.52,6.31,6.55,6.31,510.0,0.0031
2020-11-19,6.47,6.49,6.49,6.47,9430.0,-0.0077
2020-11-20,6.49,6.49,6.49,6.49,100.0,0.0031
2020-11-23,6.3,6.48,6.48,6.3,1180.0,-0.029300000000000003
2020-11-24,6.15,6.18,6.3,6.12,800.0,-0.023799999999999998
2020-11-25,6.25,6.28,6.28,6.14,1430.0,0.0163
2020-11-26,6.3,6.3,6.31,6.3,1600.0,0.008
2020-11-27,6.3,6.35,6.35,6.15,1140.0,0.0
2020-11-30,6.29,6.3,6.3,6.15,240.0,-0.0016
2020-12-01,6.28,6.3,6.3,6.28,1000.0,-0.0016
2020-12-02,6.28,6.29,6.29,6.28,1940.0,0.0
2020-12-03,6.27,6.29,6.29,6.27,660.0,-0.0016
2020-12-04,6.1,6.25,6.25,6.1,1810.0,-0.0271
2020-12-07,6.08,6.01,6.25,5.92,4760.0,-0.0033
2020-12-08,5.9,6.08,6.08,5.9,2120.0,-0.0296
2020-12-09,5.9,5.91,6.06,5.9,22010.0,0.0
2020-12-10,6.07,5.9,6.07,5.9,4610.0,0.0288
2020-12-11,6.08,6.0,6.08,6.0,1400.0,0.0016
2020-12-14,6.07,6.08,6.08,5.95,360.0,-0.0016
2020-12-15,5.95,5.95,5.95,5.95,1000.0,-0.019799999999999998
2020-12-16,6.06,6.06,6.06,6.06,100.0,0.018500000000000003
2020-12-17,6.15,6.07,6.15,6.07,970.0,0.0149
2020-12-18,6.1,6.09,6.14,6.09,4470.0,-0.008100000000000001
2020-12-21,6.12,6.12,6.12,5.98,1980.0,0.0033
2020-12-22,6.12,5.99,6.17,5.98,8750.0,0.0
2020-12-23,6.15,6.17,6.17,5.94,960.0,0.0049
2020-12-24,6.1,6.14,6.15,5.98,60.0,-0.008100000000000001
2020-12-25,6.13,6.15,6.15,6.0,5640.0,0.0049
2020-12-28,6.13,6.13,6.13,6.12,1900.0,0.0
2020-12-29,6.12,6.12,6.12,6.12,360.0,-0.0016
2020-12-30,6.1,6.12,6.12,6.08,13240.0,-0.0033
2020-12-31,6.16,6.17,6.17,6.01,12750.0,0.0098
2021-01-01,6.09,6.23,6.23,6.015,0.0,0.0
2021-01-04,6.02,6.29,6.29,6.02,710.0,-0.0227
2021-01-05,5.91,6.0,6.01,5.9,1630.0,-0.0183
2021-01-06,5.9,5.97,5.97,5.85,3140.0,-0.0017000000000000001
2021-01-07,5.9,5.9,5.95,5.9,280.0,0.0
2021-01-08,5.98,5.83,5.98,5.8,420.0,0.013600000000000001
2021-01-11,6.1,6.0,6.14,6.0,5160.0,0.020099999999999996
2021-01-12,5.98,5.98,5.98,5.98,630.0,-0.0197
2021-01-13,6.13,5.83,6.13,5.81,7140.0,0.025099999999999997
2021-01-14,6.115,5.965,6.115,5.955,0.0,0.0
2021-01-15,6.1,6.1,6.1,6.1,1020.0,-0.0049
2021-01-18,6.0,6.0,6.0,6.0,540.0,-0.016399999999999998
2021-01-19,6.11,5.92,6.12,5.82,12500.0,0.0183
2021-01-20,6.13,6.13,6.17,6.13,540.0,0.0033
2021-01-21,5.95,6.17,6.17,5.95,4000.0,-0.0294
2021-01-22,6.04,5.96,6.04,5.96,670.0,0.0151
2021-01-25,5.91,5.95,5.95,5.9,6200.0,-0.0215
2021-01-26,5.9,5.92,5.92,5.9,10410.0,-0.0017000000000000001
2021-01-27,5.97,5.9,6.07,5.83,7010.0,0.011899999999999999
2021-01-28,5.86,5.86,5.86,5.86,2560.0,-0.0184
2021-01-29,6.0,5.82,6.0,5.8,9870.0,0.0239
2021-02-01,5.82,6.0,6.0,5.82,5290.0,-0.03
2021-02-02,5.81,5.99,5.99,5.81,4560.0,-0.0017000000000000001
2021-02-03,5.81,5.81,5.81,5.81,1250.0,0.0
2021-02-04,5.89,5.9,5.9,5.89,1040.0,0.0138
2021-02-05,5.72,5.79,5.79,5.72,540.0,-0.028900000000000002
2021-02-08,5.88,5.7,5.88,5.7,4000.0,0.027999999999999997
2021-02-09,5.86,5.87,5.87,5.71,4800.0,-0.0034000000000000002
2021-02-10,5.69,5.71,5.71,5.69,1000.0,-0.028999999999999998
2021-02-11,5.63,5.65,5.69,5.63,2870.0,-0.0105
2021-02-12,5.77,5.6,5.77,5.6,500.0,0.024900000000000002
2021-02-15,5.75,5.61,5.75,5.6,6880.0,-0.0034999999999999996
