Date,Price,Open,High,Low,Vol.,Change %
2022-03-18,17.5,17.29,17.5,17.0,31590.0,0.0
2022-03-21,17.39,17.5,17.5,17.07,10250.0,-0.0063
2022-03-22,17.1,17.37,17.37,17.0,10300.0,-0.0167
2022-03-23,17.15,17.0,17.15,17.0,7400.0,0.0029
2022-03-24,17.4,17.16,17.75,17.16,37440.0,0.0146
2022-03-25,18.29,18.0,18.3,17.8,48030.0,0.051100000000000007
2022-03-28,18.1,18.2,18.2,18.0,17720.0,-0.0104
2022-03-29,18.4,18.0,18.4,18.0,16320.0,0.0166
2022-03-30,18.39,18.4,18.4,18.0,14610.0,-0.0005
2022-03-31,18.3,18.2,18.39,18.2,1540.0,-0.0049
2022-04-01,18.2,18.01,18.2,18.01,180.0,-0.0055000000000000005
2022-04-04,18.2,18.2,18.2,18.19,1100.0,0.0
2022-04-05,18.2,18.0,18.24,18.0,2280.0,0.0
2022-04-06,18.1,18.0,18.1,18.0,5780.0,-0.0055000000000000005
2022-04-07,18.0,18.2,18.35,18.0,4150.0,-0.0055000000000000005
2022-04-08,18.1,18.37,18.37,17.9,4990.0,0.005600000000000001
2022-04-11,18.0,18.0,18.0,17.95,1660.0,-0.0055000000000000005
2022-04-12,18.0,18.0,18.15,17.99,4480.0,0.0
2022-04-13,18.0,18.15,18.15,17.99,7110.0,0.0
2022-04-14,18.12,18.15,18.15,18.0,1780.0,0.0067
2022-04-15,18.08,18.0,18.15,18.0,7340.0,-0.0022
2022-04-18,18.42,18.15,18.5,18.15,9490.0,0.018799999999999997
2022-04-19,18.12,18.42,18.47,18.09,8020.0,-0.0163
2022-04-20,18.2,18.42,18.45,18.01,5630.0,0.0044
2022-04-21,18.0,18.43,18.43,18.0,7300.0,-0.011000000000000001
2022-04-22,18.1,18.1,18.35,18.09,2260.0,0.005600000000000001
2022-04-25,18.1,18.01,18.1,18.01,1950.0,0.0
2022-04-26,18.1,18.04,18.1,18.02,3030.0,0.0
2022-04-27,18.1,18.1,18.1,18.03,4720.0,0.0
2022-04-28,18.1,18.03,18.2,18.0,4960.0,0.0
2022-04-29,18.1,18.01,18.1,18.01,1370.0,0.0
2022-05-02,18.1,18.040000000000003,18.1,18.01,0.0,0.0
2022-05-03,18.1,18.07,18.1,18.01,0.0,0.0
2022-05-04,18.1,18.1,18.1,18.01,2910.0,0.0
