Date,Price,Open,High,Low,Vol.,Change %
2020-08-10,5.34,5.3,5.35,5.23,9250.0,0.011399999999999999
2020-08-11,5.34,5.34,5.34,5.22,10980.0,0.0
2020-08-12,5.28,5.34,5.34,5.28,4620.0,-0.011200000000000002
2020-08-13,5.32,5.345,5.35,5.3149999999999995,0.0,0.0
2020-08-14,5.36,5.35,5.36,5.35,6480.0,0.0152
2020-08-17,5.28,5.35,5.35,5.28,7390.0,-0.0149
2020-08-18,5.28,5.34,5.34,5.27,5220.0,0.0
2020-08-19,5.21,5.33,5.33,5.21,4370.0,-0.013300000000000001
2020-08-20,5.195,5.26,5.27,5.195,0.0,0.0
2020-08-21,5.18,5.19,5.21,5.18,5880.0,-0.0058
2020-08-24,5.18,5.17,5.18,5.14,82440.0,0.0
2020-08-25,5.28,5.18,5.28,5.17,24140.0,0.019299999999999998
2020-08-26,5.27,5.28,5.28,5.17,4480.0,-0.0019
2020-08-27,5.21,5.19,5.21,5.14,9910.0,-0.011399999999999999
2020-08-28,5.26,5.26,5.26,5.19,7600.0,0.0096
2020-08-31,5.18,5.18,5.21,5.17,7750.0,-0.0152
2020-09-01,5.14,5.33,5.33,5.14,6760.0,-0.0077
2020-09-02,5.17,5.29,5.29,5.17,420.0,0.0058
2020-09-03,5.17,5.29,5.29,5.15,6700.0,0.0
2020-09-04,5.28,5.26,5.28,5.14,6430.0,0.0213
2020-09-07,5.48,5.28,5.54,5.28,42050.0,0.0379
2020-09-08,5.47,5.54,5.54,5.37,5090.0,-0.0018
2020-09-09,5.47,5.38,5.48,5.37,3380.0,0.0
2020-09-10,5.38,5.44,5.44,5.3,5430.0,-0.0165
2020-09-11,5.38,5.42,5.43,5.32,20170.0,0.0
2020-09-14,5.38,5.42,5.42,5.28,60340.0,0.0
2020-09-15,5.58,5.42,5.58,5.33,19580.0,0.037200000000000004
2020-09-16,5.52,5.62,5.62,5.52,1150.0,-0.0108
2020-09-17,5.45,5.55,5.55,5.45,1950.0,-0.0127
2020-09-18,5.52,5.45,5.55,5.42,14330.0,0.0128
2020-09-21,5.48,5.48,5.48,5.42,6750.0,-0.0072
2020-09-22,5.44,5.52,5.52,5.37,31450.0,-0.0073
2020-09-23,5.55,5.42,5.55,5.42,22220.0,0.0197
2020-09-24,5.45,5.55,5.55,5.42,10150.0,-0.0175
2020-09-25,5.69,5.54,5.69,5.46,27790.0,0.0446
2020-09-28,5.86,5.73,5.86,5.69,33160.0,0.029300000000000003
2020-09-29,5.9,5.89,5.96,5.86,23920.0,0.0070999999999999995
2020-09-30,5.69,5.95,5.95,5.69,3860.0,-0.0365
2020-10-01,5.52,5.62,5.62,5.35,6410.0,-0.029300000000000003
2020-10-02,5.44,5.38,5.68,5.36,11600.0,-0.0151
2020-10-05,5.6,5.44,5.6,5.44,23460.0,0.0294
2020-10-06,5.72,5.73,5.73,5.62,8090.0,0.0223
2020-10-07,5.69,5.73,5.88,5.62,10990.0,-0.0060999999999999995
2020-10-08,5.73,5.8,5.94,5.67,56550.0,0.0073
2020-10-09,5.68,5.71,5.75,5.67,37870.0,-0.0088
2020-10-12,5.84,5.72,5.93,5.72,24680.0,0.028300000000000002
2020-10-13,5.91,5.91,5.91,5.83,1440.0,0.013000000000000001
2020-10-14,5.86,5.89,5.89,5.75,1160.0,-0.0086
2020-10-15,5.890000000000001,5.885,5.92,5.805,0.0,0.0
2020-10-16,5.92,5.88,5.95,5.86,27010.0,0.0101
2020-10-19,5.84,5.92,5.92,5.8,4059.9999999999995,-0.0143
2020-10-20,5.94,5.91,6.01,5.91,49580.0,0.0174
2020-10-21,5.91,5.8,5.92,5.8,14380.0,-0.0043
2020-10-22,5.88,5.75,5.9,5.75,4750.0,-0.005699999999999999
2020-10-23,5.84,5.76,5.92,5.76,4019.9999999999995,-0.0072
2020-10-26,5.82,5.84,5.84,5.75,5780.0,-0.0029
2020-10-27,5.75,5.71,5.75,5.67,1640.0,-0.0116
2020-10-28,5.74,5.79,5.79,5.62,14200.0,-0.0029
2020-10-29,5.6899999999999995,5.77,5.77,5.63,0.0,0.0
2020-10-30,5.64,5.75,5.75,5.64,3200.0,-0.016200000000000003
2020-11-02,5.62,5.5,5.63,5.5,7310.0,-0.0045000000000000005
2020-11-03,5.69,5.63,5.69,5.53,8000.0,0.013600000000000001
2020-11-04,5.59,5.69,5.69,5.53,8020.0,-0.0178
2020-11-05,5.6,5.66,5.66,5.59,4850.0,0.0015
2020-11-06,5.69,5.69,5.69,5.69,560.0,0.0166
2020-11-09,5.63,5.67,5.67,5.53,2640.0,-0.011899999999999999
2020-11-10,5.53,5.63,5.63,5.53,6350.0,-0.0165
2020-11-11,5.67,5.54,5.7,5.54,28900.0,0.0245
2020-11-12,5.62,5.71,5.71,5.62,4720.0,-0.009000000000000001
2020-11-13,5.69,5.71,5.75,5.67,15880.0,0.012
2020-11-16,5.67,5.75,5.75,5.67,12870.0,-0.003
2020-11-17,5.8,5.74,5.81,5.67,19230.0,0.022400000000000003
2020-11-18,5.77,5.85,5.85,5.77,6790.0,-0.0044
2020-11-19,6.01,5.84,6.01,5.8,32520.000000000004,0.041100000000000005
2020-11-20,5.99,6.17,6.3,5.99,18250.0,-0.0028000000000000004
2020-11-23,5.9,6.08,6.08,5.9,7820.0,-0.0155
2020-11-24,5.89,5.9,5.97,5.8,3450.0,-0.0014000000000000002
2020-11-25,5.95,5.95,5.95,5.8,3600.0,0.0101
2020-11-26,5.97,5.8,5.97,5.8,6610.0,0.0028000000000000004
2020-11-27,5.86,5.8,6.14,5.8,48660.0,-0.0184
2020-11-30,6.01,6.02,6.02,5.86,1810.0,0.026000000000000002
2020-12-01,5.86,6.01,6.01,5.84,4870.0,-0.0254
2020-12-02,5.86,5.91,5.91,5.8,10880.0,0.0
2020-12-03,5.84,5.93,5.93,5.75,5340.0,-0.0029
2020-12-04,5.84,5.99,5.99,5.81,6410.0,0.0
2020-12-07,5.75,5.76,5.76,5.69,3360.0,-0.014499999999999999
2020-12-08,5.63,5.75,5.75,5.58,5790.0,-0.022099999999999998
2020-12-09,5.75,5.75,5.76,5.75,3190.0,0.0226
2020-12-10,5.88,5.84,5.91,5.76,20790.0,0.022099999999999998
2020-12-11,5.73,5.88,5.88,5.73,1590.0,-0.0259
2020-12-14,5.75,5.84,5.84,5.75,1920.0,0.0044
2020-12-15,5.71,5.71,5.75,5.71,940.0,-0.0074
2020-12-16,5.8,5.71,5.8,5.71,29880.0,0.0148
2020-12-17,5.84,5.76,5.84,5.75,10800.0,0.0073
2020-12-18,5.87,5.83,5.89,5.83,11460.0,0.0058
2020-12-21,5.84,5.87,5.88,5.8,6270.0,-0.0058
2020-12-22,5.75,5.76,5.77,5.75,7430.0,-0.014499999999999999
2020-12-23,5.82,5.86,5.88,5.76,13940.0,0.0118
2020-12-24,5.92,5.82,5.92,5.75,19980.0,0.0174
2020-12-25,5.92,5.92,5.94,5.78,11260.0,0.0
2020-12-28,5.91,5.92,5.92,5.75,9970.0,-0.0014000000000000002
2020-12-29,5.88,5.91,5.92,5.75,3420.0,-0.005699999999999999
2020-12-30,5.84,5.94,6.09,5.8,22350.0,-0.0072
2020-12-31,5.91,6.01,6.01,5.83,3760.0,0.0116
2021-01-01,5.859999999999999,5.925,5.955,5.8149999999999995,0.0,0.0
2021-01-04,5.81,5.84,5.9,5.8,18070.0,-0.0158
2021-01-05,5.7,5.8,5.8,5.65,30770.0,-0.0189
2021-01-06,5.74,5.7,5.75,5.65,2090.0,0.0059
2021-01-07,5.7,5.71,5.71,5.67,2910.0,-0.0059
2021-01-08,5.73,5.73,5.83,5.73,3860.0,0.0045000000000000005
2021-01-11,5.73,5.73,5.73,5.67,3840.0,0.0
2021-01-12,5.83,5.68,5.83,5.68,3150.0,0.0177
2021-01-13,5.75,5.83,5.83,5.66,2660.0,-0.014499999999999999
2021-01-14,5.734999999999999,5.755,5.79,5.665,0.0,0.0
2021-01-15,5.72,5.68,5.75,5.67,1330.0,-0.0044
2021-01-18,5.67,5.72,5.72,5.66,6190.0,-0.0089
2021-01-19,5.72,5.67,5.73,5.65,5520.0,0.009000000000000001
2021-01-20,5.75,5.72,5.87,5.72,17420.0,0.0059
2021-01-21,5.73,5.87,5.87,5.72,4600.0,-0.0044
2021-01-22,5.8,5.71,5.8,5.71,10290.0,0.0118
2021-01-25,5.8,5.81,5.82,5.74,3350.0,0.0
2021-01-26,5.8,5.85,5.86,5.74,4420.0,0.0015
2021-01-27,5.8,5.84,5.84,5.71,2020.0,0.0
2021-01-28,5.75,5.87,5.87,5.75,7230.0,-0.0087
2021-01-29,5.67,5.75,5.75,5.67,5450.0,-0.0147
2021-02-01,5.67,5.8,5.8,5.67,1740.0,0.0
2021-02-02,5.67,5.67,5.84,5.6,5990.0,0.0
2021-02-03,5.77,5.67,5.8,5.67,12050.0,0.0179
2021-02-04,5.8,5.84,5.85,5.8,350.0,0.0044
2021-02-05,5.75,5.79,5.79,5.75,1430.0,-0.0073
2021-02-08,5.75,5.75,5.75,5.63,5260.0,0.0
2021-02-09,5.67,5.75,5.75,5.67,3600.0,-0.0147
2021-02-10,5.74,5.74,5.8,5.64,14730.0,0.011899999999999999
2021-02-11,5.87,5.74,5.91,5.64,42200.0,0.0236
2021-02-12,5.84,5.84,5.84,5.84,980.0,-0.0058
2021-02-15,5.84,5.85,5.85,5.84,6150.0,0.0
2021-02-16,5.99,5.68,6.01,5.68,33980.0,0.026099999999999998
2021-02-17,5.84,5.85,5.87,5.84,2700.0,-0.0254
2021-02-18,5.84,5.89,5.89,5.84,1580.0,0.0
2021-02-19,5.8,5.74,5.8,5.71,4090.0,-0.0072
2021-02-22,5.83,5.83,5.83,5.8,5980.0,0.0058
2021-02-23,5.82,5.83,5.87,5.75,28450.0,-0.0015
2021-02-24,5.84,5.75,5.84,5.75,4920.0,0.0029
2021-02-25,5.75,5.84,5.92,5.75,3640.0,-0.014499999999999999
2021-02-26,5.91,5.75,5.91,5.75,1810.0,0.0265
2021-03-01,5.84,5.91,5.91,5.77,700.0,-0.0115
2021-03-02,5.8,5.81,5.82,5.8,1200.0,-0.0072
2021-03-03,5.81,5.77,5.81,5.75,1290.0,0.0029
2021-03-04,5.81,5.75,5.81,5.75,2280.0,0.0
2021-03-05,5.84,5.81,5.91,5.78,28350.0,0.0044
2021-03-08,5.84,5.84,5.84,5.84,40310.0,0.0
2021-03-09,5.8,5.82,5.84,5.75,14860.0,-0.0072
2021-03-10,5.8,5.84,5.84,5.77,8870.0,0.0
2021-03-11,5.84,5.77,5.84,5.75,2320.0,0.0073
2021-03-12,5.84,5.84,5.84,5.8,11990.0,0.0
