Date,Price,Open,High,Low,Vol.,Change %
2020-08-10,5.49,5.45,5.5,5.42,10920.0,0.0129
2020-08-11,5.49,5.49,5.58,5.4,6130.0,0.0
2020-08-12,5.54,5.57,5.57,5.45,6400.0,0.0091
2020-08-13,5.5600000000000005,5.575,5.585,5.515000000000001,0.0,0.0
2020-08-14,5.58,5.58,5.6,5.58,1700.0,0.0072
2020-08-17,5.33,5.33,5.54,5.33,16219.999999999998,-0.044800000000000006
2020-08-18,5.23,5.39,5.39,5.23,55660.0,-0.018799999999999997
2020-08-19,5.1433333333333335,5.1866666666666665,5.25,5.053333333333334,0.0,0.0
2020-08-20,5.056666666666667,4.983333333333333,5.109999999999999,4.876666666666667,0.0,0.0
2020-08-21,4.97,4.78,4.97,4.7,164040.0,-0.049699999999999994
2020-08-24,4.85,5.0,5.0,4.85,11440.0,-0.0241
2020-08-25,4.8,4.86,4.86,4.72,32400.0,-0.0103
2020-08-26,4.86,4.8,4.94,4.8,21370.0,0.0125
2020-08-27,4.87,4.98,4.98,4.86,6210.0,0.0021
2020-08-28,4.87,4.92,4.93,4.86,8810.0,0.0
2020-08-31,4.87,4.99,4.99,4.85,10450.0,0.0
2020-09-01,4.72,4.73,4.8,4.66,29780.0,-0.0308
2020-09-02,4.7,4.66,4.8,4.66,4450.0,-0.0042
2020-09-03,4.65,4.69,4.69,4.55,26710.0,-0.0106
2020-09-04,4.63,4.63,4.63,4.5,32940.0,-0.0043
2020-09-07,4.82,4.68,4.82,4.6,15350.0,0.040999999999999995
2020-09-08,4.98,4.91,4.98,4.85,17220.0,0.0332
2020-09-09,5.06,5.06,5.06,4.95,6630.0,0.0161
2020-09-10,5.14,5.18,5.18,5.09,18420.0,0.0158
2020-09-11,5.01,5.14,5.19,5.01,7960.0,-0.0253
2020-09-14,5.0,5.08,5.08,4.96,5160.0,-0.002
2020-09-15,4.94,5.0,5.05,4.9,12660.0,-0.012
2020-09-16,4.9,4.94,4.94,4.86,4320.0,-0.008100000000000001
2020-09-17,4.95,5.0,5.0,4.85,9690.0,0.0102
2020-09-18,5.0,5.05,5.05,4.9,5860.0,0.0101
2020-09-21,4.99,4.99,5.04,4.91,8109.999999999999,-0.002
2020-09-22,5.02,5.0,5.02,4.95,29840.0,0.006
2020-09-23,4.55,4.65,4.7,4.52,9760.0,-0.09359999999999999
2020-09-24,4.5,4.58,4.6,4.49,10660.0,-0.011000000000000001
2020-09-25,4.54,4.5,4.59,4.5,10760.0,0.0089
2020-09-28,4.51,4.5,4.51,4.47,12830.0,-0.0066
2020-09-29,4.78,4.51,4.78,4.51,31320.0,0.0599
2020-09-30,4.7,4.78,4.92,4.65,16230.0,-0.0167
2020-10-01,4.47,4.68,4.68,4.47,3460.0,-0.0489
2020-10-02,4.58,4.45,4.58,4.32,13710.0,0.0246
2020-10-05,4.75,4.69,4.76,4.55,10930.0,0.0371
2020-10-06,4.61,4.75,4.75,4.61,19870.0,-0.029500000000000002
2020-10-07,4.61,4.7,4.7,4.56,9760.0,0.0
2020-10-08,4.6,4.69,4.69,4.55,5340.0,-0.0022
2020-10-09,4.63,4.65,4.68,4.52,2770.0,0.006500000000000001
2020-10-12,4.59,4.62,4.62,4.51,2060.0,-0.0086
2020-10-13,4.86,4.59,4.86,4.59,21860.0,0.0588
2020-10-14,4.9,5.05,5.07,4.86,141110.0,0.008199999999999999
2020-10-15,4.87,5.0,5.01,4.835,0.0,0.0
2020-10-16,4.84,4.95,4.95,4.81,12800.0,-0.012199999999999999
2020-10-19,4.85,4.81,4.9,4.81,3770.0,0.0021
2020-10-20,4.71,4.81,4.85,4.69,17580.0,-0.028900000000000002
2020-10-21,4.7,4.76,4.76,4.67,6710.0,-0.0021
2020-10-22,4.69,4.74,4.74,4.63,2550.0,-0.0021
2020-10-23,4.69,4.68,4.7,4.64,1970.0,0.0
2020-10-26,4.67,4.65,4.69,4.63,2660.0,-0.0043
2020-10-27,4.6,4.62,4.62,4.54,5200.0,-0.015
2020-10-28,4.64,4.62,4.64,4.5,13570.0,0.0087
2020-10-29,4.654999999999999,4.68,4.71,4.55,0.0,0.0
2020-10-30,4.67,4.74,4.78,4.6,2730.0,0.006500000000000001
2020-11-02,4.67,4.72,4.72,4.59,1940.0,0.0
