Date,Price,Open,High,Low,Vol.,Change %
2020-08-07,3.1,3.1,3.1,3.1,1640.0,0.0
2020-08-10,3.1,3.1,3.1,3.09,3160.0,0.0
2020-08-11,3.19,3.1,3.19,3.1,33240.0,0.028999999999999998
2020-08-12,3.22,3.23,3.3,3.14,27220.0,0.009399999999999999
2020-08-13,3.2,3.215,3.275,3.145,0.0,0.0
2020-08-14,3.18,3.2,3.25,3.15,4890.0,-0.0124
2020-08-17,3.17,3.26,3.26,3.17,3230.0,-0.0031
2020-08-18,3.19,3.2,3.2,3.11,9630.0,0.0063
2020-08-19,3.14,3.18,3.19,3.1,35930.0,-0.015700000000000002
2020-08-20,3.0949999999999998,3.14,3.145,3.0549999999999997,0.0,0.0
2020-08-21,3.05,3.1,3.1,3.01,18830.0,-0.0287
2020-08-24,3.06,3.06,3.11,3.01,6340.0,0.0033
2020-08-25,3.04,3.03,3.1,3.03,4310.0,-0.006500000000000001
2020-08-26,3.1,3.1,3.1,3.02,15550.0,0.0197
2020-08-27,3.1,3.1,3.17,3.04,4820.0,0.0
2020-08-28,3.1,3.1,3.1,3.09,240.0,0.0
2020-08-31,3.1,3.09,3.1,3.01,3110.0,0.0
2020-09-01,3.08,3.13,3.13,3.04,18050.0,-0.006500000000000001
2020-09-02,3.26,3.05,3.26,3.02,38190.0,0.0584
2020-09-03,3.27,3.3,3.35,3.21,15630.0,0.0031
2020-09-04,3.35,3.28,3.37,3.2,53380.0,0.0245
2020-09-07,3.2,3.35,3.39,3.2,14180.0,-0.044800000000000006
2020-09-08,3.19,3.28,3.29,3.19,10340.0,-0.0031
2020-09-09,3.15,3.1,3.19,3.05,66490.0,-0.0125
2020-09-10,3.1,3.19,3.2,3.1,9760.0,-0.0159
2020-09-11,3.1,3.18,3.18,3.09,20810.0,0.0
2020-09-14,3.12,3.14,3.14,3.05,14330.0,0.006500000000000001
2020-09-15,3.07,3.1,3.1,3.01,121100.0,-0.016
2020-09-16,3.1,3.02,3.1,3.02,33460.0,0.0098
2020-09-17,3.1,3.1,3.14,3.1,61160.0,0.0
2020-09-18,3.02,3.03,3.03,2.98,6240.0,-0.0258
2020-09-21,3.03,3.07,3.09,3.03,5950.0,0.0033
2020-09-22,3.0,3.03,3.07,3.0,29180.0,-0.009899999999999999
2020-09-23,3.12,3.06,3.12,2.98,47700.0,0.04
2020-09-24,3.29,3.11,3.29,3.07,83530.0,0.0545
2020-09-25,3.2,3.29,3.37,3.2,34020.0,-0.0274
2020-09-28,3.3,3.25,3.31,3.25,10940.0,0.031200000000000002
2020-09-29,3.3,3.35,3.35,3.25,27340.0,0.0
2020-09-30,3.28,3.25,3.29,3.21,4810.0,-0.0060999999999999995
2020-10-01,3.21,3.3,3.3,3.21,6650.0,-0.0213
2020-10-02,3.19,3.26,3.27,3.17,7880.0,-0.0062
2020-10-05,3.2,3.22,3.28,3.2,3560.0,0.0031
2020-10-06,3.25,3.2,3.28,3.2,1100.0,0.015600000000000001
2020-10-07,3.23,3.25,3.25,3.2,2060.0,-0.0062
2020-10-08,3.22,3.19,3.22,3.19,2080.0,-0.0031
2020-10-09,3.25,3.21,3.25,3.19,10570.0,0.009300000000000001
2020-10-12,3.27,3.25,3.27,3.25,650.0,0.0062
2020-10-13,3.16,3.25,3.26,3.16,62770.0,-0.0336
2020-10-14,3.25,3.16,3.25,3.1,33650.0,0.0285
2020-10-15,3.2350000000000003,3.205,3.25,3.13,0.0,0.0
2020-10-16,3.22,3.25,3.25,3.16,2009.9999999999998,-0.0092
2020-10-19,3.18,3.13,3.18,3.13,7560.0,-0.0124
2020-10-20,3.17,3.17,3.17,3.12,570.0,-0.0031
2020-10-21,3.15,3.1,3.15,3.03,9640.0,-0.0063
2020-10-22,3.24,3.12,3.26,3.12,8020.0,0.0286
2020-10-23,3.3,3.28,3.3,3.28,300.0,0.018500000000000003
2020-10-26,3.2766666666666664,3.27,3.283333333333333,3.2566666666666664,0.0,0.0
2020-10-27,3.2533333333333334,3.26,3.2666666666666666,3.2333333333333334,0.0,0.0
2020-10-28,3.23,3.25,3.25,3.21,2230.0,-0.0212
2020-10-29,3.23,3.24,3.24,3.2199999999999998,0.0,0.0
2020-10-30,3.23,3.23,3.23,3.23,100.0,0.0
2020-11-02,3.24,3.28,3.28,3.19,670.0,0.0031
2020-11-03,3.14,3.23,3.23,3.14,230.0,-0.030899999999999997
2020-11-04,3.2,3.22,3.22,3.13,820.0,0.0191
2020-11-05,3.19,3.16,3.19,3.16,740.0,-0.0031
2020-11-06,3.1,3.19,3.19,3.1,12610.0,-0.0282
2020-11-09,3.18,3.14,3.18,3.06,4780.0,0.0258
2020-11-10,3.19,3.18,3.22,3.16,1320.0,0.0031
2020-11-11,3.28,3.2,3.28,3.15,12230.0,0.0282
2020-11-12,3.27,3.28,3.3,3.27,650.0,-0.003
2020-11-13,3.18,3.19,3.2,3.18,29760.0,-0.0275
2020-11-16,3.25,3.23,3.25,3.23,460.0,0.022000000000000002
2020-11-17,3.17,3.2,3.2,3.11,10500.0,-0.0246
2020-11-18,3.08,3.17,3.17,3.08,45530.0,-0.028399999999999998
2020-11-19,3.08,3.1,3.1,3.08,23830.0,0.0
2020-11-20,3.2,3.1,3.2,3.06,55040.0,0.039
2020-11-23,3.2,3.25,3.26,3.16,34840.0,0.0
2020-11-24,3.18,3.19,3.19,3.12,940.0,-0.0062
2020-11-25,3.19,3.18,3.19,3.09,4800.0,0.0031
2020-11-26,3.19,3.19,3.19,3.17,310.0,0.0
2020-11-27,3.19,3.17,3.23,3.17,4250.0,0.0
2020-11-30,3.17,3.19,3.19,3.12,560.0,-0.0063
2020-12-01,3.2,3.2,3.2,3.13,3010.0,0.0095
2020-12-02,3.17,3.15,3.18,3.08,38880.0,-0.009399999999999999
2020-12-03,3.19,3.16,3.19,3.15,5750.0,0.0063
2020-12-04,3.17,3.16,3.19,3.16,2580.0,-0.0063
2020-12-07,3.17,3.18,3.18,3.1,3740.0,0.0
2020-12-08,3.2,3.17,3.23,3.11,20800.0,0.0095
2020-12-09,3.18,3.11,3.18,3.11,1170.0,-0.0062
2020-12-10,3.1900000000000004,3.1399999999999997,3.1900000000000004,3.11,0.0,0.0
2020-12-11,3.2,3.17,3.2,3.11,2100.0,0.0063
2020-12-14,3.1550000000000002,3.145,3.2,3.11,0.0,0.0
2020-12-15,3.11,3.12,3.2,3.11,20930.0,-0.0281
2020-12-16,3.19,3.18,3.19,3.11,7550.0,0.025699999999999997
2020-12-17,3.18,3.15,3.18,3.15,1680.0,-0.0031
2020-12-18,3.18,3.19,3.19,3.1,9070.0,0.0
2020-12-21,3.17,3.17,3.17,3.17,200.0,-0.0031
2020-12-22,3.19,3.17,3.19,3.17,9740.0,0.0063
2020-12-23,3.17,3.18,3.19,3.1,680.0,-0.0063
2020-12-24,3.18,3.18,3.18,3.18,70.0,0.0032
2020-12-25,3.19,3.13,3.19,3.13,6740.0,0.0031
2020-12-28,3.18,3.17,3.18,3.17,1510.0,-0.0031
