Date,Price,Open,High,Low,Vol.,Change %
2020-12-31,57.5,57.5,58.7,57.5,11950.0,0.0177
2021-01-01,58.75,57.95,59.5,57.95,0.0,0.0
2021-01-04,60.0,58.4,60.3,58.4,8410.0,0.0435
2021-01-05,60.5,60.0,60.7,59.0,7970.0,0.0083
2021-01-06,62.0,60.5,62.1,60.5,8460.0,0.0248
2021-01-07,61.8,61.52,62.0,61.0,3250.0,-0.0032
2021-01-08,62.0,61.5,62.99,59.66,6090.0,0.0032
2021-01-11,62.5,62.6,63.0,61.5,1310.0,0.008100000000000001
2021-01-12,62.0,62.49,62.5,61.5,2770.0,-0.008
2021-01-13,61.5,60.7,62.0,60.14,7520.0,-0.008100000000000001
2021-01-14,61.6,61.345,62.0,60.17,0.0,0.0
2021-01-15,61.7,61.99,62.0,60.2,390.0,0.0033
2021-01-18,61.0,60.3,61.0,60.02,1140.0,-0.0113
2021-01-19,61.0,60.05,61.0,59.7,3460.0,0.0
2021-01-20,61.1,60.12,61.1,60.1,890.0,0.0016
2021-01-21,60.97,60.3,60.98,60.3,2150.0,-0.0021
2021-01-22,60.89,60.9,60.9,60.31,470.0,-0.0013
2021-01-25,60.87,60.22,60.88,60.0,660.0,-0.0003
2021-01-26,60.87,60.5,60.89,60.5,330.0,0.0
2021-01-27,60.78,60.78,60.78,60.0,1430.0,-0.0015
2021-01-28,60.77,60.6,60.77,60.6,290.0,-0.0002
2021-01-29,60.5,60.0,60.5,60.0,540.0,-0.0044
2021-02-01,60.0,60.69,60.69,58.7,3170.0,-0.0083
2021-02-02,60.0,60.0,60.0,60.0,3280.0,0.0
2021-02-03,60.4,59.0,60.4,58.2,2780.0,0.0067
2021-02-04,60.3,60.0,60.3,59.99,1460.0,-0.0017000000000000001
2021-02-05,60.12,60.14,60.14,59.05,1060.0,-0.003
2021-02-08,60.0,59.99,60.0,59.99,550.0,-0.002
2021-02-09,60.0,60.0,60.0,59.99,1670.0,0.0
2021-02-10,59.2,60.0,60.0,59.2,450.0,-0.013300000000000001
2021-02-11,60.29,60.0,60.3,59.99,2350.0,0.0184
2021-02-12,60.3,60.25,60.3,60.06,1810.0,0.0002
2021-02-15,60.2,60.2,60.2,60.0,520.0,-0.0017000000000000001
2021-02-16,60.2,60.2,60.2,60.2,520.0,0.0
2021-02-17,60.1,60.1,60.2,60.1,420.0,-0.0017000000000000001
