Date,Price,Open,High,Low,Vol.,Change %
2020-08-10,8.39,8.15,8.39,8.15,28780.0,0.0371
2020-08-11,8.3,8.25,8.38,8.18,12030.0,-0.010700000000000001
2020-08-12,8.38,8.3,8.39,8.1,15740.0,0.0096
2020-08-13,8.43,8.335,8.435,8.225,0.0,0.0
2020-08-14,8.48,8.37,8.48,8.35,12280.0,0.011899999999999999
2020-08-17,8.35,8.48,8.48,8.35,2300.0,-0.015300000000000001
2020-08-18,8.3,8.4,8.4,8.2,2750.0,-0.006
2020-08-19,8.21,8.2,8.21,8.2,5300.0,-0.0108
2020-08-20,8.45,8.2,8.45,8.2,0.0,0.0
2020-08-21,8.69,8.2,8.69,8.2,21940.0,0.058499999999999996
2020-08-24,8.6,8.71,8.71,8.5,4370.0,-0.0104
2020-08-25,8.6,8.55,8.6,8.5,11080.0,0.0
2020-08-26,8.63,8.6,8.63,8.5,7980.0,0.0034999999999999996
2020-08-27,8.49,8.5,8.5,8.38,21130.0,-0.016200000000000003
2020-08-28,8.65,8.32,8.65,8.32,19410.0,0.018799999999999997
2020-08-31,8.6,8.43,8.62,8.43,9300.0,-0.0058
2020-09-01,8.85,8.5,8.85,8.5,22230.0,0.0291
2020-09-02,8.78,8.61,8.8,8.61,4540.0,-0.0079
2020-09-03,8.75,8.8,8.8,8.57,4980.0,-0.0034000000000000002
2020-09-04,8.67,8.6,8.69,8.6,13080.0,-0.0091
2020-09-07,8.59,8.59,8.59,8.5,2660.0,-0.0092
2020-09-08,8.63,8.63,8.7,8.53,2630.0,0.004699999999999999
2020-09-09,8.67,8.55,8.7,8.55,2970.0,0.0046
2020-09-10,8.58,8.53,8.67,8.5,1920.0,-0.0104
2020-09-11,8.85,8.58,8.85,8.58,7540.0,0.0315
2020-09-14,8.8,8.85,8.85,8.7,6490.0,-0.005600000000000001
2020-09-15,9.18,8.78,9.18,8.78,73590.0,0.0432
2020-09-16,9.17,9.16,9.19,9.11,3940.0,-0.0011
2020-09-17,9.09,9.15,9.15,8.95,6750.0,-0.0087
2020-09-18,9.0,9.0,9.0,8.9,7070.0,-0.009899999999999999
2020-09-21,8.88,8.84,8.9,8.8,14980.0,-0.013300000000000001
2020-09-22,8.87,8.8,8.87,8.74,67900.0,-0.0011
2020-09-23,8.8,8.79,8.87,8.75,16560.0,-0.0079
2020-09-24,8.75,8.8,8.8,8.7,7640.0,-0.005699999999999999
2020-09-25,8.75,8.78,8.86,8.68,23140.0,0.0
2020-09-28,8.7,8.76,8.84,8.7,15170.0,-0.005699999999999999
2020-09-29,8.6,8.79,8.79,8.59,6950.0,-0.0115
2020-09-30,8.4,8.6,8.6,8.4,8300.0,-0.0233
2020-10-01,8.35,8.6,8.6,8.35,90.0,-0.006
2020-10-02,8.18,7.98,8.34,7.98,22570.0,-0.0204
2020-10-05,8.5,8.38,8.5,8.13,6500.0,0.0391
2020-10-06,8.3,8.45,8.45,8.25,1640.0,-0.0235
2020-10-07,8.66,8.66,8.7,8.54,24680.0,0.0434
2020-10-08,8.51,8.77,8.77,8.51,12950.0,-0.0173
2020-10-09,8.5,8.59,8.59,8.32,1220.0,-0.0012
2020-10-12,8.45,8.46,8.46,8.38,1420.0,-0.0059
2020-10-13,8.44,8.3,8.44,8.3,3090.0,-0.0012
2020-10-14,8.45,8.44,8.46,8.44,1050.0,0.0012
2020-10-15,8.475,8.469999999999999,8.600000000000001,8.469999999999999,0.0,0.0
2020-10-16,8.5,8.5,8.74,8.5,10350.0,0.0059
2020-10-19,8.5,8.5,8.55,8.46,5540.0,0.0
2020-10-20,8.48,8.35,8.5,8.35,3290.0,-0.0024
2020-10-21,8.42,8.35,8.44,8.35,3920.0,-0.0070999999999999995
2020-10-22,8.4,8.41,8.48,8.37,1620.0,-0.0024
2020-10-23,8.45,8.35,8.45,8.32,3370.0,0.006
2020-10-26,8.35,8.35,8.4,8.25,1950.0,-0.0118
2020-10-27,8.28,8.28,8.35,8.28,6370.0,-0.0084
2020-10-28,8.27,8.38,8.38,8.13,1120.0,-0.0012
2020-10-29,8.21,8.24,8.265,8.065000000000001,0.0,0.0
2020-10-30,8.15,8.1,8.15,8.0,17530.0,-0.014499999999999999
2020-11-02,8.0,8.0,8.2,7.91,22580.0,-0.0184
2020-11-03,8.16,8.0,8.22,7.91,11890.0,0.02
2020-11-04,8.24,8.16,8.24,8.1,790.0,0.0098
2020-11-05,8.24,8.2,8.24,8.2,2050.0,0.0
2020-11-06,8.24,8.23,8.24,8.04,1340.0,0.0
2020-11-09,8.06,8.05,8.23,8.05,4460.0,-0.0218
2020-11-10,8.18,8.23,8.23,8.1,2810.0,0.0149
2020-11-11,8.25,8.11,8.25,8.11,5320.0,0.0086
2020-11-12,8.18,8.13,8.35,8.13,11730.0,-0.0085
2020-11-13,8.17,8.22,8.34,8.17,1830.0,-0.0012
2020-11-16,8.19,8.17,8.29,8.17,3700.0,0.0024
2020-11-17,8.2,8.2,8.25,8.19,3420.0,0.0012
2020-11-18,8.45,8.21,8.45,8.21,9040.0,0.0305
2020-11-19,8.54,8.6,8.6,8.38,8180.0,0.010700000000000001
2020-11-20,8.5,8.45,8.5,8.3,6730.0,-0.004699999999999999
2020-11-23,8.33,8.58,8.58,8.33,2210.0,-0.02
2020-11-24,8.32,8.34,8.34,8.2,330.0,-0.0012
2020-11-25,8.25,8.21,8.32,8.21,4300.0,-0.0084
2020-11-26,8.25,8.21,8.25,8.2,3610.0,0.0
2020-11-27,8.47,8.2,8.49,8.1,8790.0,0.026699999999999998
2020-11-30,8.23,8.2,8.47,8.2,2640.0,-0.028300000000000002
2020-12-01,8.4,8.47,8.47,8.23,2920.0,0.0207
2020-12-02,8.3,8.4,8.4,8.2,2410.0,-0.011899999999999999
2020-12-03,8.28,8.34,8.34,8.2,6190.0,-0.0024
2020-12-04,8.28,8.28,8.28,8.17,3630.0,0.0
2020-12-07,8.1,8.21,8.21,8.1,8950.0,-0.0217
2020-12-08,8.3,8.1,8.32,8.01,5050.0,0.024700000000000003
2020-12-09,8.16,8.25,8.25,8.12,2260.0,-0.0169
2020-12-10,8.25,8.2,8.44,8.2,8500.0,0.011000000000000001
2020-12-11,8.33,8.25,8.42,8.2,4580.0,0.0097
2020-12-14,8.32,8.25,8.32,8.1,1730.0,-0.0012
2020-12-15,8.24,8.09,8.25,8.05,2080.0,-0.0096
2020-12-16,8.32,8.3,8.32,8.09,2380.0,0.0097
2020-12-17,8.3,8.08,8.3,8.08,5620.0,-0.0024
2020-12-18,8.3,8.15,8.3,8.11,8590.0,0.0
2020-12-21,8.25,8.15,8.3,8.15,4540.0,-0.006
2020-12-22,8.15,8.15,8.25,8.15,5520.0,-0.0121
2020-12-23,8.3,8.15,8.3,8.14,5470.0,0.0184
2020-12-24,8.3,8.15,8.3,8.15,7480.0,0.0
2020-12-25,8.17,8.15,8.34,8.15,8780.0,-0.015700000000000002
2020-12-28,8.2,8.17,8.41,8.17,3260.0,0.0037
2020-12-29,8.26,8.4,8.49,8.2,19330.0,0.0073
2020-12-30,8.44,8.45,8.7,8.36,32140.0,0.0218
2020-12-31,8.4,8.44,8.5,8.33,8430.0,-0.004699999999999999
2021-01-01,8.344999999999999,8.370000000000001,8.45,8.27,0.0,0.0
2021-01-04,8.29,8.3,8.4,8.21,22630.0,-0.0131
2021-01-05,8.2,8.28,8.28,8.19,33030.0,-0.0109
2021-01-06,8.2,8.16,8.24,8.16,7470.0,0.0
2021-01-07,8.19,8.17,8.2,8.15,5250.0,-0.0012
2021-01-08,8.3,8.19,8.38,8.19,3220.0,0.0134
2021-01-11,8.32,8.37,8.37,8.16,1680.0,0.0024
2021-01-12,8.35,8.37,8.37,8.2,730.0,0.0036
2021-01-13,8.36,8.4,8.4,8.16,1270.0,0.0012
2021-01-14,8.344999999999999,8.375,8.375,8.245000000000001,0.0,0.0
2021-01-15,8.33,8.35,8.35,8.33,310.0,-0.0036
2021-01-18,8.17,8.18,8.35,8.17,4440.0,-0.0192
2021-01-19,8.33,8.24,8.33,8.2,2550.0,0.0196
2021-01-20,8.3,8.32,8.32,8.2,2230.0,-0.0036
2021-01-21,8.21,8.3,8.3,8.2,4320.0,-0.0108
2021-01-22,8.3,8.21,8.31,8.21,7280.0,0.011000000000000001
2021-01-25,8.3,8.25,8.3,8.22,5500.0,0.0
2021-01-26,8.3,8.3,8.35,8.26,3980.0,0.0
2021-01-27,8.23,8.35,8.35,8.23,520.0,-0.0084
2021-01-28,8.3,8.29,8.37,8.29,6270.0,0.0085
2021-01-29,8.27,8.3,8.3,8.25,6810.0,-0.0036
2021-02-01,8.27,8.3,8.3,8.27,9770.0,0.0
2021-02-02,8.4,8.31,8.49,8.31,61760.0,0.015700000000000002
2021-02-03,8.4,8.45,8.45,8.34,27070.0,0.0
2021-02-04,8.32,8.37,8.37,8.25,10720.0,-0.0095
2021-02-05,8.55,8.35,8.55,8.35,27190.0,0.0276
2021-02-08,8.49,8.47,8.53,8.47,14760.0,-0.006999999999999999
2021-02-09,8.54,8.49,8.56,8.49,9760.0,0.0059
2021-02-10,8.79,8.54,8.79,8.54,25030.0,0.029300000000000003
2021-02-11,9.0,9.0,9.15,8.9,36820.0,0.0239
2021-02-12,8.9,8.96,9.0,8.82,23710.0,-0.0111
2021-02-15,8.92,8.8,8.98,8.8,12670.0,0.0022
2021-02-16,9.09,8.92,9.14,8.92,26970.0,0.0191
2021-02-17,9.08,9.12,9.12,8.95,3680.0,-0.0011
2021-02-18,9.07,9.09,9.09,8.85,6250.0,-0.0011
2021-02-19,8.98,9.0,9.0,8.82,7840.0,-0.009899999999999999
2021-02-22,8.98,8.82,8.98,8.82,7910.0,0.0
2021-02-23,8.99,8.9,8.99,8.89,20380.0,0.0011
2021-02-24,8.9,8.98,8.98,8.9,5990.0,-0.01
2021-02-25,8.8,8.99,8.99,8.8,11690.0,-0.011200000000000002
2021-02-26,8.81,8.8,8.88,8.7,11520.0,0.0011
2021-03-01,8.97,8.99,8.99,8.8,6270.0,0.0182
2021-03-02,8.94,8.96,8.96,8.9,2610.0,-0.0033
2021-03-03,8.95,8.85,8.95,8.85,19250.0,0.0011
2021-03-04,8.92,8.95,8.97,8.89,36600.0,-0.0034000000000000002
2021-03-05,8.9,8.95,8.95,8.9,31330.0,-0.0022
2021-03-08,8.94,8.95,8.95,8.8,13730.0,0.0045000000000000005
2021-03-09,8.94,8.94,8.95,8.9,7450.0,0.0
2021-03-10,8.94,8.95,8.95,8.8,2860.0,0.0
2021-03-11,8.93,8.9,8.95,8.68,29040.0,-0.0011
2021-03-12,8.92,8.94,8.94,8.8,5400.0,-0.0011
2021-03-15,8.86,8.91,8.91,8.8,1160.0,-0.0067
2021-03-16,8.8,8.93,8.93,8.75,21880.0,-0.0068000000000000005
2021-03-17,8.99,8.8,8.99,8.8,29120.0,0.0216
2021-03-18,9.04,9.01,9.14,8.95,24280.0,0.005600000000000001
2021-03-19,8.9,9.04,9.04,8.8,9920.0,-0.0155
2021-03-22,8.98,8.9,9.09,8.9,20940.0,0.009000000000000001
2021-03-23,8.79,8.98,8.98,8.75,3740.0,-0.0212
2021-03-24,8.65,8.75,8.8,8.6,7770.0,-0.0159
2021-03-25,8.76,8.81,8.81,8.55,1670.0,0.0127
2021-03-26,8.72,8.6,8.76,8.6,7100.0,-0.0046
2021-03-29,8.68,8.7,8.72,8.61,4320.0,-0.0046
2021-03-30,8.63,8.68,8.68,8.55,12770.0,-0.0058
2021-03-31,8.6,8.6,8.6,8.51,5920.0,-0.0034999999999999996
2021-04-01,8.37,8.55,8.55,8.37,13920.0,-0.026699999999999998
2021-04-02,8.48,8.36,8.6,8.21,10480.0,0.0131
2021-04-05,8.47,8.48,8.6,8.41,5250.0,-0.0012
2021-04-06,8.35,8.41,8.41,8.3,10650.0,-0.014199999999999999
2021-04-07,8.35,8.3,8.35,8.21,1450.0,0.0
2021-04-08,8.3,8.3,8.3,8.24,1730.0,-0.006
2021-04-09,8.25,8.265,8.265,8.18,0.0,0.0
2021-04-12,8.2,8.23,8.23,8.12,7680.0,-0.012
2021-04-13,8.25,8.2,8.25,8.2,7730.0,0.0060999999999999995
2021-04-14,8.25,8.25,8.25,8.2,1920.0,0.0
2021-04-15,8.13,8.25,8.28,8.13,800.0,-0.014499999999999999
2021-04-16,8.23,8.13,8.25,8.1,9590.0,0.0123
2021-04-19,8.29,8.23,8.29,8.01,360.0,0.0073
