Date,Price,Open,High,Low,Vol.,Change %
2020-08-07,3.7,3.7,3.73,3.7,2130.0,0.0278
2020-08-10,3.75,3.75,3.75,3.75,1550.0,0.013500000000000002
2020-08-11,3.64,3.7,3.7,3.64,2370.0,-0.029300000000000003
2020-08-12,3.57,3.64,3.74,3.57,5890.0,-0.0192
2020-08-13,3.61,3.645,3.6950000000000003,3.61,0.0,0.0
2020-08-14,3.65,3.65,3.65,3.65,30.0,0.022400000000000003
2020-08-17,3.57,3.57,3.57,3.57,540.0,-0.0219
2020-08-18,3.51,3.5,3.6,3.5,410.0,-0.0168
2020-08-19,3.6,3.5,3.6,3.45,1840.0,0.0256
2020-08-20,3.5949999999999998,3.6,3.6500000000000004,3.52,0.0,0.0
2020-08-21,3.59,3.7,3.7,3.59,1810.0,-0.0028000000000000004
2020-08-24,3.45,3.5,3.6,3.43,28340.0,-0.039
2020-08-25,3.42,3.42,3.57,3.4,13190.0,-0.0087
2020-08-26,3.53,3.53,3.56,3.41,7860.0,0.0322
2020-08-27,3.43,3.53,3.59,3.43,7000.0,-0.028300000000000002
2020-08-28,3.5,3.5,3.52,3.4,11540.0,0.0204
2020-08-31,3.47,3.57,3.57,3.47,530.0,-0.0086
2020-09-01,3.4,3.46,3.46,3.37,3140.0,-0.0202
2020-09-02,3.45,3.37,3.45,3.37,200.0,0.0147
2020-09-03,3.39,3.45,3.45,3.35,61650.0,-0.0174
2020-09-04,3.45,3.46,3.46,3.44,1450.0,0.0177
2020-09-07,3.46,3.45,3.47,3.36,2930.0,0.0029
2020-09-08,3.42,3.47,3.5,3.38,3910.0,-0.0116
2020-09-09,3.42,3.38,3.48,3.36,6240.0,0.0
2020-09-10,3.42,3.5,3.5,3.42,8100.0,0.0
2020-09-11,3.42,3.49,3.49,3.42,8730.0,0.0
2020-09-14,3.49,3.44,3.49,3.44,1080.0,0.020499999999999997
2020-09-15,3.5,3.48,3.5,3.41,8510.0,0.0029
2020-09-16,3.5,3.45,3.5,3.45,1160.0,0.0
2020-09-17,3.44,3.44,3.44,3.44,340.0,-0.0171
2020-09-18,3.55,3.5,3.56,3.4,23100.0,0.032
2020-09-21,3.45,3.55,3.58,3.45,4290.0,-0.0282
2020-09-22,3.46,3.46,3.49,3.46,4240.0,0.0029
2020-09-23,3.45,3.5,3.5,3.45,14450.0,-0.0029
2020-09-24,3.53,3.54,3.55,3.53,3200.0,0.0232
2020-09-25,3.47,3.52,3.53,3.47,3150.0,-0.017
2020-09-28,3.58,3.55,3.6,3.55,1600.0,0.0317
2020-09-29,3.65,3.71,3.71,3.58,10080.0,0.0196
2020-09-30,3.55,3.68,3.68,3.55,1510.0,-0.0274
2020-10-01,3.45,3.62,3.65,3.45,4480.0,-0.0282
2020-10-02,3.4,3.41,3.51,3.31,11190.0,-0.014499999999999999
2020-10-05,3.5,3.4,3.5,3.4,4040.0,0.0294
2020-10-06,3.5,3.6,3.69,3.5,4840.0,0.0
2020-10-07,3.45,3.65,3.65,3.45,21060.0,-0.0143
2020-10-08,3.58,3.6,3.6,3.43,600.0,0.0377
2020-10-09,3.5,3.65,3.68,3.5,1530.0,-0.0223
2020-10-12,3.5,3.48,3.5,3.48,2360.0,0.0
2020-10-13,3.5,3.5,3.6,3.48,4500.0,0.0
2020-10-14,3.48,3.48,3.48,3.48,4800.0,-0.005699999999999999
2020-10-15,3.54,3.45,3.55,3.45,0.0,0.0
2020-10-16,3.6,3.42,3.62,3.42,9700.0,0.0345
2020-10-19,3.59,3.6,3.6,3.58,3360.0,-0.0028000000000000004
2020-10-20,3.56,3.61,3.61,3.56,970.0,-0.0084
2020-10-21,3.5,3.59,3.59,3.49,6460.0,-0.0169
2020-10-22,3.57,3.57,3.57,3.5,4280.0,0.02
2020-10-23,3.5,3.57,3.57,3.5,7800.0,-0.0196
2020-10-26,3.59,3.59,3.59,3.59,2500.0,0.025699999999999997
2020-10-27,3.55,3.55,3.55,3.49,2240.0,-0.0111
2020-10-28,3.57,3.59,3.59,3.57,1750.0,0.005600000000000001
2020-10-29,3.535,3.585,3.585,3.535,0.0,0.0
2020-10-30,3.5,3.58,3.58,3.5,730.0,-0.0196
2020-11-02,3.5,3.5,3.5,3.5,1260.0,0.0
2020-11-03,3.55,3.51,3.55,3.51,1000.0,0.0143
2020-11-04,3.5,3.5,3.5,3.5,2080.0,-0.0141
2020-11-05,3.58,3.5,3.58,3.46,2880.0,0.0229
2020-11-06,3.6,3.64,3.64,3.58,23940.0,0.005600000000000001
2020-11-09,3.59,3.61,3.61,3.59,7170.0,-0.0028000000000000004
2020-11-10,3.6,3.62,3.62,3.59,5540.0,0.0028000000000000004
2020-11-11,3.66,3.6,3.68,3.6,36180.0,0.0167
2020-11-12,3.76,3.67,3.76,3.67,15210.0,0.0273
2020-11-13,3.77,3.8,3.84,3.77,46880.0,0.0027
2020-11-16,3.86,3.8,3.9,3.8,23580.0,0.0239
