Date,Price,Open,High,Low,Vol.,Change %
2020-08-27,5.6,5.6,5.6,5.6,30.0,-0.0088
2020-08-28,5.44,5.44,5.44,5.44,10.0,-0.0286
2020-08-31,5.335000000000001,5.415,5.415,5.335000000000001,0.0,0.0
2020-09-01,5.23,5.39,5.39,5.23,40.0,-0.038599999999999995
2020-09-02,4.93,5.08,5.08,4.93,30.0,-0.0574
2020-09-03,4.8,4.8,4.8,4.8,440.0,-0.0264
2020-09-04,4.8,4.67,4.8,4.53,40.0,0.0
2020-09-07,4.79,4.79,4.79,4.79,40.0,-0.0021
2020-09-08,4.78,4.78,4.78,4.78,840.0,-0.0021
2020-09-09,4.67,4.78,4.78,4.67,11510.0,-0.023
2020-09-10,4.67,4.67,4.67,4.67,660.0,0.0
2020-09-11,4.54,4.54,4.54,4.54,50.0,-0.0278
2020-09-14,4.7,4.7,4.7,4.7,0.0,0.0
2020-09-15,4.859999999999999,4.859999999999999,4.859999999999999,4.859999999999999,0.0,0.0
2020-09-16,5.02,5.02,5.02,5.02,100.0,0.1057
2020-09-17,5.02,5.02,5.02,5.02,20.0,0.0
2020-09-18,4.85,5.0,5.0,4.85,170.0,-0.0339
2020-09-21,4.57,4.71,4.71,4.57,0.0,-0.057699999999999994
2020-09-22,4.58,4.57,4.58,4.57,2000.0,0.0022
2020-09-23,4.46,4.57,4.57,4.46,2240.0,-0.0262
2020-09-24,4.395,4.45,4.45,4.395,0.0,0.0
2020-09-25,4.33,4.33,4.33,4.33,20.0,-0.0291
2020-09-28,4.41,4.41,4.41,4.41,0.0,0.0
2020-09-29,4.49,4.49,4.49,4.49,0.0,0.0
2020-09-30,4.57,4.57,4.57,4.57,0.0,0.0
2020-10-01,4.65,4.65,4.65,4.65,660.0,0.0739
2020-10-02,4.66,4.66,4.66,4.66,1380.0,0.0022
2020-10-05,4.94,4.79,4.94,4.79,1570.0,0.0601
2020-10-06,5.130000000000001,5.055,5.130000000000001,5.055,0.0,0.0
