Date,Price,Open,High,Low,Vol.,Change %
2020-08-10,11.0,11.0,11.0,11.0,320.0,-0.0179
2020-08-11,11.0,11.0,11.0,11.0,1730.0,0.0
2020-08-12,11.0,11.0,11.0,10.99,5590.0,0.0
2020-08-13,11.0,11.0,11.0,10.995000000000001,0.0,0.0
2020-08-14,11.0,11.0,11.0,11.0,20.0,0.0
2020-08-17,11.145,11.0,11.145,10.95,0.0,0.0
2020-08-18,11.29,11.0,11.29,10.9,50.0,0.0264
2020-08-19,10.79,10.79,11.0,10.79,70.0,-0.0443
2020-08-20,10.895,10.645,11.0,10.645,0.0,0.0
2020-08-21,11.0,10.5,11.0,10.5,2810.0,0.0195
2020-08-24,10.75,10.5,10.75,10.5,0.0,0.0
2020-08-25,10.5,10.5,10.5,10.5,300.0,-0.0455
2020-08-26,10.43,10.5,10.81,10.4,2640.0,-0.0067
2020-08-27,10.585,10.620000000000001,10.775,10.57,0.0,0.0
2020-08-28,10.74,10.74,10.74,10.74,0.0,0.0297
2020-08-31,10.5,10.5,10.5,10.5,1790.0,-0.0223
2020-09-01,10.2,10.22,10.22,10.2,1290.0,-0.0286
2020-09-02,10.48,10.2,10.48,10.2,10.0,0.0275
2020-09-03,10.47,10.47,10.47,10.47,0.0,-0.001
2020-09-04,10.46,10.18,10.46,10.18,50.0,-0.001
2020-09-07,10.3,10.18,10.3,10.15,500.0,-0.015300000000000001
2020-09-08,10.09,10.1,10.1,9.8,2450.0,-0.0204
2020-09-09,10.09,9.79,10.09,9.79,200.0,0.0
2020-09-10,10.08,9.79,10.08,9.79,300.0,-0.001
2020-09-11,9.78,9.78,9.98,9.78,660.0,-0.0298
2020-09-14,9.52,9.98,9.98,9.52,170.0,-0.026600000000000002
2020-09-15,9.513333333333334,9.883333333333333,9.886666666666667,9.513333333333334,0.0,0.0
2020-09-16,9.506666666666666,9.786666666666667,9.793333333333333,9.506666666666666,0.0,0.0
2020-09-17,9.5,9.69,9.7,9.5,2470.0,-0.0021
2020-09-18,9.49,9.22,9.5,9.22,11200.0,-0.0011
2020-09-21,9.21,9.21,9.21,9.21,60.0,-0.029500000000000002
2020-09-22,9.48,9.48,9.48,9.48,0.0,0.029300000000000003
2020-09-23,9.48,9.48,9.48,9.48,0.0,0.0
2020-09-24,9.48,9.48,9.48,9.48,10.0,0.0
2020-09-25,9.48,9.48,9.48,9.48,100.0,0.0
2020-09-28,9.41,9.41,9.41,9.41,0.0,0.0
2020-09-29,9.34,9.34,9.34,9.34,0.0,0.0
2020-09-30,9.27,9.27,9.27,9.27,0.0,0.0
2020-10-01,9.2,9.2,9.2,9.2,0.0,-0.029500000000000002
2020-10-02,9.2,8.93,9.2,8.93,40.0,0.0
2020-10-05,9.2,8.94,9.2,8.94,360.0,0.0
2020-10-06,9.2,9.004999999999999,9.2,9.004999999999999,0.0,0.0
2020-10-07,9.2,9.07,9.2,9.07,0.0,0.0
2020-10-08,9.2,9.135,9.2,9.135,0.0,0.0
2020-10-09,9.2,9.2,9.2,9.2,380.0,0.0
2020-10-12,9.2,9.2,9.2,9.2,0.0,0.0
2020-10-13,9.2,9.2,9.2,9.2,0.0,0.0
2020-10-14,9.2,9.2,9.2,9.2,0.0,0.0
2020-10-15,9.2,9.2,9.2,9.2,0.0,0.0
2020-10-16,9.2,9.2,9.2,9.2,0.0,0.0
2020-10-19,9.2,9.2,9.2,9.2,0.0,0.0
2020-10-20,9.25,9.2,9.25,9.2,0.0,0.0
2020-10-21,9.3,9.2,9.3,9.2,2560.0,0.0109
2020-10-22,9.36,9.36,9.36,9.36,0.0,0.006500000000000001
2020-10-23,9.45,9.35,9.48,9.35,2120.0,0.0096
2020-10-26,10.01,9.45,10.01,9.45,21580.0,0.0593
2020-10-27,10.15,10.31,10.31,10.15,3200.0,0.013999999999999999
2020-10-28,10.25,10.28,10.28,10.15,670.0,0.009899999999999999
2020-10-29,10.219999999999999,10.129999999999999,10.235,10.065000000000001,0.0,0.0
2020-10-30,10.19,9.98,10.19,9.98,30.0,-0.0059
2020-11-02,9.89,9.89,9.89,9.89,360.0,-0.0294
2020-11-03,9.99,9.8,9.99,9.7,240.0,0.0101
2020-11-04,9.89,9.89,9.89,9.89,1670.0,-0.01
2020-11-05,9.89,9.45,9.89,9.45,380.0,0.0
2020-11-06,9.84,9.85,9.85,9.8,210.0,-0.0051
2020-11-09,9.55,9.55,9.55,9.55,10.0,-0.029500000000000002
2020-11-10,9.48,9.7,9.7,9.31,900.0,-0.0073
2020-11-11,9.55,9.48,9.7,9.31,2270.0,0.0074
2020-11-12,9.55,9.6,9.6,9.54,5910.0,0.0
2020-11-13,9.59,9.33,9.59,9.32,290.0,0.0042
2020-11-16,9.55,9.59,9.59,9.55,2640.0,-0.0042
2020-11-17,9.6,9.55,9.6,9.55,170.0,0.0052
2020-11-18,9.59,9.35,9.59,9.32,470.0,-0.001
2020-11-19,9.4,9.5,9.5,9.4,4220.0,-0.019799999999999998
2020-11-20,9.58,9.58,9.58,9.58,10.0,0.0191
2020-11-23,9.51,9.31,9.51,9.15,250.0,-0.0073
2020-11-24,9.370000000000001,9.27,9.555,9.190000000000001,0.0,0.0
2020-11-25,9.23,9.23,9.6,9.23,4670.0,-0.0294
2020-11-26,9.5,9.5,9.5,9.1,690.0,0.029300000000000003
2020-11-27,9.45,9.36,9.45,9.16,0.0,0.0
2020-11-30,9.4,9.22,9.4,9.22,3200.0,-0.0105
2020-12-01,9.22,9.45,9.45,9.12,4240.0,-0.0191
2020-12-02,9.38,9.4,9.4,9.22,90.0,0.0174
2020-12-03,9.11,9.11,9.11,9.1,420.0,-0.0288
2020-12-04,9.25,9.25,9.25,9.25,0.0,0.0154
2020-12-07,9.4,9.2,9.4,9.2,60.0,0.016200000000000003
2020-12-08,9.3,9.12,9.3,9.12,320.0,-0.0106
2020-12-09,9.29,9.12,9.29,9.03,130.0,-0.0011
2020-12-10,9.2,9.08,9.2,9.03,400.0,-0.0097
2020-12-11,9.2,9.2,9.2,9.2,500.0,0.0
2020-12-14,9.29,9.1,9.3,9.0,2830.0,0.0098
2020-12-15,9.19,9.02,9.19,9.02,210.0,-0.0108
2020-12-16,9.19,9.0,9.19,9.0,4870.0,0.0
2020-12-17,9.17,9.0,9.19,9.0,7900.0,-0.0022
2020-12-18,9.45,9.18,9.58,9.18,1760.0,0.0305
2020-12-21,9.38,9.35,9.58,9.17,1960.0,-0.0074
2020-12-22,9.57,9.17,9.66,9.1,550.0,0.0203
2020-12-23,9.71,9.209999999999999,9.773333333333333,9.113333333333333,0.0,0.0
2020-12-24,9.85,9.25,9.886666666666667,9.126666666666667,0.0,0.0
2020-12-25,9.99,9.29,10.0,9.14,7810.0,0.043899999999999995
2020-12-28,9.71,9.7,10.0,9.7,260.0,-0.027999999999999997
2020-12-29,10.0,10.0,10.0,10.0,20.0,0.029900000000000003
2020-12-30,9.97,9.7,9.97,9.7,1200.0,-0.003
2020-12-31,10.29,9.95,10.39,9.6,2830.0,0.0321
2021-01-01,10.35,10.265,10.49,9.965,0.0,0.0
2021-01-04,10.41,10.58,10.59,10.33,8890.0,0.011699999999999999
2021-01-05,10.45,10.48,10.48,10.1,2300.0,0.0038
2021-01-06,10.41,10.41,10.41,10.41,410.0,-0.0038
2021-01-07,10.305,10.305,10.305,10.305,0.0,0.0
2021-01-08,10.2,10.2,10.2,10.2,50.0,-0.0202
2021-01-11,10.0,10.18,10.18,9.9,1750.0,-0.0196
2021-01-12,9.7,9.9,9.9,9.7,550.0,-0.03
2021-01-13,9.9,9.89,9.9,9.7,980.0,0.0206
2021-01-14,9.91,9.8675,9.92,9.677499999999998,0.0,0.0
2021-01-15,9.92,9.845,9.940000000000001,9.655,0.0,0.0
2021-01-18,9.93,9.822500000000002,9.96,9.6325,0.0,0.0
2021-01-19,9.94,9.8,9.98,9.61,2730.0,0.004
2021-01-20,9.85,9.68,9.85,9.65,2530.0,-0.0091
2021-01-21,9.88,9.85,9.89,9.56,2500.0,0.003
2021-01-22,9.9,9.8,9.9,9.8,500.0,0.002
2021-01-25,9.61,9.61,9.61,9.61,40.0,-0.029300000000000003
2021-01-26,9.8,9.8,9.8,9.8,420.0,0.019799999999999998
2021-01-27,9.51,9.51,9.51,9.51,220.0,-0.0296
2021-01-28,9.51,9.51,9.51,9.51,10.0,0.0
2021-01-29,9.75,9.42,9.75,9.4,1540.0,0.0252
