Date,Price,Open,High,Low,Vol.,Change %
2020-08-03,16.9,16.9,16.9,16.9,0.0,-0.0059
2020-08-04,16.9,16.9,16.9,16.9,100.0,0.0
2020-08-05,16.9,16.14,16.9,16.14,1560.0,0.0
2020-08-06,16.88,16.88,16.88,16.88,100.0,-0.0012
2020-08-07,16.61,16.88,16.88,16.61,150.0,-0.016
2020-08-10,16.4,16.4,16.4,16.4,1630.0,-0.0126
2020-08-11,16.44,16.4,16.8,16.4,4680.0,0.0024
2020-08-12,16.8,16.78,16.8,16.78,2370.0,0.0219
2020-08-13,16.84,16.78,16.84,16.78,0.0,0.0
2020-08-14,16.88,16.78,16.88,16.78,520.0,0.0048
2020-08-17,16.42,16.42,16.42,16.42,500.0,-0.0273
2020-08-18,16.55,16.4,16.55,16.4,900.0,0.0079
2020-08-19,16.55,16.42,16.55,16.3,1490.0,0.0
2020-08-20,16.705,16.64,16.705,16.58,0.0,0.0
2020-08-21,16.86,16.86,16.86,16.86,150.0,0.0187
2020-08-24,16.79,16.6,16.8,16.38,1500.0,-0.0042
2020-08-25,16.5,16.69,16.69,16.5,470.0,-0.0173
2020-08-26,16.68,16.5,16.68,16.32,1030.0,0.0109
2020-08-27,16.69,16.69,16.69,16.69,410.0,0.0006
2020-08-28,16.65,16.67,16.7,16.3,1390.0,-0.0024
2020-08-31,16.4,16.6,16.6,16.39,1030.0,-0.015
2020-09-01,16.02,16.25,16.25,16.0,9020.0,-0.0232
2020-09-02,16.1,16.4,16.4,15.9,6560.0,0.005
2020-09-03,15.9,16.3,16.3,15.62,2470.0,-0.0124
2020-09-04,15.9,15.9,15.9,15.9,1840.0,0.0
2020-09-07,15.9,16.0,16.0,15.8,4480.0,0.0
2020-09-08,15.9,16.0,16.0,15.8,4350.0,0.0
2020-09-09,15.8,15.8,15.9,15.8,4270.0,-0.0063
2020-09-10,15.7,15.62,15.7,15.5,10380.0,-0.0063
2020-09-11,15.5,15.44,15.69,15.44,4690.0,-0.0127
2020-09-14,15.49,15.5,15.5,15.43,19270.0,-0.0006
2020-09-15,15.49,15.5,15.55,15.4,6510.0,0.0
