Date,Price,Open,High,Low,Vol.,Change %
2020-08-11,22.34,22.34,22.34,22.34,20.0,-0.03
2020-08-12,22.346666666666668,22.346666666666668,22.346666666666668,22.346666666666668,0.0,0.0
2020-08-13,22.35333333333333,22.35333333333333,22.35333333333333,22.35333333333333,0.0,0.0
2020-08-14,22.36,22.36,22.36,22.36,30.0,0.0009
2020-08-17,23.03,23.03,23.03,23.03,60.0,0.03
2020-08-18,23.03,23.03,23.03,23.03,0.0,0.0
2020-08-19,23.03,23.03,23.03,23.03,10.0,0.0
2020-08-20,23.03,23.03,23.03,23.03,0.0,0.0
2020-08-21,23.03,23.03,23.03,23.03,40.0,0.0
2020-08-24,24.06,24.06,24.06,24.06,10.0,0.0447
2020-08-25,24.79,24.79,24.79,24.79,0.0,0.0
2020-08-26,25.52,25.52,25.52,25.52,0.0,0.060700000000000004
2020-08-27,25.509999999999998,25.509999999999998,25.509999999999998,25.509999999999998,0.0,0.0
2020-08-28,25.5,25.5,25.5,25.5,10.0,-0.0008
2020-08-31,25.5,25.5,25.5,25.5,30.0,0.0
2020-09-01,25.375,25.375,25.375,25.375,0.0,0.0
2020-09-02,25.25,25.25,25.25,25.25,0.0,0.0
2020-09-03,25.125,25.125,25.125,25.125,0.0,0.0
2020-09-04,25.0,25.0,25.0,25.0,100.0,-0.0196
2020-09-07,24.75,24.75,24.75,24.75,0.0,0.0
2020-09-08,24.5,24.5,24.5,24.5,0.0,0.0
2020-09-09,24.25,24.25,24.25,24.25,0.0,-0.03
2020-09-10,22.83,23.53,23.53,22.83,10.0,-0.058600000000000006
2020-09-11,22.15,22.15,22.15,22.15,400.0,-0.0298
2020-09-14,22.064999999999998,22.064999999999998,22.064999999999998,22.064999999999998,0.0,0.0
2020-09-15,21.979999999999997,21.979999999999997,21.979999999999997,21.979999999999997,0.0,0.0
2020-09-16,21.895,21.895,21.895,21.895,0.0,0.0
2020-09-17,21.81,21.81,21.81,21.81,760.0,-0.015300000000000001
2020-09-18,22.008333333333333,21.918333333333333,22.008333333333333,21.918333333333333,0.0,0.0
2020-09-21,22.206666666666667,22.026666666666667,22.206666666666667,22.026666666666667,0.0,0.0
2020-09-22,22.405,22.134999999999998,22.405,22.134999999999998,0.0,0.0
2020-09-23,22.60333333333333,22.243333333333332,22.60333333333333,22.243333333333332,0.0,0.0
2020-09-24,22.801666666666666,22.351666666666667,22.801666666666666,22.351666666666667,0.0,0.0
2020-09-25,23.0,22.46,23.0,22.46,0.0,0.0546
2020-09-28,23.0,22.73,23.0,22.73,0.0,0.0
2020-09-29,23.0,23.0,23.0,23.0,110.0,0.0
2020-09-30,22.655,22.655,22.655,22.655,0.0,0.0
2020-10-01,22.31,22.31,22.31,22.31,100.0,-0.03
2020-10-02,22.31,22.0,22.31,22.0,2100.0,0.0
2020-10-05,21.65,21.65,21.65,21.65,230.0,-0.0296
2020-10-06,21.662499999999998,21.662499999999998,21.662499999999998,21.662499999999998,0.0,0.0
2020-10-07,21.674999999999997,21.674999999999997,21.674999999999997,21.674999999999997,0.0,0.0
2020-10-08,21.6875,21.6875,21.6875,21.6875,0.0,0.0
2020-10-09,21.7,21.7,21.7,21.7,30.0,0.0023
2020-10-12,21.7,21.7,21.7,21.7,100.0,0.0
2020-10-13,21.7,21.7,21.7,21.7,760.0,0.0
2020-10-14,21.7,21.7,21.7,21.7,50.0,0.0
2020-10-15,22.133333333333333,22.133333333333333,22.133333333333333,22.133333333333333,0.0,0.0
2020-10-16,22.566666666666666,22.566666666666666,22.566666666666666,22.566666666666666,0.0,0.0
2020-10-19,23.0,23.0,23.0,23.0,0.0,0.0599
2020-10-20,21.75,21.75,21.75,21.75,50.0,-0.054299999999999994
2020-10-21,21.73,21.73,21.73,21.73,500.0,-0.0009
2020-10-22,21.8,21.8,21.8,21.8,150.0,0.0032
2020-10-23,21.16,21.16,21.16,21.16,0.0,-0.0294
2020-10-26,21.1,21.1,21.1,21.1,50.0,-0.0028000000000000004
2020-10-27,21.0,20.56,21.0,20.56,0.0,-0.004699999999999999
2020-10-28,21.0,21.0,21.0,21.0,30.0,0.0
2020-10-29,20.765,20.765,20.765,20.765,0.0,0.0
2020-10-30,20.53,20.53,20.53,20.53,520.0,-0.022400000000000003
2020-11-02,20.5,20.5,20.5,20.5,0.0,-0.0015
2020-11-03,20.0,19.99,20.0,19.99,1120.0,-0.024399999999999998
2020-11-04,20.0,20.0,20.0,20.0,70.0,0.0
2020-11-05,20.0,20.0,20.0,20.0,50.0,0.0
2020-11-06,20.3,20.3,20.3,20.3,0.0,0.0
2020-11-09,20.6,20.6,20.6,20.6,0.0,0.03
2020-11-10,21.21,21.21,21.21,21.21,0.0,0.0296
2020-11-11,21.105,21.105,21.105,21.105,0.0,0.0
2020-11-12,21.0,21.0,21.0,21.0,0.0,-0.009899999999999999
2020-11-13,20.666666666666668,20.666666666666668,20.666666666666668,20.666666666666668,0.0,0.0
