Date,Price,Open,High,Low,Vol.,Change %
2020-08-07,9.8,9.7,9.8,9.7,9360.0,0.0103
2020-08-10,9.79,9.8,9.85,9.7,2520.0,-0.001
2020-08-11,9.7,9.79,9.82,9.7,2100.0,-0.0092
2020-08-12,9.7,9.79,9.79,9.62,5650.0,0.0
2020-08-13,9.555,9.745,9.79,9.515,0.0,0.0
2020-08-14,9.41,9.7,9.79,9.41,37850.0,-0.029900000000000003
2020-08-17,9.69,9.52,9.7,9.52,10300.0,0.0298
2020-08-18,9.72,9.69,9.74,9.68,9190.0,0.0031
2020-08-19,9.75,9.72,9.79,9.7,9290.0,0.0031
2020-08-20,9.754999999999999,9.754999999999999,9.815,9.649999999999999,0.0,0.0
2020-08-21,9.76,9.79,9.84,9.6,5320.0,0.001
2020-08-24,9.76,9.76,9.76,9.76,2060.0,0.0
2020-08-25,9.8,9.72,9.8,9.72,2750.0,0.0040999999999999995
2020-08-26,9.8,9.8,9.84,9.73,5990.0,0.0
2020-08-27,9.8,9.8,9.84,9.8,4010.0,0.0
2020-08-28,9.8,9.85,9.85,9.8,1730.0,0.0
2020-08-31,9.79,9.85,9.85,9.71,4670.0,-0.001
2020-09-01,9.75,9.89,9.89,9.6,1660.0,-0.0040999999999999995
2020-09-02,9.9,9.73,9.9,9.73,3050.0,0.0154
2020-09-03,9.99,9.76,9.99,9.75,9830.0,0.0091
2020-09-04,10.58,9.95,10.58,9.94,43590.0,0.0591
2020-09-07,10.35,10.49,10.49,10.27,12530.0,-0.0217
2020-09-08,10.15,10.45,10.45,10.01,9890.0,-0.019299999999999998
2020-09-09,10.6,9.85,10.6,9.85,58790.0,0.0443
2020-09-10,10.67,10.9,10.9,10.62,8330.0,0.0066
2020-09-11,10.68,10.65,10.9,10.62,19410.0,0.0009
2020-09-14,10.56,10.88,10.88,10.56,2540.0,-0.011200000000000002
2020-09-15,10.55,10.55,10.56,10.3,2620.0,-0.0009
2020-09-16,10.5,10.59,10.59,10.3,4890.0,-0.004699999999999999
2020-09-17,10.59,10.5,10.81,10.5,84230.0,0.0086
2020-09-18,10.55,10.54,10.59,10.23,12800.0,-0.0038
2020-09-21,10.3,10.6,10.6,10.3,3540.0,-0.023700000000000002
2020-09-22,10.31,10.3,10.44,10.25,4800.0,0.001
2020-09-23,10.31,10.49,10.49,10.21,2840.0,0.0
2020-09-24,10.3,10.31,10.46,10.25,10540.0,-0.001
2020-09-25,10.21,10.25,10.3,10.2,5490.0,-0.0087
2020-09-28,10.18,10.21,10.21,10.01,6520.0,-0.0029
2020-09-29,10.35,10.18,10.35,10.0,4740.0,0.0167
2020-09-30,10.3,10.39,10.39,10.3,590.0,-0.0048
2020-10-01,10.06,10.06,10.07,9.76,15060.0,-0.0233
2020-10-02,9.99,10.0,10.0,9.82,2860.0,-0.006999999999999999
2020-10-05,10.19,10.0,10.19,10.0,5310.0,0.02
2020-10-06,10.45,10.19,10.45,10.17,15810.0,0.0255
2020-10-07,10.4,10.45,10.45,10.15,100.0,-0.0048
2020-10-08,10.45,10.33,10.5,10.13,7770.0,0.0048
2020-10-09,10.4,10.4,10.4,10.29,3890.0,-0.0048
2020-10-12,10.4,10.4,10.4,10.4,840.0,0.0
2020-10-13,10.35,10.25,10.39,10.25,11800.0,-0.0048
2020-10-14,10.303333333333333,10.236666666666666,10.33,10.22,0.0,0.0
2020-10-15,10.256666666666668,10.223333333333334,10.270000000000001,10.19,0.0,0.0
2020-10-16,10.21,10.21,10.21,10.16,1580.0,-0.013500000000000002
2020-10-19,10.49,10.15,10.5,10.14,14150.0,0.0274
2020-10-20,10.49,10.49,10.49,10.18,1490.0,0.0
2020-10-21,10.35,10.25,10.6,10.25,7540.0,-0.013300000000000001
2020-10-22,10.63,10.5,10.63,10.5,13500.0,0.0271
2020-10-23,10.66,10.66,10.8,10.66,19070.0,0.0028000000000000004
2020-10-26,10.6,10.73,10.73,10.45,4430.0,-0.005600000000000001
2020-10-27,10.58,10.4,10.59,10.35,1840.0,-0.0019
2020-10-28,10.48,10.36,10.48,10.35,1230.0,-0.0095
2020-10-29,10.440000000000001,10.5,10.56,10.375,0.0,0.0
2020-10-30,10.4,10.64,10.64,10.4,1910.0,-0.0076
2020-11-02,10.5,10.18,10.5,10.18,3100.0,0.0096
2020-11-03,10.6,10.6,10.65,10.5,8610.0,0.0095
2020-11-04,10.91,10.5,10.91,10.5,8350.0,0.0292
2020-11-05,10.9,10.95,10.95,10.65,7640.0,-0.0009
2020-11-06,10.5,10.71,10.9,10.5,182620.0,-0.036699999999999997
2020-11-09,10.36,10.45,10.5,10.36,1570.0,-0.013300000000000001
2020-11-10,10.34,10.21,10.45,10.2,20390.0,-0.0019
2020-11-11,10.34,10.44,10.44,10.25,4200.0,0.0
2020-11-12,10.29,10.38,10.38,10.11,1920.0,-0.0048
2020-11-13,10.23,10.2,10.25,10.15,4590.0,-0.0058
2020-11-16,10.11,10.2,10.25,10.1,1710.0,-0.011699999999999999
2020-11-17,10.2,10.11,10.2,10.08,6260.0,0.0089
2020-11-18,10.1,10.28,10.28,10.1,9620.0,-0.0098
2020-11-19,10.07,10.28,10.29,10.01,125020.0,-0.003
2020-11-20,10.07,10.04,10.07,10.0,1750.0,0.0
2020-11-23,9.97,9.99,10.06,9.97,5620.0,-0.009899999999999999
2020-11-24,9.95,10.0,10.07,9.95,1460.0,-0.002
2020-11-25,9.95,9.95,10.0,9.95,3550.0,0.0
2020-11-26,9.95,9.95,9.95,9.9,5430.0,0.0
2020-11-27,9.9,9.95,9.95,9.9,1010.0,-0.005
2020-11-30,9.9,9.7,9.9,9.66,50550.0,0.0
2020-12-01,9.89,9.9,9.9,9.8,1440.0,-0.001
2020-12-02,9.75,9.7,9.89,9.7,6200.0,-0.014199999999999999
2020-12-03,9.75,9.89,9.89,9.7,3890.0,0.0
2020-12-04,9.75,9.72,9.89,9.72,4150.0,0.0
2020-12-07,9.73,9.73,9.84,9.71,5450.0,-0.0021
2020-12-08,9.65,9.9,9.9,9.61,36900.0,-0.008199999999999999
2020-12-09,9.6,9.52,9.6,9.51,10890.0,-0.0052
2020-12-10,9.55,9.52,9.6,9.52,6390.0,-0.0052
2020-12-11,9.59,9.6,9.6,9.52,900.0,0.0042
2020-12-14,9.6,9.77,9.87,9.6,70.0,0.001
2020-12-15,9.6,9.6,9.6,9.55,6050.0,0.0
2020-12-16,9.6,9.56,9.6,9.52,6190.0,0.0
2020-12-17,9.59,9.51,9.59,9.5,6800.0,-0.001
2020-12-18,9.59,9.59,9.59,9.53,3220.0,0.0
2020-12-21,9.52,9.51,9.6,9.51,5430.0,-0.0073
2020-12-22,9.52,9.6,9.6,9.51,9080.0,0.0
2020-12-23,9.6,9.6,9.79,9.52,49050.0,0.0084
2020-12-24,9.6,9.79,9.79,9.6,33720.0,0.0
2020-12-25,9.84,9.6,9.9,9.6,4910.0,0.025
2020-12-28,9.65,9.84,9.84,9.61,1810.0,-0.019299999999999998
2020-12-29,9.8,9.8,9.8,9.6,1420.0,0.0155
2020-12-30,9.75,9.8,9.8,9.7,2780.0,-0.0051
2020-12-31,9.75,9.75,9.75,9.6,7000.0,0.0
2021-01-01,9.65,9.675,9.675,9.575,0.0,0.0
2021-01-04,9.55,9.6,9.6,9.55,8420.0,-0.020499999999999997
2021-01-05,9.42,9.54,9.54,9.42,2480.0,-0.013600000000000001
2021-01-06,9.4,9.42,9.42,9.3,11270.0,-0.0021
2021-01-07,9.4,9.5,9.5,9.32,7560.0,0.0
2021-01-08,9.48,9.32,9.48,9.32,15480.0,0.0085
2021-01-11,9.48,9.48,9.48,9.4,1290.0,0.0
2021-01-12,9.45,9.32,9.45,9.32,1140.0,-0.0032
