Date,Price,Open,High,Low,Vol.,Change %
2020-08-10,8.33,8.33,8.33,8.27,58200.0,0.0434
2020-08-11,8.5,8.33,8.5,8.33,27110.0,0.02
2020-08-12,8.5,8.5,8.6,8.5,28040.0,0.0
2020-08-13,8.415,8.5,8.565,8.415,0.0,0.0
2020-08-14,8.33,8.5,8.53,8.33,10240.0,-0.0196
2020-08-17,8.36,8.45,8.45,8.33,15950.0,0.0032
2020-08-18,8.39,8.36,8.45,8.33,5100.0,0.004
2020-08-19,8.45,8.4,8.45,8.39,9190.0,0.0070999999999999995
2020-08-20,8.489999999999998,8.425,8.489999999999998,8.42,0.0,0.0
2020-08-21,8.53,8.45,8.53,8.45,8820.0,0.0095
2020-08-24,8.47,8.5,8.53,8.47,7510.0,-0.0078000000000000005
2020-08-25,8.67,8.47,8.67,8.47,92910.0,0.0236
2020-08-26,8.6,8.67,8.67,8.54,7230.0,-0.0077
2020-08-27,8.6,8.6,8.63,8.57,12010.0,0.0
2020-08-28,8.67,8.65,8.73,8.53,35650.0,0.0078000000000000005
2020-08-31,8.6,8.73,8.73,8.57,29370.0,-0.0077
2020-09-01,8.41,8.67,8.67,8.41,12710.0,-0.0225
2020-09-02,8.6,8.64,8.64,8.41,9760.0,0.023
2020-09-03,8.6,8.6,8.63,8.6,19770.0,0.0
2020-09-04,8.59,8.59,8.59,8.4,2760.0,-0.0016
2020-09-07,8.53,8.53,8.59,8.53,2340.0,-0.006999999999999999
2020-09-08,8.47,8.5,8.5,8.29,6720.0,-0.006999999999999999
2020-09-09,8.45,8.23,8.45,8.23,4250.0,-0.0016
2020-09-10,8.27,8.39,8.39,8.27,18160.0,-0.022099999999999998
2020-09-11,8.27,8.1,8.39,8.1,13820.0,0.0
2020-09-14,8.25,8.02,8.25,8.02,1570.0,-0.0016
2020-09-15,8.27,8.25,8.35,8.08,17790.0,0.0016
2020-09-16,8.27,8.23,8.27,8.0,14140.0,0.0
2020-09-17,8.13,8.13,8.23,8.13,6140.0,-0.0161
2020-09-18,8.15,8.13,8.2,8.13,10660.0,0.0025
2020-09-21,8.1,8.2,8.27,8.03,2580.0,-0.006500000000000001
2020-09-22,7.99,8.0,8.11,7.99,11760.0,-0.013999999999999999
2020-09-23,8.13,8.0,8.19,8.0,36640.0,0.0184
2020-09-24,8.13,8.13,8.19,8.13,5510.0,0.0
2020-09-25,8.19,8.13,8.19,8.13,4150.0,0.0074
2020-09-28,8.2,8.19,8.2,8.04,8189.999999999999,0.0008
2020-09-29,8.2,8.2,8.2,8.2,2270.0,0.0
2020-09-30,7.99,8.13,8.13,7.96,12380.0,-0.026000000000000002
2020-10-01,7.8,7.96,7.98,7.8,4630.0,-0.023399999999999997
2020-10-02,7.69,7.79,7.99,7.67,12470.0,-0.014499999999999999
2020-10-05,8.13,7.91,8.15,7.91,1830.0,0.0581
2020-10-06,8.12,8.13,8.13,8.0,3040.0,-0.0016
2020-10-07,8.11,8.13,8.13,8.0,12180.0,-0.0008
2020-10-08,8.07,8.15,8.15,7.91,3030.0,-0.0058
2020-10-09,8.01,8.13,8.13,8.01,1030.0,-0.0066
2020-10-12,7.81,8.1,8.1,7.81,5480.0,-0.025
2020-10-13,8.05,8.07,8.07,8.05,640.0,0.030699999999999998
2020-10-14,8.07,8.07,8.13,8.07,3050.0,0.0017000000000000001
2020-10-15,8.035,8.100000000000001,8.13,8.035,0.0,0.0
2020-10-16,8.0,8.13,8.13,8.0,1990.0,-0.0083
2020-10-19,8.13,8.13,8.13,8.0,1000.0,0.0167
2020-10-20,8.2,8.23,8.23,8.13,2610.0,0.008199999999999999
2020-10-21,8.17,8.21,8.21,8.17,2840.0,-0.0040999999999999995
2020-10-22,8.2,8.2,8.2,8.2,2040.0,0.0040999999999999995
2020-10-23,8.17,8.2,8.2,8.17,5020.0,-0.0040999999999999995
2020-10-26,8.0,8.17,8.17,7.93,2100.0,-0.0204
2020-10-27,7.98,7.98,8.0,7.93,2560.0,-0.0025
2020-10-28,8.0,8.0,8.0,7.96,2530.0,0.0025
2020-10-29,8.0,8.0,8.0,7.98,0.0,0.0
2020-10-30,8.0,8.0,8.0,8.0,760.0,0.0
2020-11-02,7.93,8.12,8.16,7.93,80.0,-0.0083
2020-11-03,7.93,7.93,7.93,7.93,670.0,0.0
2020-11-04,8.0,7.84,8.13,7.84,6110.0,0.0084
2020-11-05,8.0,7.93,8.0,7.9,4850.0,0.0
2020-11-06,7.99,8.0,8.0,7.9,5130.0,-0.0008
2020-11-09,7.93,7.93,7.93,7.91,5430.0,-0.0075
2020-11-10,7.99,7.93,7.99,7.9,3210.0,0.0076
2020-11-11,7.99,8.0,8.2,7.99,9120.0,-0.0008
2020-11-12,8.03,8.0,8.13,8.0,40970.0,0.0058
2020-11-13,8.03,8.03,8.07,8.03,16110.0,0.0
2020-11-16,8.07,8.07,8.07,8.07,2970.0,0.0040999999999999995
2020-11-17,8.13,8.13,8.13,8.13,1700.0,0.0083
2020-11-18,8.13,8.13,8.2,8.1,13950.0,0.0
2020-11-19,8.13,8.13,8.23,8.13,16030.000000000002,0.0
2020-11-20,8.13,8.13,8.13,8.13,6470.0,0.0
2020-11-23,8.13,8.23,8.23,8.11,14420.0,0.0
2020-11-24,8.13,8.13,8.13,8.11,17330.0,0.0
2020-11-25,8.32,8.33,8.33,8.11,8450.0,0.023
2020-11-26,8.31,8.32,8.32,8.31,1990.0,-0.0016
2020-11-27,8.31,8.32,8.32,8.3,3050.0,0.0
2020-11-30,8.31,8.31,8.31,8.31,150.0,0.0
2020-12-01,8.21,8.23,8.33,8.21,3290.0,-0.012
2020-12-02,8.21,8.33,8.33,8.21,1690.0,0.0
2020-12-03,8.19,8.19,8.19,8.19,6310.0,-0.0024
2020-12-04,8.26,8.32,8.33,8.18,1750.0,0.009000000000000001
2020-12-07,8.12,8.3,8.3,8.12,5050.0,-0.0169
2020-12-08,8.07,8.27,8.27,8.02,12740.0,-0.0066
2020-12-09,8.2,8.2,8.2,8.2,4010.0,0.0165
2020-12-10,8.2,8.2,8.2,8.07,4680.0,0.0
2020-12-11,8.01,8.2,8.2,8.01,6790.0,-0.0236
2020-12-14,8.19,8.23,8.23,8.01,11070.0,0.0233
2020-12-15,8.17,8.19,8.19,8.0,5850.0,-0.0033
2020-12-16,8.2,8.2,8.2,8.0,5950.0,0.0040999999999999995
2020-12-17,8.13,7.97,8.2,7.97,4090.0,-0.008100000000000001
2020-12-18,8.0,7.97,8.0,7.97,12740.0,-0.016399999999999998
2020-12-21,7.98,8.07,8.13,7.97,5960.0,-0.0025
2020-12-22,8.19,8.19,8.19,7.97,3880.0,0.0259
2020-12-23,8.13,8.19,8.19,8.13,1560.0,-0.006500000000000001
2020-12-24,8.2,8.13,8.2,8.13,2160.0,0.008199999999999999
2020-12-25,8.19,8.13,8.19,8.1,11980.0,-0.0016
2020-12-28,8.0,8.2,8.2,8.0,27450.0,-0.022799999999999997
2020-12-29,8.13,8.0,8.13,7.99,29110.0,0.0167
2020-12-30,8.01,8.19,8.19,8.0,17810.0,-0.015600000000000001
2020-12-31,8.0,8.13,8.13,8.0,18430.0,-0.0008
2021-01-01,7.984999999999999,8.055,8.055,7.984999999999999,0.0,0.0
2021-01-04,7.97,7.98,7.98,7.97,1510.0,-0.0042
2021-01-05,7.96,7.96,7.96,7.94,3360.0,-0.0008
2021-01-06,7.77,7.93,7.93,7.77,8070.0,-0.024300000000000002
2021-01-07,7.87,7.9,7.9,7.77,15280.0,0.0129
2021-01-08,7.87,7.73,7.87,7.63,6350.0,0.0
2021-01-11,7.87,7.73,7.95,7.73,61420.0,0.0
2021-01-12,7.93,7.95,7.95,7.87,550.0,0.0085
2021-01-13,7.92,7.92,7.92,7.83,2130.0,-0.0017000000000000001
2021-01-14,7.875,7.92,7.92,7.83,0.0,0.0
2021-01-15,7.83,7.92,7.92,7.83,110.0,-0.0109
2021-01-18,7.93,7.9,7.93,7.86,2890.0,0.0128
2021-01-19,7.93,7.93,7.93,7.93,3370.0,0.0
2021-01-20,7.92,7.97,7.97,7.83,3980.0,-0.0017000000000000001
2021-01-21,7.96,7.93,7.97,7.93,4400.0,0.0051
2021-01-22,7.95,7.96,7.96,7.83,5320.0,-0.0008
2021-01-25,8.07,8.1,8.1,8.0,2100.0,0.014199999999999999
2021-01-26,7.97,7.87,8.03,7.87,15400.0,-0.0124
2021-01-27,7.95,7.95,7.95,7.95,770.0,-0.0025
2021-01-28,7.93,7.93,7.93,7.87,3460.0,-0.0025
2021-01-29,7.92,7.87,7.92,7.83,11770.0,-0.0008
2021-02-01,7.95,7.95,7.95,7.87,4019.9999999999995,0.0034000000000000002
2021-02-02,7.87,7.93,7.93,7.8,23420.0,-0.0101
2021-02-03,7.93,7.86,7.93,7.75,1180.0,0.0085
2021-02-04,7.87,7.95,7.95,7.87,1400.0,-0.0084
2021-02-05,7.87,7.93,7.93,7.75,3670.0,0.0
2021-02-08,7.87,7.93,7.93,7.73,7370.0,0.0
2021-02-09,7.87,7.93,7.93,7.87,4630.0,0.0
2021-02-10,7.85,7.8,7.93,7.73,7680.0,-0.0017000000000000001
2021-02-11,7.86,7.69,7.89,7.69,7050.0,0.0008
2021-02-12,7.83,7.86,7.86,7.83,2090.0,-0.0034000000000000002
2021-02-15,7.83,7.8,7.83,7.7,8810.0,0.0
2021-02-16,7.77,7.73,7.8,7.67,5910.0,-0.0085
2021-02-17,7.8,7.73,7.8,7.73,2600.0,0.0043
2021-02-18,7.73,7.7,7.73,7.67,2820.0,-0.0085
2021-02-19,7.67,7.67,7.76,7.67,8230.0,-0.0086
2021-02-22,7.7,7.73,7.8,7.67,2460.0,0.0043
2021-02-23,7.8,7.79,7.83,7.77,7210.0,0.013000000000000001
2021-02-24,7.87,7.79,7.87,7.79,24080.0,0.0085
2021-02-25,7.85,7.85,7.93,7.85,9850.0,-0.0025
2021-02-26,7.87,7.85,7.87,7.71,5010.0,0.0025
2021-03-01,7.83,7.83,7.87,7.83,4840.0,-0.0042
2021-03-02,7.87,7.87,7.87,7.8,170.0,0.0043
2021-03-03,7.9,7.8,7.91,7.8,1460.0,0.0042
2021-03-04,7.87,7.8,7.87,7.73,2980.0,-0.0042
2021-03-05,7.86,7.86,7.87,7.8,4290.0,-0.0008
2021-03-08,7.86,7.86,7.86,7.85,2710.0,0.0
2021-03-09,7.86,7.8,7.9,7.8,15780.0,0.0
2021-03-10,7.93,7.8,8.0,7.8,5100.0,0.009300000000000001
2021-03-11,7.93,8.0,8.0,7.9,7190.0,0.0
2021-03-12,7.93,8.0,8.0,7.8,1680.0,0.0
2021-03-15,7.93,7.81,7.93,7.8,4420.0,0.0
2021-03-16,7.93,7.87,7.93,7.87,3930.0,0.0
2021-03-17,7.93,7.87,7.93,7.76,1420.0,-0.0008
2021-03-18,7.93,7.93,7.93,7.8,2009.9999999999998,0.0008
2021-03-19,7.73,7.93,7.97,7.71,27970.0,-0.0252
2021-03-22,7.73,7.73,7.95,7.71,46340.0,0.0
2021-03-23,7.9,7.73,7.93,7.73,82850.0,0.0216
2021-03-24,7.9,7.79,7.96,7.78,6970.0,0.0
2021-03-25,7.9,7.9,7.9,7.78,1490.0,0.0
2021-03-26,8.0,7.97,8.13,7.97,66700.0,0.0127
2021-03-29,8.11,8.0,8.12,8.0,10900.0,0.014199999999999999
2021-03-30,7.93,8.01,8.07,7.93,24700.0,-0.0222
2021-03-31,7.87,7.93,8.0,7.87,24030.0,-0.0084
2021-04-01,7.92,7.87,7.92,7.75,14190.0,0.0068000000000000005
2021-04-02,7.86,7.87,7.87,7.86,4890.0,-0.0076
2021-04-05,7.83,7.86,7.86,7.76,7660.0,-0.0034000000000000002
2021-04-06,7.83,7.85,7.85,7.73,11360.0,0.0
2021-04-07,7.85,7.85,7.85,7.67,4340.0,0.0026
2021-04-08,7.86,7.85,7.9,7.85,9520.0,0.0008
2021-04-09,7.8566666666666665,7.833333333333333,7.883333333333334,7.83,0.0,0.0
2021-04-12,7.8533333333333335,7.816666666666666,7.866666666666666,7.81,0.0,0.0
2021-04-13,7.85,7.8,7.85,7.79,3680.0,-0.0008
2021-04-14,7.85,7.85,7.86,7.85,3750.0,0.0
2021-04-15,7.824999999999999,7.81,7.855,7.81,0.0,0.0
2021-04-16,7.8,7.77,7.85,7.77,8440.0,-0.0068000000000000005
2021-04-19,7.8,7.73,7.824999999999999,7.73,0.0,0.0
2021-04-20,7.8,7.69,7.8,7.69,920.0,0.0
2021-04-21,7.8,7.69,7.8,7.67,6640.0,0.0
2021-04-22,7.87,7.8,7.93,7.8,42010.0,0.0085
2021-04-23,7.87,7.87,7.87,7.8,6750.0,0.0
2021-04-26,7.8,7.87,7.87,7.77,3610.0,-0.0085
2021-04-27,7.87,7.8,7.87,7.8,1630.0,0.0085
2021-04-28,7.8,7.86,7.86,7.8,7640.0,-0.0085
2021-04-29,7.79,7.8,7.8,7.79,28550.0,-0.0009
2021-04-30,7.79,7.79,7.87,7.75,3020.0,0.0
2021-05-03,7.79,7.79,7.87,7.79,2550.0,0.0
2021-05-04,7.85,7.67,7.85,7.67,4970.0,0.0077
2021-05-05,7.8,7.85,7.86,7.8,20740.0,-0.0068000000000000005
2021-05-06,7.95,7.8,8.0,7.8,33810.0,0.0197
2021-05-07,8.23,7.93,8.23,7.93,45220.0,0.0352
